file,workload,arrival_rate_rps,arrival_process,slo_policy,policy,throughput_rps,throughput_speedup,p95_latency_ms,p95_latency_ratio,p95_first_wait_ms,slo_miss_rate,gpu_time_ratio,token_coupling_waste_ratio,attention_coupling_waste_ratio,avg_batch_size
rare_r0p1_summary.json,rare,0.1,poisson,by_canvas,arrival_dense,0.0993145413985062,1.0,13001.326242906096,1.0,54.957892828906196,0.0033333333333333335,1.0,0.1982184190222347,0.3039944279587646,1.2806236080178173
rare_r0p1_summary.json,rare,0.1,poisson,by_canvas,exact_bucket,0.09909488317419261,0.9977882571754302,11774.27458987064,0.905621039722392,6337.962284882484,0.0,1.095435368010544,0.0,0.0,1.132335565183143
rare_r0p1_summary.json,rare,0.1,poisson,by_canvas,exact_bucket_wait,0.09908801359497289,0.9977190872520434,13677.0035544182,1.051969875910219,8252.909395943152,0.006666666666666667,1.0348608644350836,0.0,0.0,1.2302974110263176
rare_r0p1_summary.json,rare,0.1,poisson,by_canvas,split_oldest,0.09909488317419261,0.9977882571754302,15404.412683345448,1.1848339465945288,89.73651938551923,0.0,1.0966308216200347,0.0,0.0,1.1241813027469125
rare_r0p1_summary.json,rare,0.1,poisson,by_canvas,canvas_aware,0.0993145413985062,1.0,10424.465485138056,0.8018001617970282,1332.2099127482527,0.0,0.990032328239451,0.10419572747362976,0.1360728556437189,1.2154306852210675
rare_r0p5_summary.json,rare,0.5,poisson,by_canvas,arrival_dense,0.25228402748172624,1.0,593770.5363386394,1.0,555117.7311929077,0.8033333333333333,1.0,0.6901361871923318,0.8220028919802937,7.800135654533122
rare_r0p5_summary.json,rare,0.5,poisson,by_canvas,exact_bucket,0.4865386029170417,1.9285351029695421,36083.21453922191,0.06076962787968805,15211.232817224583,0.09666666666666666,0.5149462444989156,0.0,0.0,3.138360775038661
rare_r0p5_summary.json,rare,0.5,poisson,by_canvas,exact_bucket_wait,0.4867205897909528,1.9292564600674436,34312.70262351173,0.05778781620774544,15554.527854403059,0.09,0.5041995044466646,0.0,0.0,3.314121037463977
rare_r0p5_summary.json,rare,0.5,poisson,by_canvas,split_oldest,0.4863860301462355,1.9279303370938377,37200.230338888716,0.06265085258065528,6986.629405874552,0.29333333333333333,0.5156133985488766,0.0,0.0,3.066666666666667
rare_r0p5_summary.json,rare,0.5,poisson,by_canvas,canvas_aware,0.48830471687145155,1.9355356014633984,34376.46082944892,0.05789519473536714,11774.231864961397,0.21333333333333335,0.5103027817652962,0.11089851284923154,0.1251065048004798,2.870216306156406
rare_r2_summary.json,rare,2.0,poisson,by_canvas,arrival_dense,0.2571969842006496,1.0,1011920.9231793572,1.0,969391.8234193315,0.9533333333333334,1.0,0.7071677425965776,0.8317760337920136,14.864282636794485
rare_r2_summary.json,rare,2.0,poisson,by_canvas,exact_bucket,1.1151983866689918,4.335969918679067,131305.63351977823,0.12975878896468382,119031.50647374865,0.8433333333333334,0.23062890627816926,0.0,0.0,11.359894632861376
rare_r2_summary.json,rare,2.0,poisson,by_canvas,exact_bucket_wait,1.1131395060923086,4.327964845901553,131952.84574895352,0.1303983767173926,119726.69052487976,0.83,0.22934083461868252,0.0,0.0,11.511511511511511
rare_r2_summary.json,rare,2.0,poisson,by_canvas,split_oldest,0.7007045281261761,2.724388586063391,270304.17330107465,0.2671198579942445,252021.9023561927,0.87,0.36705483392330623,0.0,0.0,4.750103263114416
rare_r2_summary.json,rare,2.0,poisson,by_canvas,canvas_aware,0.7214376045783849,2.8050002484304506,253315.2686866949,0.2503310909816974,237408.87005506296,0.86,0.35650620728451227,0.02967590784849668,0.028108175471074248,4.803007100097452
rare_r8_summary.json,rare,8.0,poisson,by_canvas,arrival_dense,0.25635477061948503,1.0,1122735.056928169,1.0,1080357.842426367,0.9466666666666667,1.0,0.7089630519797947,0.8333886069492932,15.54054054054054
rare_r8_summary.json,rare,8.0,poisson,by_canvas,exact_bucket,1.1876088055218361,4.632676827710139,210743.04991660098,0.1877050588348058,199370.1481631839,0.89,0.21585792344040122,0.0,0.0,14.16256157635468
rare_r8_summary.json,rare,8.0,poisson,by_canvas,exact_bucket_wait,1.1850117673383005,4.622546186578476,210805.93777887654,0.18776107192701974,199388.9909784279,0.89,0.21580431304465694,0.0,0.0,14.267990074441688
rare_r8_summary.json,rare,8.0,poisson,by_canvas,split_oldest,0.715432941168811,2.7907923829151176,371819.40699717944,0.3311728842016268,353264.3310278421,0.91,0.3583211729120126,0.0,0.0,4.877014418999152
rare_r8_summary.json,rare,8.0,poisson,by_canvas,canvas_aware,0.7230137848470543,2.820364072413714,355391.5314995676,0.3165408698218863,339485.13286793575,0.89,0.3545641535364733,0.04050832661831856,0.03839097581372501,4.934210526315789
mix75_r0p1_summary.json,mix75,0.1,poisson,by_canvas,arrival_dense,0.09906062204081775,1.0,29994.104580799158,1.0,96.11595626235952,0.05,1.0,0.280920348570555,0.34835070643616706,1.3817133245224078
mix75_r0p1_summary.json,mix75,0.1,poisson,by_canvas,exact_bucket,0.0990996606241995,1.0003940878078241,12975.668436374099,0.43260729459083513,6598.335662966302,0.0,0.926315141556605,0.0,0.0,1.1706026058631922
mix75_r0p1_summary.json,mix75,0.1,poisson,by_canvas,exact_bucket_wait,0.09909279038261007,1.0003247338965735,15613.922012906161,0.5205663656617866,8172.983960974556,0.0033333333333333335,0.8710171994596685,0.0,0.0,1.3048411497730712
mix75_r0p1_summary.json,mix75,0.1,poisson,by_canvas,split_oldest,0.0990996606241995,1.0003940878078241,13970.857106638598,0.46578677049696277,59.508034465508544,0.0,0.9266865533365864,0.0,0.0,1.1680265429799912
mix75_r0p1_summary.json,mix75,0.1,poisson,by_canvas,canvas_aware,0.0990996606241995,1.0003940878078241,14087.329283497425,0.469669939489225,712.3470566315116,0.0,0.9343721994190182,0.0020051135700569706,0.002741668238856471,1.146865235024267
mix75_r0p5_summary.json,mix75,0.5,poisson,by_canvas,arrival_dense,0.17827581566242226,1.0,1067967.022283025,1.0,977961.4065327952,0.98,1.0,0.6552760320281438,0.7223035264219141,13.228527607361963
mix75_r0p5_summary.json,mix75,0.5,poisson,by_canvas,exact_bucket,0.4854035549276699,2.7227672644438523,61144.89497886029,0.05725354220034718,23257.89670287891,0.33666666666666667,0.36195261246471305,0.0,0.0,5.4528212422949265
mix75_r0p5_summary.json,mix75,0.5,poisson,by_canvas,exact_bucket_wait,0.4858362770517521,2.7251945265067086,59116.072414812385,0.05535383694567477,24066.30006765822,0.36666666666666664,0.35481138666529854,0.0,0.0,5.797344984036297
mix75_r0p5_summary.json,mix75,0.5,poisson,by_canvas,split_oldest,0.48463924562644756,2.7184800351391796,55213.47013975928,0.051699602129780926,21487.02295657201,0.5533333333333333,0.3648739020879634,0.0,0.0,5.231235784685368
mix75_r0p5_summary.json,mix75,0.5,poisson,by_canvas,canvas_aware,0.4803399816407991,2.694364234744866,62040.97048833341,0.05809259012109435,29142.973490808992,0.54,0.36931808657292303,0.0,0.0,4.502740798747063
mix75_r2_summary.json,mix75,2.0,poisson,by_canvas,arrival_dense,0.17786973822650431,1.0,1485783.945538056,1.0,1395698.2325329918,0.9966666666666667,1.0,0.6577517927373672,0.7245002938292845,15.151515151515152
mix75_r2_summary.json,mix75,2.0,poisson,by_canvas,exact_bucket,0.5989666098297592,3.367445276537251,351472.30661632196,0.23655680738227464,332625.5525626837,0.9233333333333333,0.29696102471731545,0.0,0.0,13.766959297685554
mix75_r2_summary.json,mix75,2.0,poisson,by_canvas,exact_bucket_wait,0.5990072840242064,3.367673950593067,351366.13562902703,0.23648534949123082,332674.00449912326,0.9133333333333333,0.29575506201575386,0.0,0.0,14.10466067048242
mix75_r2_summary.json,mix75,2.0,poisson,by_canvas,split_oldest,0.5675017890325239,3.1905471649699693,369133.9664885819,0.24844390572204303,347156.34376043483,0.89,0.3134258634316171,0.0,0.0,7.624309392265193
mix75_r2_summary.json,mix75,2.0,poisson,by_canvas,canvas_aware,0.5604376769604992,3.1508320782865384,376211.22143224016,0.25320721936862794,352720.40723476914,0.8833333333333333,0.3173764818796178,0.0,0.0,6.820877817319098
mix75_r8_summary.json,mix75,8.0,poisson,by_canvas,arrival_dense,0.17748311082914323,1.0,1589063.0046542971,1.0,1498874.372415408,0.9966666666666667,1.0,0.6588205425794285,0.7254476099840946,15.61792666364871
mix75_r8_summary.json,mix75,8.0,poisson,by_canvas,exact_bucket,0.6039154371401416,3.40266425531334,456402.7599331543,0.2872150182820758,403214.33221545885,0.95,0.2938873556033221,0.0,0.0,14.877102199223803
mix75_r8_summary.json,mix75,8.0,poisson,by_canvas,exact_bucket_wait,0.6036547159702578,3.4011952638771077,456529.71702421195,0.28729491259129186,450952.8758741137,0.9466666666666667,0.29364964946022565,0.0,0.0,14.948006932409012
mix75_r8_summary.json,mix75,8.0,poisson,by_canvas,split_oldest,0.5705396592871766,3.2146138109806697,473405.80817953916,0.2979150649111797,450211.0004109609,0.9133333333333333,0.311079357832703,0.0,0.0,7.824903606259923
mix75_r8_summary.json,mix75,8.0,poisson,by_canvas,canvas_aware,0.562011239606847,3.1665618040010326,487654.7208197793,0.3068819294083744,464163.90662230784,0.9066666666666666,0.31579993124924927,0.0,0.0,6.930494174367216
mix90_r0p1_summary.json,mix90,0.1,poisson,by_canvas,arrival_dense,0.09935947175670892,1.0,19025.89049857021,1.0,76.583083283133,0.02666666666666667,1.0,0.2841652404285748,0.40413029004082685,1.2637825561375875
mix90_r0p1_summary.json,mix90,0.1,poisson,by_canvas,exact_bucket,0.09935947175670892,1.0,10954.831700479717,0.5757854908974153,4660.552188633314,0.0,0.9407935082647869,0.0,0.0,1.142800357746199
mix90_r0p1_summary.json,mix90,0.1,poisson,by_canvas,exact_bucket_wait,0.09932427275390066,0.9996457408419556,12956.22540147485,0.680978659182786,5960.728109242337,0.0033333333333333335,0.870432477639588,0.0,0.0,1.2874095081722516
mix90_r0p1_summary.json,mix90,0.1,poisson,by_canvas,split_oldest,0.09935947175670892,1.0,11750.169371738146,0.6175884052639307,53.37729216697627,0.0,0.9417027174830434,0.0,0.0,1.1423462799245059
mix90_r0p1_summary.json,mix90,0.1,poisson,by_canvas,canvas_aware,0.09935947175670892,1.0,11590.931724758937,0.6092188812728629,659.2581579321416,0.0,0.9479911139174373,0.0,0.0,1.1242545703392317
mix90_r0p5_summary.json,mix90,0.5,poisson,by_canvas,arrival_dense,0.19001133084410995,1.0,975590.0535737718,1.0,898209.970630769,0.9133333333333333,1.0,0.75565985643291,0.840859725794974,9.41850941850942
mix90_r0p5_summary.json,mix90,0.5,poisson,by_canvas,exact_bucket,0.4931210540308301,2.595219200034965,31104.961383906964,0.03188322930309055,11249.706391253927,0.07,0.3684565469202158,0.0,0.0,3.150109569028488
mix90_r0p5_summary.json,mix90,0.5,poisson,by_canvas,exact_bucket_wait,0.49237565781548454,2.5912962960058517,33147.207854155124,0.0339765742103772,11959.171793467278,0.07,0.35067117173198786,0.0,0.0,3.558535327488396
mix90_r0p5_summary.json,mix90,0.5,poisson,by_canvas,split_oldest,0.49307617798221615,2.5949830243899936,27754.014878549362,0.028448439769225946,194.85746057778312,0.06333333333333334,0.3694389080061492,0.0,0.0,3.2027478648347567
mix90_r0p5_summary.json,mix90,0.5,poisson,by_canvas,canvas_aware,0.49187679371728943,2.588670852060067,29810.6721733226,0.03055655606996037,6396.585003098932,0.08,0.37303868238567933,0.0,0.0,2.6162129369833926
mix90_r2_summary.json,mix90,2.0,poisson,by_canvas,arrival_dense,0.19881479969377713,1.0,1355098.819476576,1.0,1266652.0168590758,0.9266666666666666,1.0,0.752034402105058,0.8382278095005716,13.860988348734432
mix90_r2_summary.json,mix90,2.0,poisson,by_canvas,exact_bucket,1.0287606606155515,5.174467203649284,146725.02300321482,0.1082762532845311,138017.4435158906,0.7766666666666666,0.1932566118681221,0.0,0.0,12.614259597806216
mix90_r2_summary.json,mix90,2.0,poisson,by_canvas,exact_bucket_wait,1.0288424880306708,5.174878779725337,146704.93002723416,0.10826142560134529,137896.65463416977,0.7766666666666666,0.19191580950085266,0.0,0.0,12.926189584113901
mix90_r2_summary.json,mix90,2.0,poisson,by_canvas,split_oldest,0.9278580868713653,4.666946768049919,171886.58019228687,0.12684431402477364,158469.47271071764,0.7933333333333333,0.21427285325944168,0.0,0.0,7.737160798385288
mix90_r2_summary.json,mix90,2.0,poisson,by_canvas,canvas_aware,0.9247442873818601,4.651284958696183,173725.59798682842,0.12820142375589413,160757.398188086,0.7733333333333333,0.21499435293259636,0.0,0.0,7.120743034055727
mix90_r8_summary.json,mix90,8.0,poisson,by_canvas,arrival_dense,0.19296717195300775,1.0,1513178.146680649,1.0,1422991.9652198097,0.96,1.0,0.7604439231255076,0.8443192950041353,15.401785714285714
mix90_r8_summary.json,mix90,8.0,poisson,by_canvas,exact_bucket,1.0702276247938034,5.546164220380605,233908.01212646108,0.15458061738438955,227727.46430164046,0.9033333333333333,0.18030479449657277,0.0,0.0,14.69335604770017
mix90_r8_summary.json,mix90,8.0,poisson,by_canvas,exact_bucket_wait,1.069777487002809,5.543831503440005,233943.95672619293,0.15460437175846026,227730.9791031931,0.9033333333333333,0.17998421334650536,0.0,0.0,14.81958762886598
mix90_r8_summary.json,mix90,8.0,poisson,by_canvas,split_oldest,0.9568286127066267,4.958504615176917,272469.2946578365,0.1800642543348468,256644.66284596638,0.8633333333333333,0.20167370560454864,0.0,0.0,8.198669201520913
mix90_r8_summary.json,mix90,8.0,poisson,by_canvas,canvas_aware,0.9594484785622208,4.972081358977838,265890.9812292709,0.17571690538390144,252922.7814305285,0.8833333333333333,0.20112301625844217,0.0,0.0,7.844474761255116
