policy,request_id,arrival_ms,first_start_ms,completion_ms,latency_ms,first_wait_ms,deadline_ms,service_class,slo_miss,canvas
arrival_dense,0,0.0,0.0,25463.180649795686,25463.180649795686,0.0,20000.0,interactive_short,True,32
arrival_dense,1,1171.331658964187,1173.4005003992934,57617.38866539963,56446.05700643545,2.0688414351063784,21171.331658964187,interactive_short,True,32
arrival_dense,2,1565.7096795727393,1580.2398761559743,67812.62535327405,66246.91567370131,14.53019658323501,21565.70967957274,interactive_short,True,32
arrival_dense,3,2465.3888732375417,2473.2694324979093,82713.35589709051,80247.96702385298,7.8805592603675905,22465.38887323754,interactive_short,True,32
arrival_dense,4,2902.135697588422,2911.950618069386,88203.0987290229,85300.96303143447,9.814920480964247,22902.135697588423,interactive_short,True,32
arrival_dense,5,2982.2751151728585,2990.2865440642927,88987.34770501324,86005.07258984038,8.011428891434207,22982.27511517286,interactive_short,True,32
arrival_dense,6,3050.4402075585945,3084.2896552581806,89771.59668100358,86721.15647344498,33.84944769958611,103050.4402075586,interactive_long,False,256
arrival_dense,7,3234.7115731194913,3429.536672931863,90555.84565699392,87321.13408387442,194.82509981237172,23234.71157311949,interactive_short,True,32
arrival_dense,8,4380.9373226986045,4613.240733527346,92908.59258496494,88527.65526226633,232.3034108287411,24380.937322698606,interactive_short,True,32
arrival_dense,9,5176.054822046136,5501.0187789739575,94477.09053694562,89301.03571489948,324.9639569278215,25176.054822046135,interactive_short,True,32
arrival_dense,10,6161.626789000866,6487.438829470193,96045.5884889263,89883.96169992544,325.81204046932726,26161.626789000868,interactive_short,True,32
arrival_dense,11,7307.571222693039,7572.500885016052,97614.08644090698,90306.51521821394,264.92966232301296,27307.57122269304,interactive_short,True,32
arrival_dense,12,7425.480833787537,7572.500885016052,97614.08644090698,90188.60560711943,147.0200512285146,27425.480833787537,interactive_short,True,32
arrival_dense,13,7569.008461074401,7572.500885016052,97614.08644090698,90045.07797983258,3.4924239416513956,27569.0084610744,interactive_short,True,32
arrival_dense,14,7623.243144680727,8258.7187390076,98398.33541689732,90775.09227221659,635.4755943268729,27623.243144680728,interactive_short,True,32
arrival_dense,15,8380.57126688595,8993.952153998544,99182.58439288766,90802.01312600171,613.380887112593,28380.57126688595,interactive_short,True,32
arrival_dense,16,9458.234757895287,25463.180649795686,115651.8128886848,106193.57813078951,16004.9458919004,29458.234757895287,interactive_short,True,32
arrival_dense,17,9718.990506869739,57617.38866539963,147806.02090428874,138087.030397419,47898.39815852989,29718.99050686974,interactive_short,True,32
arrival_dense,18,10203.653686584274,67812.62535327405,158001.25759216317,147797.6039055789,57608.97166668978,110203.65368658428,interactive_long,True,256
arrival_dense,19,10287.598785380122,82713.35589709051,172901.98813597963,162614.3893505995,72425.7571117104,30287.59878538012,interactive_short,True,32
arrival_dense,20,11616.379637436165,88203.0987290229,178391.730967912,166775.35133047585,76586.71909158672,111616.37963743617,interactive_long,True,256
arrival_dense,21,12616.161631916308,88987.34770501324,179175.97994390235,166559.81831198605,76371.18607309693,32616.161631916308,interactive_short,True,32
arrival_dense,22,14485.323239382093,89771.59668100358,179960.2289198927,165474.9056805106,75286.27344162148,34485.323239382094,interactive_short,True,32
arrival_dense,23,15317.723820262268,90555.84565699392,180744.47789588303,165426.75407562076,75238.12183673165,35317.72382026227,interactive_short,True,32
arrival_dense,24,16383.791537594923,92908.59258496494,183097.22482385405,166713.43328625913,76524.80104737001,116383.79153759492,interactive_long,True,256
arrival_dense,25,16396.340895587342,94477.09053694562,184665.72277583473,168269.38188024738,78080.74964135827,36396.340895587346,interactive_short,True,32
arrival_dense,26,17063.31420335273,96045.5884889263,186234.2207278154,169170.90652446268,78982.27428557357,37063.314203352726,interactive_short,True,32
arrival_dense,27,17265.18659866415,97614.08644090698,187802.7186797961,170537.53208113194,80348.89984224283,37265.18659866415,interactive_short,True,32
arrival_dense,28,18600.678603606862,97614.08644090698,187802.7186797961,169202.04007618924,79013.40783730011,118600.67860360687,interactive_long,True,256
arrival_dense,29,19411.01686580571,97614.08644090698,187802.7186797961,168391.70181399037,78203.06957510127,39411.01686580571,interactive_short,True,32
arrival_dense,30,20408.802516297103,98398.33541689732,188586.96765578643,168178.16513948934,77989.53290060021,120408.8025162971,interactive_long,True,256
arrival_dense,31,21241.14390401677,99182.58439288766,189371.21663177677,168130.07272776,77941.44048887088,41241.143904016775,interactive_short,True,32
arrival_dense,32,21396.316179153477,115651.8128886848,205840.4451275739,184444.12894842043,94255.49670953132,41396.31617915348,interactive_short,True,32
arrival_dense,33,22170.4276389915,147806.02090428874,237994.65314317786,215824.22550418635,125635.59326529724,122170.4276389915,interactive_long,True,256
arrival_dense,34,22227.625817309778,158001.25759216317,248189.88983105228,225962.2640137425,135773.6317748534,42227.625817309774,interactive_short,True,32
arrival_dense,35,23256.140245383693,172901.98813597963,263090.62037486874,239834.48012948505,149645.84789059593,43256.14024538369,interactive_short,True,32
arrival_dense,36,24234.197644985197,178391.730967912,268580.3632068011,244346.16556181593,154157.5333229268,124234.1976449852,interactive_long,True,256
arrival_dense,37,24359.990838893827,179175.97994390235,269364.61218279146,245004.62134389763,154815.9891050085,44359.99083889383,interactive_short,True,32
arrival_dense,38,25207.997182895815,179960.2289198927,270148.8611587818,244940.863975886,154752.23173699688,125207.99718289581,interactive_long,True,256
arrival_dense,39,25516.371104321515,180744.47789588303,270933.11013477214,245416.73903045064,155228.10679156153,45516.371104321515,interactive_short,True,32
arrival_dense,40,25698.430154521036,183097.22482385405,273285.85706274316,247587.4269082221,157398.794669333,45698.43015452103,interactive_short,True,32
arrival_dense,41,26491.646196213445,184665.72277583473,274854.35501472384,248362.7088185104,158174.0765796213,46491.64619621345,interactive_short,True,32
arrival_dense,42,26620.769639286056,186234.2207278154,276422.8529667045,249802.08332741846,159613.45108852934,46620.76963928605,interactive_short,True,32
arrival_dense,43,26632.7441066642,187802.7186797961,277991.3509186852,251358.606812021,161169.97457313188,46632.7441066642,interactive_short,True,32
arrival_dense,44,26740.040332569013,187802.7186797961,277991.3509186852,251251.3105861162,161062.67834722708,46740.04033256901,interactive_short,True,32
arrival_dense,45,26938.983743960976,187802.7186797961,277991.3509186852,251052.36717472423,160863.73493583512,46938.98374396098,interactive_short,True,32
arrival_dense,46,27937.833208212847,188586.96765578643,278775.59989467554,250837.76668646268,160649.13444757357,47937.83320821285,interactive_short,True,32
arrival_dense,47,29641.779642182315,189371.21663177677,279559.8488706659,249918.06922848357,159729.43698959445,49641.779642182315,interactive_short,True,32
arrival_dense,48,29805.424400657474,205840.4451275739,296029.077366463,266223.65296580555,176035.02072691644,49805.42440065747,interactive_short,True,32
arrival_dense,49,30318.31224161087,237994.65314317786,328183.28538206697,297864.9731404561,207676.340901567,50318.31224161087,interactive_short,True,32
arrival_dense,50,30573.45711226591,248189.88983105228,338378.5220699414,307805.06495767547,217616.43271878635,50573.45711226591,interactive_short,True,32
arrival_dense,51,32559.069997750434,263090.62037486874,353279.25261375785,320720.1826160074,230531.5503771183,52559.069997750434,interactive_short,True,32
arrival_dense,52,32943.237885531045,268580.3632068011,358768.99544569023,325825.7575601592,235637.12532127008,52943.237885531045,interactive_short,True,32
arrival_dense,53,34343.62615416367,269364.61218279146,359553.2444216806,325209.6182675169,235020.98602862778,134343.62615416368,interactive_long,True,256
arrival_dense,54,34404.90308858237,270148.8611587818,360337.4933976709,325932.5903090885,235743.95807019944,54404.90308858237,interactive_short,True,32
arrival_dense,55,36164.90386883638,270933.11013477214,361121.74237366125,324956.8385048249,234768.20626593576,56164.90386883638,interactive_short,True,32
arrival_dense,56,36263.2568171127,273285.85706274316,363474.4893016323,327211.2324845196,237022.60024563046,56263.2568171127,interactive_short,True,32
arrival_dense,57,37905.42174307683,274854.35501472384,365042.98725361296,327137.56551053614,236948.93327164702,57905.42174307683,interactive_short,True,32
arrival_dense,58,38059.6814870708,276422.8529667045,366611.48520559364,328551.80371852283,238363.17147963372,58059.6814870708,interactive_short,True,32
arrival_dense,59,38117.05175425955,277991.3509186852,368179.9831575743,330062.93140331475,239874.29916442564,58117.05175425955,interactive_short,True,32
arrival_dense,60,38402.130622771125,277991.3509186852,368179.9831575743,329777.8525348032,239589.22029591407,138402.13062277113,interactive_long,True,256
arrival_dense,61,39054.110184089855,277991.3509186852,368179.9831575743,329125.87297348445,238937.24073459534,59054.110184089855,interactive_short,True,32
arrival_dense,62,39242.3138712813,278775.59989467554,368964.23213356466,329721.9182622834,239533.28602339423,59242.3138712813,interactive_short,True,32
arrival_dense,63,39708.28116866232,279559.8488706659,369748.481109555,330040.1999408927,239851.56770200358,59708.28116866232,interactive_short,True,32
arrival_dense,64,40066.41032699541,296029.077366463,386217.70960535214,346151.2992783567,255962.6670394676,140066.41032699542,interactive_long,True,256
arrival_dense,65,40309.6357467324,328183.28538206697,418371.9176209561,378062.28187422367,287873.64963533456,140309.6357467324,interactive_long,True,256
arrival_dense,66,40739.3405874416,338378.5220699414,428567.1543088305,387827.8137213889,297639.1814824998,60739.3405874416,interactive_short,True,32
arrival_dense,67,40886.3399149278,353279.25261375785,443467.88485264697,402581.5449377192,312392.91269883007,60886.3399149278,interactive_short,True,32
arrival_dense,68,41503.18712875418,358768.99544569023,448957.62768457935,407454.4405558252,317265.8083169361,61503.18712875418,interactive_short,True,32
arrival_dense,69,41504.033483776315,359553.2444216806,449741.8766605697,408237.84317679337,318049.21093790425,61504.033483776315,interactive_short,True,32
arrival_dense,70,42803.01628166911,360337.4933976709,450526.12563656,407723.10935489094,317534.4771160018,62803.01628166911,interactive_short,True,32
arrival_dense,71,43189.600889409885,361121.74237366125,451310.37461255037,408120.7737231405,317932.14148425136,143189.6008894099,interactive_long,True,256
arrival_dense,72,43825.06690327878,363474.4893016323,453663.1215405214,409838.05463724263,319649.4223983535,143825.06690327878,interactive_long,True,256
arrival_dense,73,44502.36801129497,365042.98725361296,455231.61949250207,410729.2514812071,320540.619242318,64502.36801129497,interactive_short,True,32
arrival_dense,74,45057.65251098892,366611.48520559364,456800.11744448275,411742.4649334938,321553.8326946047,65057.65251098892,interactive_short,True,32
arrival_dense,75,45284.1050121679,368179.9831575743,458368.6153964634,413084.51038429554,322895.87814540643,65284.1050121679,interactive_short,True,32
arrival_dense,76,45320.37627874394,368179.9831575743,458368.6153964634,413048.23911771947,322859.60687883035,145320.37627874393,interactive_long,True,256
arrival_dense,77,45866.05216119919,368179.9831575743,458368.6153964634,412502.5632352642,322313.9309963751,65866.05216119919,interactive_short,True,32
arrival_dense,78,46066.4402474157,368964.23213356466,459152.86437245377,413086.4241250381,322897.791886149,66066.44024741571,interactive_short,True,32
arrival_dense,79,46254.81759363009,369748.481109555,459937.1133484441,413682.295754814,323493.6635159249,66254.81759363008,interactive_short,True,32
arrival_dense,80,47196.80523675841,386217.70960535214,476406.34184424125,429209.5366074828,339020.9043685937,67196.8052367584,interactive_short,True,32
