policy,request_id,arrival_ms,first_start_ms,completion_ms,latency_ms,first_wait_ms,service_ms,inter_iteration_delay_ms,dispatches,canvas,deadline_ms,service_class,slo_miss
arrival_dense,0,0.0,0.0,541.2020099756774,541.2020099756774,0.0,541.2020099756774,0.0,16,32,20000.0,interactive_short,False
arrival_dense,1,3701.1334692950136,3701.1334692950136,4166.5373274015965,465.4038581065829,0.0,465.40385810658336,-4.547473508864641e-13,16,32,23701.133469295015,interactive_short,False
arrival_dense,2,6693.351133783693,6693.351133783693,7158.4476086416935,465.0964748580009,0.0,465.0964748580009,0.0,16,32,26693.351133783694,interactive_short,False
arrival_dense,3,7213.609648805001,7213.609648805001,7780.704075843683,567.0944270386826,0.0,567.0944270386826,0.0,16,32,27213.609648805003,interactive_short,False
arrival_dense,4,7278.86315844528,7300.758438819908,7868.908807862905,590.0456494176251,21.895280374628783,568.1503690429963,0.0,16,32,27278.86315844528,interactive_short,False
arrival_dense,5,8036.859245562617,8036.859245562617,8502.051112503203,465.1918669405859,0.0,465.1918669405859,0.0,16,32,28036.859245562617,interactive_short,False
arrival_dense,6,8660.100911749432,8660.100911749432,10245.903050823508,1585.802139074076,0.0,1585.802139074076,0.0,16,256,108660.10091174944,interactive_long,False
arrival_dense,7,9134.03533948673,9191.407142736389,10451.786573836253,1317.7512343495218,57.371803249658115,1260.3794310998637,0.0,16,32,29134.03533948673,interactive_short,False
arrival_dense,8,14860.277949993648,14860.277949993648,15324.657121019587,464.3791710259393,0.0,464.3791710259393,0.0,16,32,34860.277949993644,interactive_short,False
arrival_dense,9,19041.16364301744,19041.16364301744,19506.54997706742,465.3863340499811,0.0,465.3863340499811,0.0,16,32,39041.16364301744,interactive_short,False
arrival_dense,10,19796.89625150117,19796.89625150117,20261.99436144147,465.09810994029976,0.0,465.09810994029976,0.0,16,32,39796.896251501166,interactive_short,False
arrival_dense,11,21927.86258068714,21927.86258068714,22392.785728672385,464.92314798524603,0.0,464.92314798524603,0.0,16,32,41927.86258068714,interactive_short,False
arrival_dense,12,22935.00624338232,22935.00624338232,23400.15565834075,465.1494149584323,0.0,465.1494149584323,0.0,16,32,42935.00624338232,interactive_short,False
arrival_dense,13,27854.59756969058,27854.59756969058,28319.867152676947,465.269582986366,0.0,465.269582986366,0.0,16,32,47854.59756969058,interactive_short,False
arrival_dense,14,29082.721965037814,29082.721965037814,29548.44978198485,465.72781694703735,0.0,465.72781694703735,0.0,16,32,49082.72196503781,interactive_short,False
arrival_dense,15,29698.16547359885,29698.16547359885,30163.1642856061,464.9988120072521,0.0,464.9988120072521,0.0,16,32,49698.16547359885,interactive_short,False
arrival_dense,16,30264.556465194222,30264.556465194222,30730.423027231485,465.86656203726307,0.0,465.86656203726307,0.0,16,32,50264.556465194226,interactive_short,False
arrival_dense,17,31912.746049415626,31912.746049415626,32378.53445343634,465.78840402071364,0.0,465.78840402071364,0.0,16,32,51912.746049415626,interactive_short,False
arrival_dense,18,32522.379747854007,32522.379747854007,33742.29678788122,1219.9170400272124,0.0,1219.9170400272124,0.0,16,256,132522.37974785402,interactive_long,False
arrival_dense,19,34279.33903209065,34279.33903209065,34745.10730513735,465.7682730467059,0.0,465.7682730467059,0.0,16,32,54279.33903209065,interactive_short,False
arrival_dense,20,38841.434104668224,38841.434104668224,40142.62562959084,1301.191524922615,0.0,1301.191524922615,0.0,16,256,138841.4341046682,interactive_long,False
arrival_dense,21,39861.08803365395,39909.04963160028,40569.36400451559,708.2759708616431,47.96159794633422,660.3143729153089,0.0,16,32,59861.08803365395,interactive_short,False
arrival_dense,22,40356.26986695478,40377.90335756472,40861.404291508734,505.13442455395125,21.633490609936416,483.50093394401483,0.0,16,32,60356.26986695478,interactive_short,False
arrival_dense,23,52369.512732151736,52369.512732151736,52834.86655509852,465.3538229467813,0.0,465.3538229467813,0.0,16,32,72369.51273215174,interactive_short,False
arrival_dense,24,53794.27994670757,53794.27994670757,56610.9911877086,2816.7112410010304,0.0,2816.7112410010304,0.0,16,256,153794.27994670757,interactive_long,False
arrival_dense,25,53984.901013098686,54022.828288691264,57235.37625767701,3250.4752445783233,37.927275592577644,3212.5479689857457,0.0,16,32,73984.90101309869,interactive_short,False
arrival_dense,26,54081.426008310475,54140.161305689864,57401.78064265117,3320.3546343406924,58.73529737938952,3261.619336961303,0.0,16,32,74081.42600831047,interactive_short,False
arrival_dense,27,54313.70532508111,54472.002935707016,57635.63258369165,3321.9272586105435,158.29761062590842,3163.629647984635,0.0,16,32,74313.7053250811,interactive_short,False
arrival_dense,28,56288.45211941025,56342.79954272849,58324.94099565726,2036.4888762470146,54.34742331824236,1982.1414529287722,0.0,16,256,156288.45211941024,interactive_long,False
arrival_dense,29,59429.64978247119,59429.64978247119,59896.502459555,466.85267708380707,0.0,466.85267708380707,0.0,16,32,79429.64978247118,interactive_short,False
arrival_dense,30,60526.56619803849,60526.56619803849,62563.92083200728,2037.3546339687891,0.0,2037.3546339687891,0.0,16,256,160526.5661980385,interactive_long,False
arrival_dense,31,60657.83688268148,60678.046813002875,62628.72575101312,1970.88886833164,20.209930321398133,1950.6789380102418,0.0,16,32,80657.83688268147,interactive_short,False
arrival_dense,32,61619.13882257829,61733.26385204666,62891.75515400813,1272.6163314298465,114.12502946837049,1158.491301961476,0.0,16,32,81619.13882257829,interactive_short,False
arrival_dense,33,72723.69066381486,72723.69066381486,73945.3289287643,1221.6382649494335,0.0,1221.6382649494335,0.0,16,256,172723.69066381486,interactive_long,False
arrival_dense,34,74229.97063451579,74229.97063451579,74696.6485924869,466.67795797111467,0.0,466.67795797111467,0.0,16,32,94229.97063451579,interactive_short,False
arrival_dense,35,81316.30220281759,81316.30220281759,81782.14779583605,465.8455930184573,0.0,465.8455930184573,0.0,16,32,101316.30220281759,interactive_short,False
arrival_dense,36,85259.69765168004,85259.69765168004,87096.15693271946,1836.4592810394242,0.0,1836.4592810394242,0.0,16,256,185259.69765168004,interactive_long,False
arrival_dense,37,85282.79252710378,85335.50393868092,87126.74529974203,1843.9527726382512,52.7114115771401,1791.241361061111,0.0,16,32,105282.79252710378,interactive_short,False
arrival_dense,38,87833.88638844987,87833.88638844987,89056.62600951543,1222.739621065557,0.0,1222.739621065557,0.0,16,256,187833.88638844987,interactive_long,False
arrival_dense,39,90123.47343143824,90123.47343143824,90589.73826135093,466.2648299126886,0.0,466.2648299126886,0.0,16,32,110123.47343143824,interactive_short,False
arrival_dense,40,91663.40172295526,91663.40172295526,92128.93315191098,465.5314289557282,0.0,465.5314289557282,0.0,16,32,111663.40172295526,interactive_short,False
arrival_dense,41,92284.14396253253,92284.14396253253,92750.28363150965,466.1396689771209,0.0,466.1396689771209,0.0,16,32,112284.14396253253,interactive_short,False
arrival_dense,42,94332.79693356025,94332.79693356025,94819.20715048336,486.4102169231046,0.0,486.4102169231046,0.0,16,32,114332.79693356025,interactive_short,False
arrival_dense,43,94569.35564175498,94594.73282546396,95082.40622450257,513.0505827475863,25.37718370897346,487.67339903861284,0.0,16,32,114569.35564175498,interactive_short,False
arrival_dense,44,95710.383938924,95710.383938924,96175.89969188726,465.5157529632561,0.0,465.5157529632561,0.0,16,32,115710.383938924,interactive_short,False
arrival_dense,45,96919.64473665268,96919.64473665268,97386.22823366006,466.58349700737745,0.0,466.58349700737745,0.0,16,32,116919.64473665268,interactive_short,False
arrival_dense,46,103069.88532039958,103069.88532039958,103535.2787413487,465.3934209491126,0.0,465.3934209491126,0.0,16,32,123069.88532039958,interactive_short,False
arrival_dense,47,107242.46222317101,107242.46222317101,107708.85792619897,466.3957030279562,0.0,466.3957030279562,0.0,16,32,127242.46222317101,interactive_short,False
arrival_dense,48,107853.85304417626,107853.85304417626,108319.86335014856,466.0103059723042,0.0,466.0103059723042,0.0,16,32,127853.85304417626,interactive_short,False
arrival_dense,49,109242.49323268616,109242.49323268616,109714.16302770688,471.66979502071626,0.0,471.66979502071626,0.0,16,32,129242.49323268616,interactive_short,False
arrival_dense,50,109636.10971380131,109650.31000570473,110123.37699372749,487.26727992617816,14.200291903413017,473.06698802276514,0.0,16,32,129636.10971380131,interactive_short,False
arrival_dense,51,114511.26686386978,114511.26686386978,114976.70020089699,465.433337027207,0.0,465.433337027207,0.0,16,32,134511.2668638698,interactive_short,False
arrival_dense,52,118599.70247296519,118599.70247296519,119066.52535206308,466.8228790978901,0.0,466.8228790978901,0.0,16,32,138599.70247296517,interactive_short,False
arrival_dense,53,119308.61383660849,119308.61383660849,120531.28143561808,1222.6675990095828,0.0,1222.6675990095828,0.0,16,256,219308.61383660848,interactive_long,False
arrival_dense,54,121346.08869064161,121346.08869064161,121812.44872558657,466.36003494495526,0.0,466.36003494495526,0.0,16,32,141346.08869064163,interactive_short,False
arrival_dense,55,123224.03176327886,123224.03176327886,123701.67306730243,477.64130402356386,0.0,477.64130402356386,0.0,16,32,143224.03176327888,interactive_short,False
arrival_dense,56,123555.76143677576,123573.45008627114,124052.5498402824,496.78840350663813,17.68864949537965,479.0997540112585,0.0,16,32,143555.76143677576,interactive_short,False
