file,workload,arrival_rate_rps,refinement_steps,policy,throughput_rps,throughput_speedup,p95_latency_ms,p95_latency_ratio,p95_first_wait_ms,p95_service_ms,p95_inter_iteration_delay_ms,gpu_busy_fraction,gpu_time_ratio,mean_batch_size,partial_dispatch_ratio,token_coupling_waste_ratio,attention_coupling_waste_ratio,slo_miss_rate
mix50_r0p5_s16_summary.json,mix50,0.5,16,arrival_dense,0.47058654295383423,1.0,2828.032879345067,1.0,103.5414779776544,2732.734678975248,0.0,0.37481828354591407,1.0,1.3061224489795917,1.0,0.1467823571945047,0.16893203883495145,0.0
mix50_r0p5_s16_summary.json,mix50,0.5,16,coarse_canvas_queue,0.47039930787222034,0.9996021240207197,2530.8900712967416,0.8949295072845335,917.9305440701368,2498.97659190028,0.0,0.3753401762026556,1.0017909770370554,1.1838150289017342,1.0,0.0950920245398773,0.05052517203911626,0.0
mix50_r0p5_s16_summary.json,mix50,0.5,16,exact_canvas_queue,0.47033270858269716,0.999460600021531,2534.9449995970613,0.896363340791186,929.7277336589698,2520.830855132952,0.0,0.3669586893469136,0.9795592952609539,1.1824480369515011,1.0,0.0,0.0,0.0
mix50_r0p5_s16_summary.json,mix50,0.5,16,exact_canvas_queue_wait,0.47034868447123207,0.9994945489067555,2681.63307412434,0.9482326367950039,954.0672888835483,2640.7656910669148,0.0,0.3669999766773841,0.9796362321282108,1.18931475029036,1.0,0.0,0.0,0.0
mix50_r0p5_s16_summary.json,mix50,0.5,16,exact_canvas_queue_bounded,0.47035777484894414,0.9995138660288624,2731.2130080139323,0.9657642342002908,76.60399136202905,2639.330003624488,468.850043049315,0.3687794212432954,0.9843670942409175,1.1770114942528735,1.0,0.0,0.0,0.0
mix50_r2_s16_summary.json,mix50,2.0,16,arrival_dense,1.252632291526645,1.0,18456.230812917223,1.0,9225.697668060006,12642.270714405458,0.0,1.0,1.0,10.03921568627451,0.38235294117647056,0.4183610597658657,0.4594253236501421,0.0
mix50_r2_s16_summary.json,mix50,2.0,16,coarse_canvas_queue,1.6397907550996675,1.3090759085423012,6256.681898225534,0.3390010648244917,3672.9947110285575,5103.480940741429,1931.4643369580153,1.0,0.7638976422028365,3.5432525951557095,0.9480968858131488,0.0950920245398773,0.05052517203911626,0.0
mix50_r2_s16_summary.json,mix50,2.0,16,exact_canvas_queue,1.6927279438140885,1.351336665408072,4689.030112462842,0.2540621733653799,2725.0255542375126,4453.352895932037,1229.7772610836546,1.0,0.7400080421099381,2.797814207650273,0.9890710382513661,0.0,0.0,0.0
mix50_r2_s16_summary.json,mix50,2.0,16,exact_canvas_queue_wait,1.6928433833133212,1.3514288229390679,4686.386096549013,0.2539189146501725,2722.7770809280664,4454.6331667967015,1230.9560212786891,0.9994709864427146,0.7395661313994173,2.8054794520547945,0.989041095890411,0.0,0.0,0.0
mix50_r2_s16_summary.json,mix50,2.0,16,exact_canvas_queue_bounded,1.622684904094731,1.2954199848361603,8997.33925182849,0.4874960300957764,755.995030528757,6261.637004460498,3498.3310639509,0.9994929109674704,0.7715589713508104,2.115702479338843,0.9607438016528925,0.0,0.0,0.0
mix75_r0p5_s16_summary.json,mix75,0.5,16,arrival_dense,0.4728456045945451,1.0,2786.2610559831073,1.0,76.39631299829779,2779.8668766015894,0.0,0.2871212661650161,1.0,1.1962616822429906,1.0,0.27784891165172854,0.36186770428015563,0.0
mix75_r0p5_s16_summary.json,mix75,0.5,16,coarse_canvas_queue,0.47428656471359454,1.0030474220444219,1893.4540183129045,0.6795680592265307,1021.8949562449286,1227.6075351168402,0.0,0.2851016963334449,0.9899493498637361,1.1265126512651265,1.0,0.27319587628865977,0.1918744971842317,0.0
mix75_r0p5_s16_summary.json,mix75,0.5,16,exact_canvas_queue,0.4760539333389296,1.0067851508255756,1636.608599813944,0.5873852330884628,1024.294422390945,1229.6095729790977,0.0,0.26484834829103315,0.9162101672265087,1.1228070175438596,1.0,0.0,0.0,0.0
mix75_r0p5_s16_summary.json,mix75,0.5,16,exact_canvas_queue_wait,0.47598372668345545,1.0066366739130443,1658.0905715130482,0.5950951968239049,1045.3651153224798,1230.0325138901826,0.0,0.2641352367175481,0.9138780210828534,1.1277533039647578,1.0,0.0,0.0,0.0
mix75_r0p5_s16_summary.json,mix75,0.5,16,exact_canvas_queue_bounded,0.47500299633367493,1.0045625712032995,2048.497507043355,0.7352137742601298,82.7357128462439,1228.5489166897605,800.8739983255487,0.27078813187418604,0.938830678588003,1.0733752620545074,1.0,0.0,0.0,0.0
mix75_r2_s16_summary.json,mix75,2.0,16,arrival_dense,1.3634127035755896,1.0,15515.894347438898,1.0,4420.51360446738,12432.228498159384,9.094947017729282e-13,0.9857801797682364,1.0,7.366906474820144,0.539568345323741,0.6850481641770207,0.7622326930047119,0.0
mix75_r2_s16_summary.json,mix75,2.0,16,coarse_canvas_queue,1.790915650726268,1.313553589481409,3533.9679643917866,0.22776437408360636,1025.133776680033,1756.0448805379565,1743.8031577243232,0.8953042963708018,0.691421358564807,2.0562248995983934,1.0,0.27319587628865977,0.1918744971842317,0.0
mix75_r2_s16_summary.json,mix75,2.0,16,exact_canvas_queue,1.8221317001084414,1.3364491142922812,2819.7731737380773,0.1817344917796194,1144.401402115665,1519.6886043690029,1251.2000185335637,0.8256600248237921,0.6267130655587045,1.7239057239057238,1.0,0.0,0.0,0.0
mix75_r2_s16_summary.json,mix75,2.0,16,exact_canvas_queue_wait,1.821099311251447,1.3356919049349922,2892.285654466101,0.1864079240100981,1149.5649752371874,1521.4788428595057,1247.174999996787,0.8207032405362672,0.623303796856469,1.7474402730375427,1.0,0.0,0.0,0.0
mix75_r2_s16_summary.json,mix75,2.0,16,exact_canvas_queue_bounded,1.8057139486248661,1.324407454829582,3841.3129835013196,0.24757277263462282,734.9552583062566,1769.1328136817901,1000.8891801378918,0.8359856337493069,0.6403200718227393,1.5103244837758112,1.0,0.0,0.0,0.0
mix90_r0p5_s16_summary.json,mix90,0.5,16,arrival_dense,0.472852579416802,1.0,2611.390700575746,1.0,72.53063615328202,2566.5684984836844,0.0,0.2374846715933205,1.0,1.159682899207248,1.0,0.24162802679031428,0.3857965451055662,0.0
mix90_r0p5_s16_summary.json,mix90,0.5,16,coarse_canvas_queue,0.47428529860957486,1.003029948984396,1867.9671795414845,0.7153150921191703,667.6892971170683,1222.774562174163,0.0,0.24680842053692253,1.0361210303190014,1.1314917127071824,1.0,0.39473684210526316,0.35526315789473684,0.0
mix90_r0p5_s16_summary.json,mix90,0.5,16,exact_canvas_queue,0.4760568253868538,1.0067764163917723,1380.10092858539,0.5284927024826704,669.5383241954926,1148.277881402461,0.0,0.2243260337043017,0.9382337700967714,1.1277533039647578,1.0,0.0,0.0,0.0
mix90_r0p5_s16_summary.json,mix90,0.5,16,exact_canvas_queue_wait,0.4759868337264256,1.0066283963460436,1402.1713647318495,0.5369443049723299,690.1379210951937,1149.1736662370354,0.0,0.2234020079977309,0.9345064678645116,1.1339977851605758,1.0,0.0,0.0,0.0
mix90_r0p5_s16_summary.json,mix90,0.5,16,exact_canvas_queue_bounded,0.47499906503710076,1.0045394393807605,1157.9642551882916,0.4434281913208122,42.628690441899266,1131.9107932518782,0.0,0.22609698039474935,0.9477464939681471,1.103448275862069,1.0,0.0,0.0,0.0
mix90_r2_s16_summary.json,mix90,2.0,16,arrival_dense,1.6272856378350542,1.0,6883.560537312171,1.0,337.4018500772412,6775.626818263845,1.9326762412674596e-13,0.8275781493979292,1.0,2.7675675675675677,0.9081081081081082,0.6253499618223467,0.7669337217771304,0.0
