cache_mode,schedule_mode,checkpoint_progress,checkpoint_index,block,inner_step,checkpoint_type,variant,removed_components,exact_intermediate,exact_final,checkpoint_bytes,full_checkpoint_bytes,export_to_cpu_ms,notes
prefix,threshold,0.9915254237288136,117,3,26,inner_step,no_inner_step,inner_step,False,False,63441560,63441568,12.473538001358975,resume error: ValueError: inner_step is not derivable from a threshold/dynamic canvas
prefix,threshold,0.9915254237288136,117,3,26,inner_step,no_cache_state,past_key_values,True,True,2720,63441568,4.29454699769849,
prefix,threshold,0.9915254237288136,117,3,26,inner_step,semantic_only,attention_mask;current_schedule;block_index;past_key_values;replace_position,True,True,1232,63441568,0.050233997171744704,
prefix,quota,0.0,0,0,0,block_boundary,full,,True,True,2464,2464,0.08273600542452186,
prefix,quota,0.0,0,0,0,block_boundary,no_attention_mask,attention_mask,True,True,1240,2464,0.06702599785057828,
prefix,quota,0.0,0,0,0,block_boundary,no_current_schedule,current_schedule,True,True,2464,2464,0.07940900104586035,
prefix,quota,0.0,0,0,0,block_boundary,no_block_index,block_index,True,True,2456,2464,0.08279699977720156,
prefix,quota,0.0,0,0,0,block_boundary,no_inner_step,inner_step,True,True,2456,2464,0.08301700290758163,
prefix,quota,0.0,0,0,0,block_boundary,no_cache_state,past_key_values,True,True,2464,2464,0.061626000388059765,
prefix,quota,0.0,0,0,0,block_boundary,semantic_only,attention_mask;current_schedule;block_index;past_key_values;replace_position;inner_step,True,True,1224,2464,0.06475299596786499,
prefix,quota,0.0078125,1,0,1,inner_step,full,,True,True,13109920,13109920,4.241948001435958,
prefix,quota,0.0078125,1,0,1,inner_step,no_attention_mask,attention_mask,True,True,13108696,13109920,6.521080002130475,
prefix,quota,0.0078125,1,0,1,inner_step,no_current_schedule,current_schedule,True,True,13109664,13109920,4.6701259998371825,
prefix,quota,0.0078125,1,0,1,inner_step,no_block_index,block_index,True,True,13109912,13109920,4.409673994814511,
prefix,quota,0.0078125,1,0,1,inner_step,no_inner_step,inner_step,True,True,13109912,13109920,3.75282399909338,
prefix,quota,0.0078125,1,0,1,inner_step,no_cache_state,past_key_values,True,True,2720,13109920,0.1308069986407645,
prefix,quota,0.0078125,1,0,1,inner_step,semantic_only,attention_mask;current_schedule;block_index;past_key_values;replace_position;inner_step,True,True,1224,13109920,0.057097000535577536,
prefix,quota,0.015625,2,0,2,inner_step,full,,True,True,13109920,13109920,3.826262996881269,
prefix,quota,0.015625,2,0,2,inner_step,no_attention_mask,attention_mask,True,True,13108696,13109920,3.641845003585331,
prefix,quota,0.015625,2,0,2,inner_step,no_current_schedule,current_schedule,True,True,13109664,13109920,3.7334180015022866,
prefix,quota,0.015625,2,0,2,inner_step,no_block_index,block_index,True,True,13109912,13109920,3.6804679984925315,
prefix,quota,0.015625,2,0,2,inner_step,no_inner_step,inner_step,True,True,13109912,13109920,3.7912069965386763,
prefix,quota,0.015625,2,0,2,inner_step,no_cache_state,past_key_values,True,True,2720,13109920,0.1258770062122494,
prefix,quota,0.015625,2,0,2,inner_step,semantic_only,attention_mask;current_schedule;block_index;past_key_values;replace_position;inner_step,True,True,1224,13109920,0.06553399725817144,
prefix,quota,0.0234375,3,0,3,inner_step,full,,True,True,13109920,13109920,3.6298319973866455,
prefix,quota,0.0234375,3,0,3,inner_step,no_attention_mask,attention_mask,True,True,13108696,13109920,3.7365940006566234,
prefix,quota,0.0234375,3,0,3,inner_step,no_current_schedule,current_schedule,True,True,13109664,13109920,3.716626000823453,
prefix,quota,0.0234375,3,0,3,inner_step,no_block_index,block_index,True,True,13109912,13109920,3.6525149989756756,
prefix,quota,0.0234375,3,0,3,inner_step,no_inner_step,inner_step,True,True,13109912,13109920,3.5767720037256368,
prefix,quota,0.0234375,3,0,3,inner_step,no_cache_state,past_key_values,True,True,2720,13109920,0.12132900155847892,
prefix,quota,0.0234375,3,0,3,inner_step,semantic_only,attention_mask;current_schedule;block_index;past_key_values;replace_position;inner_step,True,True,1224,13109920,0.06419100100174546,
prefix,quota,0.09375,12,0,12,inner_step,full,,True,True,13109920,13109920,3.709381999215111,
prefix,quota,0.09375,12,0,12,inner_step,no_attention_mask,attention_mask,True,True,13108696,13109920,3.731374003109522,
prefix,quota,0.09375,12,0,12,inner_step,no_current_schedule,current_schedule,True,True,13109664,13109920,3.854957001749426,
prefix,quota,0.09375,12,0,12,inner_step,no_block_index,block_index,True,True,13109912,13109920,3.6780440059374087,
prefix,quota,0.09375,12,0,12,inner_step,no_inner_step,inner_step,True,True,13109912,13109920,3.6486379976850003,
prefix,quota,0.09375,12,0,12,inner_step,no_cache_state,past_key_values,True,True,2720,13109920,0.12434399832272902,
prefix,quota,0.09375,12,0,12,inner_step,semantic_only,attention_mask;current_schedule;block_index;past_key_values;replace_position;inner_step,True,True,1224,13109920,0.06114500138210133,
prefix,quota,0.25,32,1,0,block_boundary,full,,True,True,2464,2464,0.08862800314091146,
prefix,quota,0.25,32,1,0,block_boundary,no_attention_mask,attention_mask,True,True,1240,2464,0.05950299964752048,
prefix,quota,0.25,32,1,0,block_boundary,no_current_schedule,current_schedule,True,True,2464,2464,0.07365000055870041,
prefix,quota,0.25,32,1,0,block_boundary,no_block_index,block_index,True,True,2456,2464,0.07608399755554274,
prefix,quota,0.25,32,1,0,block_boundary,no_inner_step,inner_step,True,True,2456,2464,0.07357900176430121,
prefix,quota,0.25,32,1,0,block_boundary,no_cache_state,past_key_values,True,True,2464,2464,0.07487199764000252,
prefix,quota,0.25,32,1,0,block_boundary,semantic_only,attention_mask;current_schedule;block_index;past_key_values;replace_position;inner_step,True,True,1224,2464,0.049444002797827125,
prefix,quota,0.2578125,33,1,1,inner_step,full,,True,True,29887136,29887136,5.2635809988714755,
prefix,quota,0.2578125,33,1,1,inner_step,no_attention_mask,attention_mask,True,True,29885912,29887136,9.97743199695833,
prefix,quota,0.2578125,33,1,1,inner_step,no_current_schedule,current_schedule,True,True,29886880,29887136,6.613535006181337,
prefix,quota,0.2578125,33,1,1,inner_step,no_block_index,block_index,True,True,29887128,29887136,9.319386997958645,
prefix,quota,0.2578125,33,1,1,inner_step,no_inner_step,inner_step,True,True,29887128,29887136,6.574141996679828,
prefix,quota,0.2578125,33,1,1,inner_step,no_cache_state,past_key_values,True,True,2720,29887136,1.8771129980450496,
prefix,quota,0.2578125,33,1,1,inner_step,semantic_only,attention_mask;current_schedule;block_index;past_key_values;replace_position;inner_step,True,True,1224,29887136,0.061545993958134204,
prefix,quota,0.265625,34,1,2,inner_step,full,,True,True,29887136,29887136,6.07893499545753,
prefix,quota,0.265625,34,1,2,inner_step,no_attention_mask,attention_mask,True,True,29885912,29887136,12.02182300039567,
prefix,quota,0.265625,34,1,2,inner_step,no_current_schedule,current_schedule,True,True,29886880,29887136,6.747335995896719,
prefix,quota,0.265625,34,1,2,inner_step,no_block_index,block_index,True,True,29887128,29887136,9.13607599795796,
prefix,quota,0.265625,34,1,2,inner_step,no_inner_step,inner_step,True,True,29887128,29887136,6.816237000748515,
prefix,quota,0.265625,34,1,2,inner_step,no_cache_state,past_key_values,True,True,2720,29887136,1.8482489977031946,
prefix,quota,0.265625,34,1,2,inner_step,semantic_only,attention_mask;current_schedule;block_index;past_key_values;replace_position;inner_step,True,True,1224,29887136,0.05961300485068932,
prefix,quota,0.2734375,35,1,3,inner_step,full,,True,True,29887136,29887136,6.538622001244221,
prefix,quota,0.2734375,35,1,3,inner_step,no_attention_mask,attention_mask,True,True,29885912,29887136,12.238900002557784,
prefix,quota,0.2734375,35,1,3,inner_step,no_current_schedule,current_schedule,True,True,29886880,29887136,6.721031000779476,
prefix,quota,0.2734375,35,1,3,inner_step,no_block_index,block_index,True,True,29887128,29887136,8.925563000957482,
prefix,quota,0.2734375,35,1,3,inner_step,no_inner_step,inner_step,True,True,29887128,29887136,6.655516997852828,
prefix,quota,0.2734375,35,1,3,inner_step,no_cache_state,past_key_values,True,True,2720,29887136,1.8002090000663884,
prefix,quota,0.2734375,35,1,3,inner_step,semantic_only,attention_mask;current_schedule;block_index;past_key_values;replace_position;inner_step,True,True,1224,29887136,0.059823003539349884,
prefix,quota,0.5,64,2,0,block_boundary,full,,True,True,2464,2464,0.09318599768448621,
prefix,quota,0.5,64,2,0,block_boundary,no_attention_mask,attention_mask,True,True,1240,2464,0.05480400432134047,
prefix,quota,0.5,64,2,0,block_boundary,no_current_schedule,current_schedule,True,True,2464,2464,0.06885000038892031,
prefix,quota,0.5,64,2,0,block_boundary,no_block_index,block_index,True,True,2456,2464,0.06891999510116875,
prefix,quota,0.5,64,2,0,block_boundary,no_inner_step,inner_step,True,True,2456,2464,0.0686189960106276,
prefix,quota,0.5,64,2,0,block_boundary,no_cache_state,past_key_values,True,True,2464,2464,0.07065299723763019,
prefix,quota,0.5,64,2,0,block_boundary,semantic_only,attention_mask;current_schedule;block_index;past_key_values;replace_position;inner_step,True,True,1224,2464,0.05617600254481658,
prefix,quota,0.75,96,3,0,block_boundary,full,,True,True,2464,2464,0.0935970019781962,
prefix,quota,0.75,96,3,0,block_boundary,no_attention_mask,attention_mask,True,True,1240,2464,0.05023500125389546,
prefix,quota,0.75,96,3,0,block_boundary,no_current_schedule,current_schedule,True,True,2464,2464,0.06381999992299825,
prefix,quota,0.75,96,3,0,block_boundary,no_block_index,block_index,True,True,2456,2464,0.07138399814721197,
prefix,quota,0.75,96,3,0,block_boundary,no_inner_step,inner_step,True,True,2456,2464,0.0642910017631948,
prefix,quota,0.75,96,3,0,block_boundary,no_cache_state,past_key_values,True,True,2464,2464,0.06554400169989094,
prefix,quota,0.75,96,3,0,block_boundary,semantic_only,attention_mask;current_schedule;block_index;past_key_values;replace_position;inner_step,True,True,1224,2464,0.05297999450704083,
prefix,quota,0.9921875,127,3,31,inner_step,full,,True,True,63441568,63441568,16.956798994215205,
prefix,quota,0.9921875,127,3,31,inner_step,no_attention_mask,attention_mask,True,True,63440344,63441568,20.353521998913493,
prefix,quota,0.9921875,127,3,31,inner_step,no_current_schedule,current_schedule,True,True,63441312,63441568,11.251345000346191,
prefix,quota,0.9921875,127,3,31,inner_step,no_block_index,block_index,True,True,63441560,63441568,13.695180001377594,
prefix,quota,0.9921875,127,3,31,inner_step,no_inner_step,inner_step,True,True,63441560,63441568,8.303237998916302,
prefix,quota,0.9921875,127,3,31,inner_step,no_cache_state,past_key_values,True,True,2720,63441568,6.862478003313299,
prefix,quota,0.9921875,127,3,31,inner_step,semantic_only,attention_mask;current_schedule;block_index;past_key_values;replace_position;inner_step,True,True,1224,63441568,0.05322999641066417,
dual,threshold,0.0,0,0,0,block_boundary,full,,True,True,2464,2464,0.08912799967220053,
dual,threshold,0.0,0,0,0,block_boundary,no_attention_mask,attention_mask,True,True,1240,2464,0.06206700345501304,
dual,threshold,0.0,0,0,0,block_boundary,no_current_schedule,current_schedule,True,True,2464,2464,0.08200500451494008,
dual,threshold,0.0,0,0,0,block_boundary,no_block_index,block_index,True,True,2456,2464,0.08335799793712795,
dual,threshold,0.0,0,0,0,block_boundary,no_inner_step,inner_step,True,True,2456,2464,0.08213499677367508,
dual,threshold,0.0,0,0,0,block_boundary,no_cache_state,past_key_values,True,True,2464,2464,0.0899399965419434,
dual,threshold,0.0,0,0,0,block_boundary,no_replace_position,replace_position,True,True,2464,2464,0.08715400326764211,
dual,threshold,0.0,0,0,0,block_boundary,semantic_only,attention_mask;current_schedule;block_index;past_key_values;replace_position,True,True,1232,2464,0.06400999700417742,
dual,threshold,0.008547008547008548,1,0,1,inner_step,full,,True,True,80218937,80218937,17.07182799873408,
dual,threshold,0.008547008547008548,1,0,1,inner_step,no_attention_mask,attention_mask,True,True,80217713,80218937,18.923666000773665,
dual,threshold,0.008547008547008548,1,0,1,inner_step,no_current_schedule,current_schedule,True,True,80218681,80218937,15.033076997497119,
dual,threshold,0.008547008547008548,1,0,1,inner_step,no_block_index,block_index,True,True,80218929,80218937,17.2591119990102,
dual,threshold,0.008547008547008548,1,0,1,inner_step,no_inner_step,inner_step,False,False,80218929,80218937,10.790914006065577,resume error: ValueError: inner_step is not derivable from a threshold/dynamic canvas
dual,threshold,0.008547008547008548,1,0,1,inner_step,no_cache_state,past_key_values,True,True,2873,80218937,10.821842006407678,
dual,threshold,0.008547008547008548,1,0,1,inner_step,no_replace_position,replace_position,True,True,80218784,80218937,18.001019998337142,
dual,threshold,0.008547008547008548,1,0,1,inner_step,semantic_only,attention_mask;current_schedule;block_index;past_key_values;replace_position,True,True,1232,80218937,5.083730000478681,
dual,threshold,0.017094017094017096,2,0,2,inner_step,full,,True,True,80218937,80218937,18.278297000506427,
dual,threshold,0.017094017094017096,2,0,2,inner_step,no_attention_mask,attention_mask,True,True,80217713,80218937,18.86631699744612,
dual,threshold,0.017094017094017096,2,0,2,inner_step,no_current_schedule,current_schedule,True,True,80218681,80218937,15.23782400181517,
dual,threshold,0.017094017094017096,2,0,2,inner_step,no_block_index,block_index,True,True,80218929,80218937,17.610394999792334,
