arrival_ms,completion_ms,first_start_ms,latency_ms,policy,refine_wait_ms,refresh_wait_ms,request_id,service_ms
0.0,36074.42837368134,0.0,36074.42837368134,synchronized,29553.053221153357,1931.5887415851012,0,4589.786410942907
0.0,36074.42837368134,0.0,36074.42837368134,synchronized,29553.053221153357,1931.5887415851012,1,4589.786410942907
0.0,36074.42837368134,0.0,36074.42837368134,synchronized,29553.053221153357,1931.5887415851012,2,4589.786410942907
0.0,36074.42837368134,0.0,36074.42837368134,synchronized,29553.053221153357,1931.5887415851012,3,4589.786410942907
0.0,36074.42837368134,0.0,36074.42837368134,synchronized,29553.053221153357,1931.5887415851012,4,4589.786410942907
0.0,36074.42837368134,0.0,36074.42837368134,synchronized,29553.053221153357,1931.5887415851012,5,4589.786410942907
0.0,36074.42837368134,0.0,36074.42837368134,synchronized,29553.053221153357,1931.5887415851012,6,4589.786410942907
0.0,36074.42837368134,0.0,36074.42837368134,synchronized,29553.053221153357,1931.5887415851012,7,4589.786410942907
0.0,36166.408789947294,204.647336009657,36166.408789947294,synchronized,29102.385542178556,2474.2368368258576,8,4589.786410942907
0.0,36166.408789947294,204.647336009657,36166.408789947294,synchronized,29102.385542178556,2474.2368368258576,9,4589.786410942907
0.0,36166.408789947294,204.647336009657,36166.408789947294,synchronized,29102.385542178556,2474.2368368258576,10,4589.786410942907
0.0,36166.408789947294,204.647336009657,36166.408789947294,synchronized,29102.385542178556,2474.2368368258576,11,4589.786410942907
0.0,36166.408789947294,204.647336009657,36166.408789947294,synchronized,29102.385542178556,2474.2368368258576,12,4589.786410942907
0.0,36166.408789947294,204.647336009657,36166.408789947294,synchronized,29102.385542178556,2474.2368368258576,13,4589.786410942907
0.0,36166.408789947294,204.647336009657,36166.408789947294,synchronized,29102.385542178556,2474.2368368258576,14,4589.786410942907
0.0,36166.408789947294,204.647336009657,36166.408789947294,synchronized,29102.385542178556,2474.2368368258576,15,4589.786410942907
0.0,36258.38920621325,409.294672019314,36258.38920621325,synchronized,28651.717863203758,3016.884932066614,16,4589.786410942907
0.0,36258.38920621325,409.294672019314,36258.38920621325,synchronized,28651.717863203758,3016.884932066614,17,4589.786410942907
0.0,36258.38920621325,409.294672019314,36258.38920621325,synchronized,28651.717863203758,3016.884932066614,18,4589.786410942907
