batch_size,end_ms,latency_ms,memory_mb,oom,operation_index,phase,policy,request_ids,start_ms
8,204.647336009657,204.647336009657,930.625,True,0,warmup,synchronized,"0,1,2,3,4,5,6,7",0.0
8,409.294672019314,204.647336009657,930.625,True,1,warmup,synchronized,"8,9,10,11,12,13,14,15",204.647336009657
8,613.942008028971,204.647336009657,930.625,True,2,warmup,synchronized,"16,17,18,19,20,21,22,23",409.294672019314
8,818.589344038628,204.647336009657,930.625,True,3,warmup,synchronized,"24,25,26,27,28,29,30,31",613.942008028971
8,1023.236680048285,204.647336009657,930.625,True,4,warmup,synchronized,"32,33,34,35,36,37,38,39",818.589344038628
8,1227.884016057942,204.647336009657,930.625,True,5,warmup,synchronized,"40,41,42,43,44,45,46,47",1023.236680048285
8,1432.531352067599,204.647336009657,930.625,True,6,warmup,synchronized,"48,49,50,51,52,53,54,55",1227.884016057942
8,1637.178688077256,204.647336009657,930.625,True,7,warmup,synchronized,"56,57,58,59,60,61,62,63",1432.531352067599
8,1729.159104343214,91.98041626595801,95.673828125,False,8,refine,synchronized,"0,1,2,3,4,5,6,7",1637.178688077256
8,1821.139520609172,91.98041626595801,95.673828125,False,9,refine,synchronized,"8,9,10,11,12,13,14,15",1729.159104343214
8,1913.11993687513,91.98041626595801,95.673828125,False,10,refine,synchronized,"16,17,18,19,20,21,22,23",1821.139520609172
8,2005.100353141088,91.98041626595801,95.673828125,False,11,refine,synchronized,"24,25,26,27,28,29,30,31",1913.11993687513
8,2097.080769407046,91.98041626595801,95.673828125,False,12,refine,synchronized,"32,33,34,35,36,37,38,39",2005.100353141088
8,2189.061185673004,91.98041626595801,95.673828125,False,13,refine,synchronized,"40,41,42,43,44,45,46,47",2097.080769407046
8,2281.041601938962,91.98041626595801,95.673828125,False,14,refine,synchronized,"48,49,50,51,52,53,54,55",2189.061185673004
8,2373.0220182049197,91.98041626595801,95.673828125,False,15,refine,synchronized,"56,57,58,59,60,61,62,63",2281.041601938962
8,2465.0024344708777,91.98041626595801,95.673828125,False,16,refine,synchronized,"0,1,2,3,4,5,6,7",2373.0220182049197
8,2556.9828507368356,91.98041626595801,95.673828125,False,17,refine,synchronized,"8,9,10,11,12,13,14,15",2465.0024344708777
8,2648.9632670027936,91.98041626595801,95.673828125,False,18,refine,synchronized,"16,17,18,19,20,21,22,23",2556.9828507368356
8,2740.9436832687516,91.98041626595801,95.673828125,False,19,refine,synchronized,"24,25,26,27,28,29,30,31",2648.9632670027936
8,2832.9240995347095,91.98041626595801,95.673828125,False,20,refine,synchronized,"32,33,34,35,36,37,38,39",2740.9436832687516
8,2924.9045158006675,91.98041626595801,95.673828125,False,21,refine,synchronized,"40,41,42,43,44,45,46,47",2832.9240995347095
8,3016.8849320666254,91.98041626595801,95.673828125,False,22,refine,synchronized,"48,49,50,51,52,53,54,55",2924.9045158006675
8,3108.8653483325834,91.98041626595801,95.673828125,False,23,refine,synchronized,"56,57,58,59,60,61,62,63",3016.8849320666254
8,3200.8457645985413,91.98041626595801,95.673828125,False,24,refine,synchronized,"0,1,2,3,4,5,6,7",3108.8653483325834
8,3292.8261808644993,91.98041626595801,95.673828125,False,25,refine,synchronized,"8,9,10,11,12,13,14,15",3200.8457645985413
8,3384.8065971304572,91.98041626595801,95.673828125,False,26,refine,synchronized,"16,17,18,19,20,21,22,23",3292.8261808644993
8,3476.787013396415,91.98041626595801,95.673828125,False,27,refine,synchronized,"24,25,26,27,28,29,30,31",3384.8065971304572
8,3568.767429662373,91.98041626595801,95.673828125,False,28,refine,synchronized,"32,33,34,35,36,37,38,39",3476.787013396415
8,3660.747845928331,91.98041626595801,95.673828125,False,29,refine,synchronized,"40,41,42,43,44,45,46,47",3568.767429662373
8,3752.728262194289,91.98041626595801,95.673828125,False,30,refine,synchronized,"48,49,50,51,52,53,54,55",3660.747845928331
8,3844.708678460247,91.98041626595801,95.673828125,False,31,refine,synchronized,"56,57,58,59,60,61,62,63",3752.728262194289
8,3936.689094726205,91.98041626595801,95.673828125,False,32,refine,synchronized,"0,1,2,3,4,5,6,7",3844.708678460247
8,4028.669510992163,91.98041626595801,95.673828125,False,33,refine,synchronized,"8,9,10,11,12,13,14,15",3936.689094726205
8,4120.649927258121,91.98041626595801,95.673828125,False,34,refine,synchronized,"16,17,18,19,20,21,22,23",4028.669510992163
8,4212.63034352408,91.98041626595801,95.673828125,False,35,refine,synchronized,"24,25,26,27,28,29,30,31",4120.649927258121
8,4304.610759790038,91.98041626595801,95.673828125,False,36,refine,synchronized,"32,33,34,35,36,37,38,39",4212.63034352408
8,4396.591176055997,91.98041626595801,95.673828125,False,37,refine,synchronized,"40,41,42,43,44,45,46,47",4304.610759790038
8,4488.571592321955,91.98041626595801,95.673828125,False,38,refine,synchronized,"48,49,50,51,52,53,54,55",4396.591176055997
8,4580.552008587913,91.98041626595801,95.673828125,False,39,refine,synchronized,"56,57,58,59,60,61,62,63",4488.571592321955
8,4672.532424853872,91.98041626595801,95.673828125,False,40,refine,synchronized,"0,1,2,3,4,5,6,7",4580.552008587913
8,4764.51284111983,91.98041626595801,95.673828125,False,41,refine,synchronized,"8,9,10,11,12,13,14,15",4672.532424853872
8,4856.493257385789,91.98041626595801,95.673828125,False,42,refine,synchronized,"16,17,18,19,20,21,22,23",4764.51284111983
8,4948.473673651747,91.98041626595801,95.673828125,False,43,refine,synchronized,"24,25,26,27,28,29,30,31",4856.493257385789
8,5040.4540899177055,91.98041626595801,95.673828125,False,44,refine,synchronized,"32,33,34,35,36,37,38,39",4948.473673651747
8,5132.434506183664,91.98041626595801,95.673828125,False,45,refine,synchronized,"40,41,42,43,44,45,46,47",5040.4540899177055
8,5224.414922449622,91.98041626595801,95.673828125,False,46,refine,synchronized,"48,49,50,51,52,53,54,55",5132.434506183664
8,5316.395338715581,91.98041626595801,95.673828125,False,47,refine,synchronized,"56,57,58,59,60,61,62,63",5224.414922449622
8,5408.375754981539,91.98041626595801,95.673828125,False,48,refine,synchronized,"0,1,2,3,4,5,6,7",5316.395338715581
8,5500.3561712474975,91.98041626595801,95.673828125,False,49,refine,synchronized,"8,9,10,11,12,13,14,15",5408.375754981539
8,5592.336587513456,91.98041626595801,95.673828125,False,50,refine,synchronized,"16,17,18,19,20,21,22,23",5500.3561712474975
8,5684.317003779414,91.98041626595801,95.673828125,False,51,refine,synchronized,"24,25,26,27,28,29,30,31",5592.336587513456
8,5776.297420045373,91.98041626595801,95.673828125,False,52,refine,synchronized,"32,33,34,35,36,37,38,39",5684.317003779414
8,5868.277836311331,91.98041626595801,95.673828125,False,53,refine,synchronized,"40,41,42,43,44,45,46,47",5776.297420045373
8,5960.25825257729,91.98041626595801,95.673828125,False,54,refine,synchronized,"48,49,50,51,52,53,54,55",5868.277836311331
8,6052.238668843248,91.98041626595801,95.673828125,False,55,refine,synchronized,"56,57,58,59,60,61,62,63",5960.25825257729
8,6144.219085109206,91.98041626595801,95.673828125,False,56,refine,synchronized,"0,1,2,3,4,5,6,7",6052.238668843248
8,6236.199501375165,91.98041626595801,95.673828125,False,57,refine,synchronized,"8,9,10,11,12,13,14,15",6144.219085109206
8,6328.179917641123,91.98041626595801,95.673828125,False,58,refine,synchronized,"16,17,18,19,20,21,22,23",6236.199501375165
8,6420.160333907082,91.98041626595801,95.673828125,False,59,refine,synchronized,"24,25,26,27,28,29,30,31",6328.179917641123
8,6512.14075017304,91.98041626595801,95.673828125,False,60,refine,synchronized,"32,33,34,35,36,37,38,39",6420.160333907082
8,6604.121166438998,91.98041626595801,95.673828125,False,61,refine,synchronized,"40,41,42,43,44,45,46,47",6512.14075017304
8,6696.101582704957,91.98041626595801,95.673828125,False,62,refine,synchronized,"48,49,50,51,52,53,54,55",6604.121166438998
8,6788.081998970915,91.98041626595801,95.673828125,False,63,refine,synchronized,"56,57,58,59,60,61,62,63",6696.101582704957
8,6880.062415236874,91.98041626595801,95.673828125,False,64,refine,synchronized,"0,1,2,3,4,5,6,7",6788.081998970915
8,6972.042831502832,91.98041626595801,95.673828125,False,65,refine,synchronized,"8,9,10,11,12,13,14,15",6880.062415236874
8,7064.0232477687905,91.98041626595801,95.673828125,False,66,refine,synchronized,"16,17,18,19,20,21,22,23",6972.042831502832
