attention_mask_length,attention_mask_tokens,block_index,block_ranges,block_size,cache_mode,experiment_batch_size,has_past_key_values,mask_counts,memory_after_bytes,memory_before_bytes,memory_peak_bytes,memory_peak_delta_bytes,memory_peak_delta_mb,memory_peak_mb,model_batch_size,model_call_index,model_call_latency_ms,model_query_length,num_blocks,past_length,phase,prompt_lens,record_index,replace_position_count,sequence_length,step_index,steps_per_block,use_cache
153,153,0,"[[0, 32]]",32,dual,1,True,[3],16181633024,16173195264,16186009600,12814336,12.220703125,15436.181640625,1,27,44.362191983964294,32,4,153,refine,[25],27,32,153,27,32,True
153,153,0,"[[0, 32]]",32,dual,1,True,[2],16181633024,16173539328,16185436160,11896832,11.345703125,15435.634765625,1,28,44.3784529925324,32,4,153,refine,[25],28,32,153,28,32,True
153,153,0,"[[0, 32]]",32,dual,1,True,[1],16181633024,16173195264,16186009600,12814336,12.220703125,15436.181640625,1,29,44.3791130091995,32,4,153,refine,[25],29,32,153,29,32,True
153,153,1,"[[57, 89]]",32,dual,1,False,[32],16294288384,16173539328,16296795136,123255808,117.5458984375,15541.8349609375,1,30,37.68152397242375,153,4,,warmup,[25],30,,153,0,32,True
153,153,1,"[[0, 32]]",32,dual,1,True,[16],16263684096,16255590400,16267487232,11896832,11.345703125,15513.884765625,1,31,45.36524598370306,32,4,153,refine,[25],31,32,153,1,32,True
153,153,1,"[[0, 32]]",32,dual,1,True,[13],16181288960,16173195264,16185092096,11896832,11.345703125,15435.306640625,1,32,45.18330201972276,32,4,153,refine,[25],32,32,153,2,32,True
153,153,1,"[[0, 32]]",32,dual,1,True,[11],16181288960,16173195264,16185092096,11896832,11.345703125,15435.306640625,1,33,46.03233598754741,32,4,153,refine,[25],33,32,153,3,32,True
153,153,1,"[[0, 32]]",32,dual,1,True,[10],16181288960,16173195264,16185092096,11896832,11.345703125,15435.306640625,1,34,44.38638698775321,32,4,153,refine,[25],34,32,153,4,32,True
153,153,1,"[[0, 32]]",32,dual,1,True,[9],16181288960,16173195264,16185092096,11896832,11.345703125,15435.306640625,1,35,44.45588801172562,32,4,153,refine,[25],35,32,153,5,32,True
153,153,1,"[[0, 32]]",32,dual,1,True,[8],16181288960,16173195264,16185092096,11896832,11.345703125,15435.306640625,1,36,44.45075898547657,32,4,153,refine,[25],36,32,153,6,32,True
153,153,1,"[[0, 32]]",32,dual,1,True,[7],16181288960,16173195264,16185092096,11896832,11.345703125,15435.306640625,1,37,44.40764698665589,32,4,153,refine,[25],37,32,153,7,32,True
153,153,1,"[[0, 32]]",32,dual,1,True,[6],16181288960,16173195264,16185092096,11896832,11.345703125,15435.306640625,1,38,44.45256199687719,32,4,153,refine,[25],38,32,153,8,32,True
153,153,1,"[[0, 32]]",32,dual,1,True,[5],16181288960,16173195264,16185092096,11896832,11.345703125,15435.306640625,1,39,44.41972999484278,32,4,153,refine,[25],39,32,153,9,32,True
153,153,1,"[[0, 32]]",32,dual,1,True,[4],16181288960,16173195264,16185092096,11896832,11.345703125,15435.306640625,1,40,44.4458200072404,32,4,153,refine,[25],40,32,153,10,32,True
153,153,1,"[[0, 32]]",32,dual,1,True,[2],16181288960,16173195264,16185092096,11896832,11.345703125,15435.306640625,1,41,44.47756000445224,32,4,153,refine,[25],41,32,153,11,32,True
153,153,1,"[[0, 32]]",32,dual,1,True,[1],16181288960,16173195264,16185092096,11896832,11.345703125,15435.306640625,1,42,44.55042700283229,32,4,153,refine,[25],42,32,153,12,32,True
153,153,2,"[[89, 121]]",32,dual,1,False,[32],16293798912,16173195264,16296305664,123110400,117.4072265625,15541.3681640625,1,43,36.9817029859405,153,4,,warmup,[25],43,,153,0,32,True
153,153,3,"[[121, 153]]",32,dual,1,False,[32],16375849984,16255100928,16378356736,123255808,117.5458984375,15619.6181640625,1,44,40.478337003150955,153,4,,warmup,[25],44,,153,0,32,True
153,306,0,"[[25, 57], [25, 57]]",32,dual,2,False,"[32, 32]",16286048768,16044352000,16291062272,246710272,235.28125,15536.36767578125,2,0,71.99612999102101,153,4,,warmup,"[25, 25]",0,,153,0,32,True
153,306,0,"[[0, 32], [0, 32]]",32,dual,2,True,"[31, 31]",16302240768,16286053376,16309812224,23758848,22.658203125,15554.2490234375,2,1,47.99770799581893,32,4,153,refine,"[25, 25]",1,64,153,1,32,True
153,306,0,"[[0, 32], [0, 32]]",32,dual,2,True,"[30, 30]",16318429696,16302242304,16326001152,23758848,22.658203125,15569.68798828125,2,2,47.63482298585586,32,4,153,refine,"[25, 25]",2,64,153,2,32,True
153,306,0,"[[0, 32], [0, 32]]",32,dual,2,True,"[29, 29]",16318429696,16302242304,16326001152,23758848,22.658203125,15569.68798828125,2,3,47.61450400110334,32,4,153,refine,"[25, 25]",3,64,153,3,32,True
153,306,0,"[[0, 32], [0, 32]]",32,dual,2,True,"[26, 26]",16318429696,16302242304,16326001152,23758848,22.658203125,15569.68798828125,2,4,47.74561198428273,32,4,153,refine,"[25, 25]",4,64,153,4,32,True
153,306,0,"[[0, 32], [0, 32]]",32,dual,2,True,"[25, 25]",16318429696,16302242304,16326001152,23758848,22.658203125,15569.68798828125,2,5,47.56513101165183,32,4,153,refine,"[25, 25]",5,64,153,5,32,True
153,306,0,"[[0, 32], [0, 32]]",32,dual,2,True,"[24, 24]",16318429696,16302242304,16326001152,23758848,22.658203125,15569.68798828125,2,6,47.502271976554766,32,4,153,refine,"[25, 25]",6,64,153,6,32,True
153,306,0,"[[0, 32], [0, 32]]",32,dual,2,True,"[23, 23]",16318429696,16302242304,16326001152,23758848,22.658203125,15569.68798828125,2,7,47.56149399327114,32,4,153,refine,"[25, 25]",7,64,153,7,32,True
153,306,0,"[[0, 32], [0, 32]]",32,dual,2,True,"[22, 22]",16318429696,16302242304,16326001152,23758848,22.658203125,15569.68798828125,2,8,47.60505599551834,32,4,153,refine,"[25, 25]",8,64,153,8,32,True
153,306,0,"[[0, 32], [0, 32]]",32,dual,2,True,"[21, 21]",16318429696,16302242304,16326001152,23758848,22.658203125,15569.68798828125,2,9,47.659578995080665,32,4,153,refine,"[25, 25]",9,64,153,9,32,True
