batch_size,end_ms,latency_ms,memory_mb,oom,operation_index,phase,policy,request_ids,start_ms
4,110.4224417504156,110.4224417504156,467.0625,False,0,warmup,admit_all_memory_gated,"0,1,2,3",0.0
4,164.22644340846313,53.804001658047525,46.439453125,False,1,refine,admit_all_memory_gated,"0,1,2,3",110.4224417504156
4,218.03044506651065,53.804001658047525,46.439453125,False,2,refine,admit_all_memory_gated,"0,1,2,3",164.22644340846313
4,271.8344467245582,53.804001658047525,46.439453125,False,3,refine,admit_all_memory_gated,"0,1,2,3",218.03044506651065
4,325.6384483826057,53.804001658047525,46.439453125,False,4,refine,admit_all_memory_gated,"0,1,2,3",271.8344467245582
4,379.4424500406532,53.804001658047525,46.439453125,False,5,refine,admit_all_memory_gated,"0,1,2,3",325.6384483826057
4,433.24645169870075,53.804001658047525,46.439453125,False,6,refine,admit_all_memory_gated,"0,1,2,3",379.4424500406532
4,487.0504533567483,53.804001658047525,46.439453125,False,7,refine,admit_all_memory_gated,"0,1,2,3",433.24645169870075
4,540.8544550147958,53.804001658047525,46.439453125,False,8,refine,admit_all_memory_gated,"0,1,2,3",487.0504533567483
4,594.6584566728434,53.804001658047525,46.439453125,False,9,refine,admit_all_memory_gated,"0,1,2,3",540.8544550147958
4,648.462458330891,53.804001658047525,46.439453125,False,10,refine,admit_all_memory_gated,"0,1,2,3",594.6584566728434
4,702.2664599889385,53.804001658047525,46.439453125,False,11,refine,admit_all_memory_gated,"0,1,2,3",648.462458330891
4,812.6889017393542,110.4224417504156,467.0625,False,12,warmup,admit_all_memory_gated,"4,5,6,7",702.2664599889385
4,866.4929033974017,53.804001658047525,46.439453125,False,13,refine,admit_all_memory_gated,"4,5,6,7",812.6889017393542
4,920.2969050554493,53.804001658047525,46.439453125,False,14,refine,admit_all_memory_gated,"4,5,6,7",866.4929033974017
4,974.1009067134969,53.804001658047525,46.439453125,False,15,refine,admit_all_memory_gated,"4,5,6,7",920.2969050554493
4,1027.9049083715445,53.804001658047525,46.439453125,False,16,refine,admit_all_memory_gated,"4,5,6,7",974.1009067134969
4,1081.708910029592,53.804001658047525,46.439453125,False,17,refine,admit_all_memory_gated,"4,5,6,7",1027.9049083715445
