batch_size,cache_mode,mean_latency_ms,mean_memory_peak_delta_mb,num_calls,p50_latency_ms,p95_latency_ms,p95_memory_peak_delta_mb,phase,total_latency_ms
1,prefix,33.26679530247297,108.14977496603261,46,33.630331497988664,33.79993650742108,111.171875,refine,1530.2725839137565
1,prefix,38.61066325043794,117.559814453125,4,38.758602502639405,39.13879774772795,118.401123046875,warmup,154.44265300175175
2,prefix,59.61448852494041,215.5987215909091,44,63.79913449927699,64.16568640706828,221.91484375,refine,2623.0374950973783
2,prefix,73.29503749497235,232.8466796875,4,73.36571849009488,73.55187576758908,234.87314453124998,warmup,293.1801499798894
4,prefix,94.71847822913497,427.9865056818182,44,98.55937950487714,99.17495160043472,440.125,refine,4167.613042081939
4,prefix,110.06067850394174,464.396484375,4,109.84837250725832,110.6518181564752,466.5697265625,warmup,440.242714015767
8,prefix,175.14578926457776,848.9795918367347,49,187.19051699736156,188.59918201342225,875.9375,refine,8582.14367396431
8,prefix,206.79248125088634,928.685546875,4,206.81625099678058,207.1354717540089,930.625,warmup,827.1699250035454
