batch_size,refine_mean_latency_ms,refine_mean_memory_delta_mb,warmup_mean_latency_ms,warmup_mean_memory_delta_mb,warmup_time_fraction,warmup_to_refine_latency_ratio,warmup_to_refine_memory_delta_ratio
1,44.559000147273764,11.665825076219512,38.69878074328881,117.51123046875,0.07811173201372798,0.8684840462170133,10.073117820726942
2,47.74736182653436,22.658203125,72.00447650393471,233.48388671875,0.12825536334362087,1.508030470155109,10.304607361434359
4,53.804001658047525,45.799209222560975,110.4224417504156,465.123046875,0.1668230798021714,2.0523090912866997,10.155700388073022
8,91.98041626595801,92.08846227134147,204.647336009657,928.685546875,0.17835020428988993,2.2249011726357786,10.084711200178363
