policy,request_id,arrival_ms,first_start_ms,completion_ms,latency_ms,first_wait_ms,service_ms,inter_iteration_delay_ms,dispatches,canvas,deadline_ms,service_class,slo_miss
arrival_dense,0,0.0,0.0,740.0286039919592,740.0286039919592,0.0,740.0286039919592,0.0,16,128,50000.0,interactive_medium,False
arrival_dense,1,925.2833673237534,925.2833673237534,1392.8961352941756,467.61276797042217,0.0,467.6127679704223,-1.1368683772161603e-13,16,32,20925.283367323755,interactive_short,False
arrival_dense,2,1673.3377834459232,1673.3377834459232,4879.639414444419,3206.301630998496,0.0,3206.301630998496,0.0,16,32,21673.337783445924,interactive_short,False
arrival_dense,3,1803.4024122012502,1818.5023614348308,7068.534349454886,5265.131937253636,15.099949233580674,5250.031988020055,9.094947017729282e-13,16,32,21803.40241220125,interactive_short,False
arrival_dense,4,1819.71578961132,1910.7120054393006,7558.555657465796,5738.839867854476,90.99621582798068,5647.843652026495,9.094947017729282e-13,16,256,101819.71578961132,interactive_long,False
arrival_dense,5,2009.2148113906542,2076.4556014471154,8107.92708447817,6098.712273087516,67.24079005646126,6031.471483031055,0.0,16,128,52009.21481139065,interactive_medium,False
arrival_dense,6,2165.025227937358,2283.71503546051,8702.273107468238,6537.24787953088,118.68980752315201,6418.558072007727,9.094947017729282e-13,16,256,102165.02522793735,interactive_long,False
arrival_dense,7,2283.5088348716827,2283.71503546051,8702.273107468238,6418.764272596555,0.20620058882741432,6418.558072007727,9.094947017729282e-13,16,32,22283.50883487168,interactive_short,False
arrival_dense,8,3715.069487498412,3791.2088914451588,11976.658986430004,8261.589498931593,76.13940394674682,8185.450094984844,1.8189894035458565e-12,16,64,53715.06948749841,interactive_medium,False
arrival_dense,9,4760.29091075436,4879.639414444419,14079.645879406336,9319.354968651976,119.34850369005926,9200.006464961916,0.0,16,32,24760.29091075436,interactive_short,False
arrival_dense,10,4949.2240628752925,5242.522813452261,14867.904999394988,9918.680936519697,293.2987505769688,9625.382185942726,1.8189894035458565e-12,16,32,24949.22406287529,interactive_short,False
arrival_dense,11,5481.965645171785,5643.226721454731,15655.17497238735,10173.209327215565,161.2610762829463,10011.948250932619,0.0,16,128,55481.96564517178,interactive_medium,False
arrival_dense,12,5733.75156084558,6088.533353453123,16441.573810399597,10707.822249554018,354.78179260754314,10353.040456946474,0.0,16,32,25733.75156084558,interactive_short,False
arrival_dense,13,6963.649392422645,7068.534349454886,18015.397442373534,11051.74804995089,104.88495703224089,10946.863092918647,0.0,16,32,26963.649392422645,interactive_short,False
arrival_dense,14,7270.680491259453,7558.555657465796,18803.112384382723,11532.43189312327,287.8751662063423,11244.556726916926,1.8189894035458565e-12,16,128,57270.68049125945,interactive_medium,False
arrival_dense,15,7424.541368399712,7558.555657465796,18803.112384382723,11378.57101598301,134.01428906608362,11244.556726916926,0.0,16,128,57424.54136839971,interactive_medium,False
arrival_dense,16,7566.139116298556,8107.92708447817,19592.018776383804,12025.879660085247,541.7879681796148,11484.091691905633,0.0,16,32,27566.139116298556,interactive_short,False
arrival_dense,17,7978.186512353906,8107.92708447817,19592.018776383804,11613.832264029897,129.74057212426396,11484.091691905633,0.0,16,128,57978.1865123539,interactive_medium,False
arrival_dense,18,8130.594936963502,8702.273107468238,20381.094408381352,12250.49947141785,571.678170504736,11678.821300913114,0.0,16,256,108130.5949369635,interactive_long,False
