file,workload,arrival_rate_rps,refinement_steps,policy,throughput_rps,throughput_speedup,p95_latency_ms,p95_latency_ratio,p95_first_wait_ms,p95_service_ms,p95_inter_iteration_delay_ms,gpu_busy_fraction,gpu_time_ratio,mean_batch_size,partial_dispatch_ratio,token_coupling_waste_ratio,attention_coupling_waste_ratio,slo_miss_rate
mix50_r0p5_s16_summary.json,mix50,0.5,16,arrival_dense,0.4703537229383453,1.0,2871.479419811506,1.0,77.76717225741413,2860.388847412832,0.0,0.3829541336970643,1.0,1.3111395646606914,1.0,0.1467823571945047,0.16893203883495145,0.0
mix50_r0p5_s16_summary.json,mix50,0.5,16,packed_mixed_fixed_canvas,0.47026705750660636,0.9998157441357165,2604.9612745330373,0.9071843790905652,95.37908519630678,2604.7453185965414,0.0,0.3684545777003148,0.9623149293902603,1.2978453738910012,1.0,0.0,0.0,0.0
mix50_r0p5_s16_summary.json,mix50,0.5,16,coarse_canvas_queue,0.47026674302633137,0.9998150755319409,2596.0385149061008,0.9040770053913582,935.7841546253125,2569.19516779162,0.0,0.3791881477534281,0.9903491006300915,1.186558516801854,1.0,0.0950920245398773,0.05052517203911626,0.0
mix50_r0p5_s16_summary.json,mix50,0.5,16,exact_canvas_queue,0.47026814048275645,0.9998180466074463,2582.844930413554,0.8994823060870486,936.3890400038738,2567.8921142010927,0.0,0.3682054697159732,0.9616621045121742,1.1838150289017342,1.0,0.0,0.0,0.0
mix50_r0p5_s16_summary.json,mix50,0.5,16,exact_canvas_queue_wait,0.4703788679200829,1.0000534597272464,2676.3935200691885,0.9320608399989426,955.2568392800688,2634.098507225278,0.0,0.3670649517754662,0.9584576776565312,1.18931475029036,1.0,0.0,0.0,0.0
mix50_r0p5_s16_summary.json,mix50,0.5,16,exact_canvas_queue_bounded,0.47038990891975285,1.0000769335494604,2723.7361800110957,0.9485480415492205,73.65462458287402,2632.7547111373833,469.71265827305615,0.36798797763591323,0.9608452731406689,1.1770114942528735,1.0,0.0,0.0,0.0
mix50_r2_s16_summary.json,mix50,2.0,16,arrival_dense,1.2524420271424217,1.0,18498.36232532973,1.0,9331.987018709086,12637.66300723073,0.0,1.0,1.0,9.941747572815533,0.39805825242718446,0.41886234917508003,0.45993690851735014,0.0
mix50_r2_s16_summary.json,mix50,2.0,16,packed_mixed_fixed_canvas,1.686587809702601,1.3466394237430124,4930.46880995099,0.26653542206813197,259.7053990574927,4734.146578348009,0.0,1.0,0.7425892799280145,4.876190476190477,0.8428571428571429,0.0,0.0,0.0
mix50_r2_s16_summary.json,mix50,2.0,16,coarse_canvas_queue,1.6388277784476524,1.308505897224489,6272.314196409432,0.33907402645156204,3780.9534921167824,5181.973447004566,1974.416572978953,1.0,0.7642304112813934,3.5555555555555554,0.9513888888888888,0.0950920245398773,0.05052517203911626,0.0
mix50_r2_s16_summary.json,mix50,2.0,16,exact_canvas_queue,1.6930893442385333,1.3518305099530195,4711.880107142406,0.2547187704659914,2749.285149932697,4457.811002712696,1232.9601633158745,1.0,0.7397377057533294,2.8131868131868134,0.989010989010989,0.0,0.0,0.0
