request_id,cache_mode,prompt_length,generation_length,block,inner_step,progress,semantic_bytes,cache_bytes,full_offload_ms,full_offload_p95_ms,semantic_only_ms,semantic_only_p95_ms,restart_ms,restart_p95_ms,keep_resume_ms,keep_gpu_bytes,median_iteration_ms
shape0_p25_g128,prefix,25,128,0,0,0.0,1224,0,0.7174000347731635,0.7181803244748153,7.073016997310333,7.091848606069107,0.5120425194036216,0.5129123775986955,0.26628299383446574,2464,32.300313003361225
shape0_p25_g128,prefix,25,128,0,13,0.1015625,1224,13107200,8.124461965053342,12.021809352154378,51.97370797395706,52.30255358328577,465.09658147988375,465.6620258334442,0.6845379975857213,13109920,32.300313003361225
shape0_p25_g128,prefix,25,128,1,0,0.25,1224,0,0.7103599928086624,0.7335062124184333,7.277908007381484,7.48704822617583,1133.853729479597,1134.3205095341546,0.26611700013745576,2464,32.300313003361225
shape0_p25_g128,prefix,25,128,2,0,0.5,1224,0,0.700921518728137,0.7114987733075395,7.113336483598687,7.114419621939305,2229.0931425086455,2229.2624149515177,0.27159751334693283,2464,32.300313003361225
shape0_p25_g128,prefix,25,128,3,0,0.75,1224,0,0.7110619480954483,0.7361467447481118,7.115838525351137,7.153836076031439,3262.519286494353,3263.031760441663,0.27772950124926865,2464,32.300313003361225
shape0_p25_g128,prefix,25,128,3,19,0.8984375,1224,63438848,25.867846532491967,41.83925420511514,53.246677038259804,53.59623074182309,3865.3702439914923,3865.7998193841195,0.679548000334762,63441568,32.300313003361225
shape0_p25_g128,prefix,25,128,3,31,0.9921875,1224,63438848,7.514986995374784,7.970052227028646,55.745775971445255,57.67275606194744,4233.387720509199,4234.104137175018,0.6801554991398007,63441568,32.300313003361225
shape0_p25_g128,dual,25,128,0,0,0.0,1224,0,0.6965454813325778,0.7082225332851522,7.06961601099465,7.111067311780062,0.5161494918866083,0.5169113414012827,0.2734259905992076,2464,46.1810469860211
shape0_p25_g128,dual,25,128,0,13,0.1015625,1224,80216064,43.895845985389315,74.98394028953044,52.61030702968128,52.61189914599527,605.8897674956825,605.8957232307876,0.6409249908756465,80218937,46.1810469860211
shape0_p25_g128,dual,25,128,1,0,0.25,1224,0,0.7026315142866224,0.7204996625659987,7.1043585339793935,7.169654908648226,1491.110346498317,1491.4552251560963,0.26697400608099997,2464,46.1810469860211
shape0_p25_g128,dual,25,128,2,0,0.5,1224,0,0.7081064686644822,0.7186387229012325,7.132242986699566,7.1676705934805796,2984.94165649754,2988.3733992348425,0.27234900335315615,2464,46.1810469860211
shape0_p25_g128,dual,25,128,3,0,0.75,1224,0,0.7195429789135233,0.7395382577669807,7.146402000216767,7.163584796944633,4475.472366495524,4479.45107613923,0.2812805032590404,2464,46.1810469860211
shape0_p25_g128,dual,25,128,3,19,0.8984375,1224,80216064,8.557360502891243,8.93794126168359,56.113108483259566,59.14767490903614,5361.314745998243,5365.274533600314,0.6500510062323883,80218937,46.1810469860211
shape0_p25_g128,dual,25,128,3,31,0.9921875,1224,80216064,8.843745003105141,9.331110304628965,52.6698530302383,52.9430093272822,5916.028982494026,5919.866956447368,0.6564195064129308,80218937,46.1810469860211
