request_id,cache_mode,prompt_length,generation_length,block,inner_step,progress,semantic_bytes,cache_bytes,strategy,cpu_memory_mode,checkpoint_prepare_ms,d2h_ms,gpu_restore_prepare_ms,h2d_ms,semantic_restore_ms,restore_setup_ms,rebuild_ms,recompute_ms,total_recovery_ms,gpu_bytes_retained,full_state_bytes,median_iteration_ms,final_exact,repetition
shape0_p25_g128,prefix,25,128,0,0,0.0,1224,0,full_offload_pageable,pageable,0.041157996747642756,0.04500499926507473,0.1079339999705553,0.07875901064835489,0.0,0.535931991180405,0.0,0.0,0.8087879978120327,0,2464,32.300313003361225,True,0
shape0_p25_g128,prefix,25,128,0,0,0.0,1224,0,full_offload_pageable,pageable,0.02098002005368471,0.04136798088438809,0.09247398702427745,0.07460100459866226,0.0,0.47333401744253933,0.0,0.0,0.7027570100035518,0,2464,32.300313003361225,True,1
shape0_p25_g128,prefix,25,128,0,0,0.0,1224,0,full_offload_pinned,pinned,0.04413301940076053,0.03200001083314419,0.09358700481243432,0.0678280193824321,0.0,0.4789849917870015,0.0,0.0,0.7165330462157726,0,2464,32.300313003361225,True,0
shape0_p25_g128,prefix,25,128,0,0,0.0,1224,0,full_offload_pinned,pinned,0.04791101673617959,0.026730995159596205,0.09399699047207832,0.06829900667071342,0.0,0.4813290142919868,0.0,0.0,0.7182670233305544,0,2464,32.300313003361225,True,1
shape0_p25_g128,prefix,25,128,0,0,0.0,1224,0,semantic_only,pinned,0.042920990381389856,0.0264599802903831,0.08549200720153749,0.05886200233362615,6.838358007371426,6.838358007371426,0,0.0,7.052092987578362,0,2464,32.300313003361225,True,0
shape0_p25_g128,prefix,25,128,0,0,0.0,1224,0,semantic_only,pinned,0.08150399662554264,0.06548297824338078,0.09374701767228544,0.060645019402727485,6.792561995098367,6.792561995098367,0,0.0,7.093941007042304,0,2464,32.300313003361225,True,1
shape0_p25_g128,prefix,25,128,0,0,0.0,1224,0,drop_restart,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5130090285092592,0.5130090285092592,0,2464,32.300313003361225,True,0
shape0_p25_g128,prefix,25,128,0,0,0.0,1224,0,drop_restart,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5110760102979839,0.5110760102979839,0,2464,32.300313003361225,True,1
shape0_p25_g128,prefix,25,128,0,0,0.0,1224,0,keep,none,0.0,0.0,0.0,0.0,0.0,0.28627098072320223,0.0,0.0,0.28627098072320223,2464,2464,32.300313003361225,True,0
shape0_p25_g128,prefix,25,128,0,0,0.0,1224,0,keep,none,0.0,0.0,0.0,0.0,0.0,0.24629500694572926,0.0,0.0,0.24629500694572926,2464,2464,32.300313003361225,True,1
shape0_p25_g128,prefix,25,128,0,13,0.1015625,1224,13107200,full_offload_pageable,pageable,0.40237000212073326,7.667373982258141,0.34719600807875395,1.9203079864382744,0.0,0.9480709850322455,0.0,0.0,11.285318963928148,0,13109920,32.300313003361225,True,0
