request_id,cache_mode,prompt_length,generation_length,block,inner_step,progress,semantic_bytes,cache_bytes,strategy,cpu_memory_mode,checkpoint_prepare_ms,d2h_ms,gpu_restore_prepare_ms,h2d_ms,semantic_restore_ms,restore_setup_ms,rebuild_ms,recompute_ms,total_recovery_ms,gpu_bytes_retained,full_state_bytes,median_iteration_ms,final_exact,repetition
shape0_p25_g128,prefix,25,128,0,0,0.0,1224,0,full_offload_pageable,pageable,0.03942399052903056,0.044783984776586294,0.09211400174535811,0.0730179890524596,0.0,0.46483700862154365,0.0,0.0,0.7141769747249782,0,2464,32.65765099786222,True,0
shape0_p25_g128,prefix,25,128,0,0,0.0,1224,0,full_offload_pageable,pageable,0.019296974642202258,0.03696000203490257,0.0937570002861321,0.07415001164190471,0.0,0.4632749769371003,0.0,0.0,0.6874389655422419,0,2464,32.65765099786222,True,1
shape0_p25_g128,prefix,25,128,0,0,0.0,1224,0,full_offload_pageable,pageable,0.018494989490136504,0.0441830197814852,0.09238501661457121,0.0746709993109107,0.0,0.46594999730587006,0.0,0.0,0.6956840225029737,0,2464,32.65765099786222,True,2
shape0_p25_g128,prefix,25,128,0,0,0.0,1224,0,full_offload_pageable,pageable,0.01726299524307251,0.03640801878646016,0.09606100502423942,0.0721460091881454,0.0,0.4635459918063134,0.0,0.0,0.6854240200482309,0,2464,32.65765099786222,True,3
shape0_p25_g128,prefix,25,128,0,0,0.0,1224,0,full_offload_pageable,pageable,0.018664984963834286,0.035878008930012584,0.08847701246850193,0.07133500184863806,0.0,0.4674920055549592,0.0,0.0,0.681847013765946,0,2464,32.65765099786222,True,4
shape0_p25_g128,prefix,25,128,0,0,0.0,1224,0,full_offload_pageable,pageable,0.019005994545295835,0.04222997813485563,0.08844700641930103,0.07424101931974292,0.0,0.4741360025946051,0.0,0.0,0.6980600010138005,0,2464,32.65765099786222,True,5
shape0_p25_g128,prefix,25,128,0,0,0.0,1224,0,full_offload_pageable,pageable,0.01884502125903964,0.03701000241562724,0.09186399984173477,0.07336901035159826,0.0,0.46675102203153074,0.0,0.0,0.6878390558995306,0,2464,32.65765099786222,True,6
shape0_p25_g128,prefix,25,128,0,0,0.0,1224,0,full_offload_pageable,pageable,0.018435006495565176,0.03610801650211215,0.09147298987954855,0.07044299854896963,0.0,0.484814983792603,0.0,0.0,0.7012739952187985,0,2464,32.65765099786222,True,7
shape0_p25_g128,prefix,25,128,0,0,0.0,1224,0,full_offload_pageable,pageable,0.01930701546370983,0.03684900002554059,0.08958898251876235,0.07139399531297386,0.0,0.461049989098683,0.0,0.0,0.6781889824196696,0,2464,32.65765099786222,True,8
shape0_p25_g128,prefix,25,128,0,0,0.0,1224,0,full_offload_pageable,pageable,0.01881597563624382,0.036739977076649666,0.090310990344733,0.07146500865928829,0.0,0.4674119991250336,0.0,0.0,0.6847439508419484,0,2464,32.65765099786222,True,9
shape0_p25_g128,prefix,25,128,0,0,0.0,1224,0,full_offload_pinned,pinned,0.04462499055080116,0.03776198718696833,0.08856700151227415,0.06533399573527277,0.0,0.4776120185852051,0.0,0.0,0.7138999935705215,0,2464,32.65765099786222,True,0
shape0_p25_g128,prefix,25,128,0,0,0.0,1224,0,full_offload_pinned,pinned,0.04860199987888336,0.02685000072233379,0.08820599759928882,0.06569401011802256,0.0,0.4664309963118285,0.0,0.0,0.695783004630357,0,2464,32.65765099786222,True,1
shape0_p25_g128,prefix,25,128,0,0,0.0,1224,0,full_offload_pinned,pinned,0.024164997739717364,0.02482699346728623,0.09305600542575121,0.0707930012140423,0.0,0.46893599210307,0.0,0.0,0.6817769899498671,0,2464,32.65765099786222,True,2
shape0_p25_g128,prefix,25,128,0,0,0.0,1224,0,full_offload_pinned,pinned,0.024465989554300904,0.02486698213033378,0.09692300227470696,0.0691699970047921,0.0,0.4687950131483376,0.0,0.0,0.6842209841124713,0,2464,32.65765099786222,True,3
shape0_p25_g128,prefix,25,128,0,0,0.0,1224,0,full_offload_pinned,pinned,0.024946988560259342,0.025467976229265332,0.09329602471552789,0.0669370056129992,0.0,0.4645769950002432,0.0,0.0,0.675224990118295,0,2464,32.65765099786222,True,4
shape0_p25_g128,prefix,25,128,0,0,0.0,1224,0,full_offload_pinned,pinned,0.024876993848010898,0.025509012630209327,0.0919130106922239,0.06407100590877235,0.0,0.4672619979828596,0.0,0.0,0.6736320210620761,0,2464,32.65765099786222,True,5
shape0_p25_g128,prefix,25,128,0,0,0.0,1224,0,full_offload_pinned,pinned,0.024545995984226465,0.0313500058837235,0.09301601676270366,0.065723987063393,0.0,0.4737339913845062,0.0,0.0,0.6883699970785528,0,2464,32.65765099786222,True,6
shape0_p25_g128,prefix,25,128,0,0,0.0,1224,0,full_offload_pinned,pinned,0.024205015506595373,0.025838991859927773,0.09813500219024718,0.06770802428945899,0.0,0.46739200479350984,0.0,0.0,0.6832790386397392,0,2464,32.65765099786222,True,7
shape0_p25_g128,prefix,25,128,0,0,0.0,1224,0,full_offload_pinned,pinned,0.025147019186988473,0.025348010240122676,0.09361698175780475,0.06541400216519833,0.0,0.48371401499025524,0.0,0.0,0.6932400283403695,0,2464,32.65765099786222,True,8
shape0_p25_g128,prefix,25,128,0,0,0.0,1224,0,full_offload_pinned,pinned,0.026530004106462002,0.02584900357760489,0.09442798909731209,0.06732699694111943,0.0,0.47332298709079623,0.0,0.0,0.6874569808132946,0,2464,32.65765099786222,True,9
shape0_p25_g128,prefix,25,128,0,0,0.0,1224,0,semantic_only,pinned,0.044082989916205406,0.025518995244055986,0.08697400335222483,0.05884197889827192,6.787074002204463,6.787074002204463,0,0.0,7.002491969615221,0,2464,32.65765099786222,True,0
shape0_p25_g128,prefix,25,128,0,0,0.0,1224,0,semantic_only,pinned,0.08448000880889595,0.06747798761352897,0.0866430054884404,0.06313898484222591,6.779329007258639,6.779329007258639,0,0.0,7.08106899401173,0,2464,32.65765099786222,True,1
shape0_p25_g128,prefix,25,128,0,0,0.0,1224,0,semantic_only,pinned,0.07647398160770535,0.06523399497382343,0.08869700832292438,0.06011300138197839,6.796450994443148,6.796450994443148,0,0.0,7.08696898072958,0,2464,32.65765099786222,True,2
