action_position_count,bias_strength,elapsed_ms,false_starts,final_ready,policy,quality_preserved,ready_delta_vs_baseline,ready_fraction,request_index,stable_fraction,target_tool
7,0.4,435.5459350044839,0,True,action_priority,True,0.14285714285714285,0.42857142857142855,10,0.42857142857142855,flight_search
7,0.0,435.4551830329001,0,True,baseline,True,0.0,0.42857142857142855,11,0.42857142857142855,flight_search
7,0.05,436.2269109697081,0,True,action_priority,True,0.0,0.42857142857142855,11,0.42857142857142855,flight_search
7,0.1,435.9354209736921,0,True,action_priority,True,0.0,0.42857142857142855,11,0.42857142857142855,flight_search
7,0.2,435.81774801714346,0,True,action_priority,True,0.0,0.42857142857142855,11,0.42857142857142855,flight_search
7,0.4,438.0081149865873,0,True,action_priority,True,0.14285714285714285,0.2857142857142857,11,0.2857142857142857,flight_search
7,0.0,474.7012429870665,0,True,baseline,True,0.0,0.625,12,0.625,flight_search
7,0.05,437.59641802171245,0,True,action_priority,True,0.0535714285714286,0.5714285714285714,12,0.5714285714285714,flight_search
7,0.1,437.3885649838485,0,True,action_priority,True,0.0535714285714286,0.5714285714285714,12,0.5714285714285714,flight_search
7,0.2,438.6476130457595,0,True,action_priority,True,0.0535714285714286,0.5714285714285714,12,0.5714285714285714,flight_search
7,0.4,547.3852410214022,0,True,action_priority,True,-0.07499999999999996,0.7,12,0.7,flight_search
7,0.0,437.9374219570309,0,True,baseline,True,0.0,0.5714285714285714,13,0.5714285714285714,flight_search
7,0.05,400.47874802257866,0,True,action_priority,True,0.0714285714285714,0.5,13,0.5,flight_search
7,0.1,400.89571598218754,0,True,action_priority,True,0.0714285714285714,0.5,13,0.5,flight_search
7,0.2,401.48051001597196,0,True,action_priority,True,0.0714285714285714,0.5,13,0.5,flight_search
7,0.4,365.7962289871648,0,True,action_priority,True,0.17142857142857137,0.4,13,0.4,flight_search
7,0.0,474.1100849932991,0,True,baseline,True,0.0,0.625,14,0.625,flight_search
7,0.05,438.7304399861023,0,True,action_priority,True,0.0535714285714286,0.5714285714285714,14,0.5714285714285714,flight_search
7,0.1,438.1558040040545,0,True,action_priority,True,0.0535714285714286,0.5714285714285714,14,0.5714285714285714,flight_search
7,0.2,547.9541749809869,0,True,action_priority,True,-0.07499999999999996,0.7,14,0.7,flight_search
7,0.4,549.4850659742951,0,True,action_priority,True,-0.07499999999999996,0.7,14,0.7,flight_search
5,0.0,400.5910810083151,0,True,baseline,True,0.0,0.5,15,0.5,weather
5,0.05,400.36505297757685,0,True,action_priority,True,0.0,0.5,15,0.5,weather
5,0.1,400.0226969947107,0,True,action_priority,True,0.0,0.5,15,0.5,weather
5,0.2,400.06369398906827,0,True,action_priority,True,0.16666666666666669,0.3333333333333333,15,0.3333333333333333,weather
5,0.4,400.369031005539,0,True,action_priority,True,0.16666666666666669,0.3333333333333333,15,0.3333333333333333,weather
4,0.0,400.08681803010404,0,True,baseline,True,0.0,0.5,16,0.5,weather
4,0.05,399.5287439902313,0,True,action_priority,True,0.0,0.5,16,0.5,weather
4,0.1,399.81646701926365,0,True,action_priority,True,0.0,0.5,16,0.5,weather
4,0.2,401.00836899364367,0,True,action_priority,True,0.0,0.5,16,0.5,weather
4,0.4,364.11052400944754,0,True,action_priority,True,0.09999999999999998,0.4,16,0.4,weather
4,0.0,401.7252330086194,0,True,baseline,True,0.0,0.5,17,0.5,weather
4,0.05,400.69699101150036,0,True,action_priority,True,0.0,0.5,17,0.5,weather
4,0.1,363.7214999762364,0,True,action_priority,True,0.09999999999999998,0.4,17,0.4,weather
4,0.2,363.1973899900913,0,True,action_priority,True,0.09999999999999998,0.4,17,0.4,weather
4,0.4,364.08498702803627,0,True,action_priority,True,0.09999999999999998,0.4,17,0.4,weather
4,0.0,402.31073898030445,0,True,baseline,True,0.0,0.5,18,0.5,weather
