ar_parallel_ms,ar_serial_ms,bias_strength,dllm_parallel_ms,dllm_serial_ms,dllm_vs_ar_parallel_speedup,dllm_vs_ar_serial_speedup,dllm_vs_no_spec_parallel_speedup,dllm_vs_no_spec_serial_speedup,generation_ms,no_spec_parallel_ms,no_spec_serial_ms,num_calls,prompt_format,request_index,tool_latency_ms
1592.9935910040513,1592.9935910040513,0.0,1492.9935910040513,1492.9935910040513,1.066979523959476,1.066979523959476,1.066979523959476,1.200938571878428,1492.9935910040513,1592.9935910040513,1792.9935910040513,3,action_list,0,100.0
1792.9935910040513,1792.9935910040513,0.0,1492.9935910040513,1492.9935910040513,1.200938571878428,1.200938571878428,1.200938571878428,1.6028157156352842,1492.9935910040513,1792.9935910040513,2392.9935910040513,3,action_list,0,300.0
1992.9935910040513,2139.8543961445935,0.0,1492.9935910040513,1926.569597429729,1.33489761979738,1.1107070302569975,1.33489761979738,1.5535351512849875,1492.9935910040513,1992.9935910040513,2992.9935910040513,3,action_list,0,500.0
2492.9935910040513,3639.8543961445935,0.0,1853.1391948594578,3426.5695974297287,1.3452813463335764,1.0622444087739673,1.3452813463335764,1.3112220438698363,1492.9935910040513,2492.9935910040513,4492.993591004051,3,action_list,0,1000.0
3492.9935910040513,6639.854396144594,0.0,2853.139194859458,6426.569597429729,1.2242632947237304,1.0331879699552569,1.2242632947237304,1.1659398497762838,1492.9935910040513,3492.9935910040513,7492.993591004051,3,action_list,0,2000.0
1058.4500669734553,1058.4500669734553,0.0,958.4500669734553,958.4500669734553,1.1043351171290279,1.1043351171290279,1.1043351171290279,1.3130053513870834,958.4500669734553,1058.4500669734553,1258.4500669734553,3,action_list,1,100.0
1258.4500669734553,1310.764314417195,0.0,1121.52862883439,1310.764314417195,1.1220846571534855,1.0,1.1220846571534855,1.4178369417996992,958.4500669734553,1258.4500669734553,1858.4500669734553,3,action_list,1,300.0
1458.4500669734553,1910.764314417195,0.0,1321.52862883439,1910.764314417195,1.1036083783215747,1.0,1.1036083783215747,1.286631767415706,958.4500669734553,1458.4500669734553,2458.4500669734553,3,action_list,1,500.0
1958.4500669734553,3410.7643144171952,0.0,1821.52862883439,3410.7643144171952,1.0751684250094287,1.0,1.0751684250094287,1.160575666351735,958.4500669734553,1958.4500669734553,3958.4500669734553,3,action_list,1,1000.0
2958.4500669734553,6410.764314417195,0.0,2821.52862883439,6410.764314417195,1.0485273963694033,1.0,1.0485273963694033,1.0854322083444197,958.4500669734553,2958.4500669734553,6958.450066973455,3,action_list,1,2000.0
