ar_parallel_ms,ar_serial_ms,dllm_parallel_ms,dllm_serial_ms,dllm_vs_ar_parallel_speedup,dllm_vs_ar_serial_speedup,dllm_vs_no_spec_parallel_speedup,dllm_vs_no_spec_serial_speedup,generation_ms,no_spec_parallel_ms,no_spec_serial_ms,num_calls,request_index,tool_latency_ms
1612.9704379942268,1612.9704379942268,1512.9704379942268,1512.9704379942268,1.0660951446827818,1.0660951446827818,1.0660951446827818,1.198285434048345,1512.9704379942268,1612.9704379942268,1812.9704379942268,3,0,100.0
1812.9704379942268,1812.9704379942268,1596.8318039950516,1680.6931699958764,1.1353546650676836,1.0787039956845157,1.1353546650676836,1.4356995560350538,1512.9704379942268,1812.9704379942268,2412.970437994227,3,0,300.0
2012.9704379942268,2012.9704379942268,1796.8318039950516,2148.415901997526,1.1202887401695671,0.936955659340742,1.1202887401695671,1.402414884004939,1512.9704379942268,2012.9704379942268,3012.970437994227,3,0,500.0
2512.970437994227,3432.2772679983505,2296.831803995052,3648.415901997526,1.0941029437258876,0.9407582249927048,1.0941029437258876,1.2369671000291806,1512.9704379942268,2512.970437994227,4512.970437994227,3,0,1000.0
3512.970437994227,6432.27726799835,3296.831803995052,6648.415901997526,1.0655594967681583,0.967490205609093,1.0655594967681583,1.1300391775636276,1512.9704379942268,3512.970437994227,7512.970437994227,3,0,2000.0
969.4117769482546,969.4117769482546,869.4117769482546,869.4117769482546,1.1150202960799687,1.1150202960799687,1.1150202960799687,1.3450608882399062,869.4117769482546,969.4117769482546,1169.4117769482546,3,1,100.0
1169.4117769482546,1189.803925649418,879.6078512988363,1189.803925649418,1.3294694621262093,1.0,1.3294694621262093,1.487145687456423,869.4117769482546,1169.4117769482546,1769.4117769482546,3,1,300.0
1369.4117769482546,1789.803925649418,1079.6078512988363,1789.803925649418,1.2684344369122231,1.0,1.2684344369122231,1.3238387417708506,869.4117769482546,1369.4117769482546,2369.4117769482546,3,1,500.0
1869.4117769482546,3289.803925649418,1579.6078512988363,3289.803925649418,1.1834657414567333,1.0,1.1834657414567333,1.1761830991749516,869.4117769482546,1869.4117769482546,3869.4117769482546,3,1,1000.0
2869.4117769482546,6289.803925649418,2579.607851298836,6289.803925649418,1.1123441787880672,1.0,1.1123441787880672,1.0921503846781668,869.4117769482546,2869.4117769482546,6869.411776948255,3,1,2000.0
750.869193021208,750.869193021208,657.8878797324641,664.9065664437201,1.1413330692861459,1.129285272421451,1.1413330692861459,1.4300794141753943,650.869193021208,750.869193021208,950.869193021208,3,2,100.0
950.869193021208,1085.962626577488,857.8878797324641,1085.962626577488,1.1083839922272134,1.0,1.1083839922272134,1.4281054937488191,650.869193021208,950.869193021208,1550.869193021208,3,2,300.0
1150.869193021208,1685.962626577488,1057.8878797324642,1685.962626577488,1.0878933534168653,1.0,1.0878933534168653,1.2757514070092304,650.869193021208,1150.869193021208,2150.869193021208,3,2,500.0
1650.869193021208,3185.9626265774878,1557.8878797324642,3185.9626265774878,1.059684213798949,1.0,1.059684213798949,1.1459234212496539,650.869193021208,1650.869193021208,3650.869193021208,3,2,1000.0
2650.869193021208,6185.962626577488,2557.887879732464,6185.962626577488,1.0363508166348827,1.0,1.0363508166348827,1.0751550881420278,650.869193021208,2650.869193021208,6650.869193021208,3,2,2000.0
690.3232609853148,690.3232609853148,591.9360508210957,593.5488406568766,1.1662125664212253,1.163043735746057,1.1662125664212253,1.5,590.3232609853148,690.3232609853148,890.3232609853148,3,3,100.0
890.3232609853148,1096.7744203284383,791.9360508210957,1096.7744203284383,1.124236306785389,1.0,1.124236306785389,1.35882386875783,590.3232609853148,890.3232609853148,1490.3232609853148,3,3,300.0
1090.3232609853148,1696.7744203284383,991.9360508210957,1696.7744203284383,1.099187049490516,1.0,1.099187049490516,1.2319393998058379,590.3232609853148,1090.3232609853148,2090.323260985315,3,3,500.0
1590.3232609853148,3196.7744203284383,1491.9360508210957,3196.7744203284383,1.065945996887783,1.0,1.065945996887783,1.123108104892945,590.3232609853148,1590.3232609853148,3590.323260985315,3,3,1000.0
2590.323260985315,6196.774420328438,2491.9360508210957,6196.774420328438,1.0394822371672823,1.0,1.0394822371672823,1.0635086601451627,590.3232609853148,2590.323260985315,6590.323260985315,3,3,2000.0
795.0140980188735,795.0140980188735,695.0140980188735,721.2605735141551,1.143881973452119,1.1022564205130103,1.143881973452119,1.379548715897398,695.0140980188735,795.0140980188735,995.0140980188735,3,4,100.0
995.0140980188735,1160.6302867570776,821.2605735141551,1160.6302867570776,1.2115692998158076,1.0,1.2115692998158076,1.374265445437849,695.0140980188735,995.0140980188735,1595.0140980188735,3,4,300.0
1195.0140980188735,1760.6302867570776,1021.2605735141551,1760.6302867570776,1.1701363285834416,1.0,1.1701363285834416,1.2467206287027424,695.0140980188735,1195.0140980188735,2195.0140980188735,3,4,500.0
1695.0140980188735,3260.6302867570776,1521.260573514155,3260.6302867570776,1.1142168064629079,1.0,1.1142168064629079,1.133220811027251,695.0140980188735,1695.0140980188735,3695.0140980188735,3,4,1000.0
2695.0140980188735,6260.630286757078,2521.260573514155,6260.630286757078,1.0689153379583212,1.0,1.0689153379583212,1.069383399332913,695.0140980188735,2695.0140980188735,6695.0140980188735,3,4,2000.0
696.892992965877,696.892992965877,597.4108274715643,597.9286619772513,1.1665222003346565,1.1655119369280058,1.1665222003346565,1.5000000000000002,596.892992965877,696.892992965877,896.892992965877,3,5,100.0
896.892992965877,1098.9643309886255,797.4108274715643,1098.9643309886255,1.1247564769213776,1.0,1.1247564769213776,1.3620942470619368,596.892992965877,896.892992965877,1496.892992965877,3,5,300.0
1096.892992965877,1698.9643309886255,997.4108274715643,1698.9643309886255,1.0997404106254791,1.0,1.0997404106254791,1.2342183733461298,596.892992965877,1096.892992965877,2096.892992965877,3,5,500.0
1596.892992965877,3198.964330988626,1497.4108274715643,3198.964330988626,1.0664361200474903,1.0,1.0664361200474903,1.1243929662242507,596.892992965877,1596.892992965877,3596.892992965877,3,5,1000.0
2596.892992965877,6198.964330988625,2497.410827471564,6198.964330988625,1.0398341211626085,1.0,1.0398341211626085,1.0641927652314447,596.892992965877,2596.892992965877,6596.892992965877,3,5,2000.0
741.8446719762869,741.8446719762869,641.8446719762869,658.4604799830621,1.155800934970906,1.126635074583929,1.155800934970906,1.4303738806017856,641.8446719762869,741.8446719762869,941.8446719762869,3,6,100.0
941.8446719762869,1083.3841919932247,758.4604799830621,1083.3841919932247,1.241784769059187,1.0,1.241784769059187,1.4231744226760228,641.8446719762869,941.8446719762869,1541.844671976287,3,6,300.0
