action_ready_ms,bind_elapsed_ms,bind_fraction,bind_not_before_tool_ready,bind_success,estimated_bind_ms,inflight_binding_upper_bound_ms,no_bind_elapsed_ms,policy,request_index,restart_success,restart_with_result_ms,saved_ms,sequential_restart_path_ms,speedup,tool_latency_ms,tool_result_ready_ms
418.6955469625967,2142.778364010155,0.25,True,False,706.548735499382,2142.778364010155,2826.194941997528,bind,0,True,1750.4041549982503,126.32133795069194,2269.099701960847,1.0589521249945257,100.0,518.6955469625967
418.6955469625967,2142.778364010155,0.25,False,False,706.548735499382,2142.778364010155,2826.194941997528,bind,0,True,1750.4041549982503,326.32133795069194,2469.099701960847,1.152288889710455,300.0,718.6955469625967
418.6955469625967,2142.778364010155,0.25,False,False,706.548735499382,2142.778364010155,2826.194941997528,bind,0,True,1750.4041549982503,526.3213379506919,2669.099701960847,1.2456256544263846,500.0,918.6955469625967
418.6955469625967,4280.277243000455,0.25,True,True,706.548735499382,4280.277243000455,2826.194941997528,reserved_slot,0,True,1750.4041549982503,-2011.177541039608,2269.099701960847,0.5301291419081579,100.0,518.6955469625967
418.6955469625967,4280.277243000455,0.25,False,True,706.548735499382,4280.277243000455,2826.194941997528,reserved_slot,0,True,1750.4041549982503,-1811.177541039608,2469.099701960847,0.5768550871321642,300.0,718.6955469625967
418.6955469625967,4280.277243000455,0.25,False,True,706.548735499382,4280.277243000455,2826.194941997528,reserved_slot,0,True,1750.4041549982503,-1611.177541039608,2669.099701960847,0.6235810323561705,500.0,918.6955469625967
418.6955469625967,2134.726199961733,0.35,True,False,989.1682296991347,2134.726199961733,2826.194941997528,bind,0,True,1750.4041549982503,134.37350199911407,2269.099701960847,1.0629464809124105,100.0,518.6955469625967
418.6955469625967,2134.726199961733,0.35,True,False,989.1682296991347,2134.726199961733,2826.194941997528,bind,0,True,1750.4041549982503,334.37350199911407,2469.099701960847,1.1566353108914427,300.0,718.6955469625967
418.6955469625967,2134.726199961733,0.35,True,False,989.1682296991347,2134.726199961733,2826.194941997528,bind,0,True,1750.4041549982503,534.3735019991141,2669.099701960847,1.2503241408704748,500.0,918.6955469625967
418.6955469625967,5215.753838012461,0.35,True,True,989.1682296991347,5215.753838012461,2826.194941997528,reserved_slot,0,True,1750.4041549982503,-2946.6541360516135,2269.099701960847,0.43504731481451986,100.0,518.6955469625967
418.6955469625967,5215.753838012461,0.35,True,True,989.1682296991347,5215.753838012461,2826.194941997528,reserved_slot,0,True,1750.4041549982503,-2746.6541360516135,2469.099701960847,0.47339268275393415,300.0,718.6955469625967
418.6955469625967,5215.753838012461,0.35,True,True,989.1682296991347,5215.753838012461,2826.194941997528,reserved_slot,0,True,1750.4041549982503,-2546.6541360516135,2669.099701960847,0.5117380506933484,500.0,918.6955469625967
418.6955469625967,2150.1463739550672,0.5,True,False,1413.097470998764,2150.1463739550672,2826.194941997528,bind,0,True,1750.4041549982503,118.9533280057799,2269.099701960847,1.0553233628401644,100.0,518.6955469625967
418.6955469625967,2150.1463739550672,0.5,True,False,1413.097470998764,2150.1463739550672,2826.194941997528,bind,0,True,1750.4041549982503,318.9533280057799,2469.099701960847,1.1483402859774072,300.0,718.6955469625967
418.6955469625967,2150.1463739550672,0.5,True,False,1413.097470998764,2150.1463739550672,2826.194941997528,bind,0,True,1750.4041549982503,518.9533280057799,2669.099701960847,1.24135720911465,500.0,918.6955469625967
418.6955469625967,6839.576116006356,0.5,True,True,1413.097470998764,6839.576116006356,2826.194941997528,reserved_slot,0,True,1750.4041549982503,-4570.476414045508,2269.099701960847,0.331760282139499,100.0,518.6955469625967
418.6955469625967,6839.576116006356,0.5,True,True,1413.097470998764,6839.576116006356,2826.194941997528,reserved_slot,0,True,1750.4041549982503,-4370.476414045508,2469.099701960847,0.36100186036127635,300.0,718.6955469625967
418.6955469625967,6839.576116006356,0.5,True,True,1413.097470998764,6839.576116006356,2826.194941997528,reserved_slot,0,True,1750.4041549982503,-4170.476414045508,2669.099701960847,0.39024343858305366,500.0,918.6955469625967
418.6955469625967,2157.6599800027907,0.75,True,False,2119.646206498146,2157.6599800027907,2826.194941997528,bind,0,True,1750.4041549982503,111.43972195805645,2269.099701960847,1.0516484167991624,100.0,518.6955469625967
418.6955469625967,2157.6599800027907,0.75,True,False,2119.646206498146,2157.6599800027907,2826.194941997528,bind,0,True,1750.4041549982503,311.43972195805645,2469.099701960847,1.1443414276783563,300.0,718.6955469625967
418.6955469625967,2157.6599800027907,0.75,True,False,2119.646206498146,2157.6599800027907,2826.194941997528,bind,0,True,1750.4041549982503,511.43972195805645,2669.099701960847,1.2370344385575502,500.0,918.6955469625967
418.6955469625967,9426.284581015352,0.75,True,True,2119.646206498146,9426.284581015352,2826.194941997528,reserved_slot,0,True,1750.4041549982503,-7157.184879054505,2269.099701960847,0.24072047501417904,100.0,518.6955469625967
