ar_optimistic_parallel_ms,ar_optimistic_serial_ms,ar_probe_ms,ar_verified_parallel_ms,ar_verified_serial_ms,dllm_incremental_parallel_ms,dllm_incremental_serial_ms,dllm_saved_vs_ar_verified_parallel_ms,dllm_saved_vs_ar_verified_serial_ms,dllm_vs_ar_optimistic_parallel_speedup,dllm_vs_ar_optimistic_serial_speedup,dllm_vs_ar_verified_parallel_speedup,dllm_vs_ar_verified_serial_speedup,dllm_vs_no_spec_parallel_speedup,dllm_vs_no_spec_serial_speedup,generation_ms,no_spec_parallel_ms,no_spec_serial_ms,num_calls,request_index,tool_latency_ms
1612.9704379942268,1612.9704379942268,350.0,1962.9704379942268,1962.9704379942268,1512.9704379942268,1512.9704379942268,450.0,450.0,1.0660951446827818,1.0660951446827818,1.2974281510725176,1.2974281510725176,1.0660951446827818,1.198285434048345,1512.9704379942268,1612.9704379942268,1812.9704379942268,3,0,100.0
1812.9704379942268,1812.9704379942268,350.0,2162.970437994227,2162.970437994227,1596.8318039950516,1680.6931699958764,566.1386339991752,482.27726799835045,1.1353546650676836,1.0787039956845157,1.3545386762605647,1.2869514058889961,1.1353546650676836,1.4356995560350538,1512.9704379942268,1812.9704379942268,2412.970437994227,3,0,300.0
2012.9704379942268,2012.9704379942268,350.0,2362.970437994227,2362.970437994227,1796.8318039950516,2148.415901997526,566.1386339991752,214.5545359967009,1.1202887401695671,0.936955659340742,1.3150760314573853,1.099866387973211,1.1202887401695671,1.402414884004939,1512.9704379942268,2012.9704379942268,3012.970437994227,3,0,500.0
2512.970437994227,3432.2772679983505,350.0,2862.970437994227,3782.2772679983505,2296.831803995052,3648.415901997526,566.138633999175,133.86136600082455,1.0941029437258876,0.9407582249927048,1.2464867619015234,1.0366902704068182,1.0941029437258876,1.2369671000291806,1512.9704379942268,2512.970437994227,4512.970437994227,3,0,1000.0
3512.970437994227,6432.27726799835,350.0,3862.970437994227,6782.27726799835,3296.831803995052,6648.415901997526,566.138633999175,133.8613660008241,1.0655594967681583,0.967490205609093,1.171722025161592,1.0201343249240176,1.0655594967681583,1.1300391775636276,1512.9704379942268,3512.970437994227,7512.970437994227,3,0,2000.0
969.4117769482546,969.4117769482546,350.0,1319.4117769482546,1319.4117769482546,869.4117769482546,869.4117769482546,450.0,450.0,1.1150202960799687,1.1150202960799687,1.5175913323598593,1.5175913323598593,1.1150202960799687,1.3450608882399062,869.4117769482546,969.4117769482546,1169.4117769482546,3,1,100.0
1169.4117769482546,1189.803925649418,350.0,1519.4117769482546,1539.803925649418,879.6078512988363,1189.803925649418,639.8039256494183,350.0,1.3294694621262093,1.0,1.7273740504983879,1.294166116327918,1.3294694621262093,1.487145687456423,869.4117769482546,1169.4117769482546,1769.4117769482546,3,1,300.0
1369.4117769482546,1789.803925649418,350.0,1719.4117769482546,2139.803925649418,1079.6078512988363,1789.803925649418,639.8039256494183,350.0,1.2684344369122231,1.0,1.5926262252351109,1.1955521467934007,1.2684344369122231,1.3238387417708506,869.4117769482546,1369.4117769482546,2369.4117769482546,3,1,500.0
1869.4117769482546,3289.803925649418,350.0,2219.4117769482546,3639.803925649418,1579.6078512988363,3289.803925649418,639.8039256494183,350.0,1.1834657414567333,1.0,1.4050397224370201,1.1063893192147944,1.1834657414567333,1.1761830991749516,869.4117769482546,1869.4117769482546,3869.4117769482546,3,1,1000.0
2869.4117769482546,6289.803925649418,350.0,3219.4117769482546,6639.803925649418,2579.607851298836,6289.803925649418,639.8039256494185,350.0,1.1123441787880672,1.0,1.2480237162122438,1.0556456137802201,1.1123441787880672,1.0921503846781668,869.4117769482546,2869.4117769482546,6869.411776948255,3,1,2000.0
750.869193021208,750.869193021208,350.0,1100.869193021208,1100.869193021208,657.8878797324641,664.9065664437201,442.981313288744,435.962626577488,1.1413330692861459,1.129285272421451,1.6733386142770805,1.6556750204908517,1.1413330692861459,1.4300794141753943,650.869193021208,750.869193021208,950.869193021208,3,2,100.0
950.869193021208,1085.962626577488,350.0,1300.869193021208,1435.962626577488,857.8878797324641,1085.962626577488,442.981313288744,350.0,1.1083839922272134,1.0,1.516362713303386,1.322294700972406,1.1083839922272134,1.4281054937488191,650.869193021208,950.869193021208,1550.869193021208,3,2,300.0
1150.869193021208,1685.962626577488,350.0,1500.869193021208,2035.962626577488,1057.8878797324642,1685.962626577488,442.9813132887439,350.0,1.0878933534168653,1.0,1.4187412690660302,1.2075965353458051,1.0878933534168653,1.2757514070092304,650.869193021208,1150.869193021208,2150.869193021208,3,2,500.0
1650.869193021208,3185.9626265774878,350.0,2000.869193021208,3535.9626265774878,1557.8878797324642,3185.9626265774878,442.9813132887439,350.0,1.059684213798949,1.0,1.2843473648211559,1.1098569070083495,1.059684213798949,1.1459234212496539,650.869193021208,1650.869193021208,3650.869193021208,3,2,1000.0
2650.869193021208,6185.962626577488,350.0,3000.869193021208,6535.962626577488,2557.887879732464,6185.962626577488,442.9813132887439,350.0,1.0363508166348827,1.0,1.1731824591682558,1.0565797146100193,1.0363508166348827,1.0751550881420278,650.869193021208,2650.869193021208,6650.869193021208,3,2,2000.0
690.3232609853148,690.3232609853148,350.0,1040.3232609853148,1040.3232609853148,591.9360508210957,593.5488406568766,448.38721016421914,446.7744203284383,1.1662125664212253,1.163043735746057,1.7574926540497833,1.7527171981904572,1.1662125664212253,1.5,590.3232609853148,690.3232609853148,890.3232609853148,3,3,100.0
890.3232609853148,1096.7744203284383,350.0,1240.3232609853148,1446.7744203284383,791.9360508210957,1096.7744203284383,448.38721016421914,350.0,1.124236306785389,1.0,1.5661911838706193,1.3191175810748663,1.124236306785389,1.35882386875783,590.3232609853148,890.3232609853148,1490.3232609853148,3,3,300.0
1090.3232609853148,1696.7744203284383,350.0,1440.3232609853148,2046.7744203284383,991.9360508210957,1696.7744203284383,448.38721016421914,350.0,1.099187049490516,1.0,1.4520323762737097,1.2062737366893188,1.099187049490516,1.2319393998058379,590.3232609853148,1090.3232609853148,2090.323260985315,3,3,500.0
