ar_parallel_ms,ar_serial_ms,bias_strength,dllm_parallel_ms,dllm_serial_ms,dllm_vs_ar_parallel_speedup,dllm_vs_ar_serial_speedup,dllm_vs_no_spec_parallel_speedup,dllm_vs_no_spec_serial_speedup,generation_ms,no_spec_parallel_ms,no_spec_serial_ms,num_calls,prompt_format,request_index,tool_latency_ms
,,0.0,,,,,,,2260.743992985226,2360.743992985226,2560.743992985226,3,named_object,0,100.0
,,0.0,,,,,,,2260.743992985226,2560.743992985226,3160.743992985226,3,named_object,0,300.0
,,0.0,,,,,,,2260.743992985226,2760.743992985226,3760.743992985226,3,named_object,0,500.0
,,0.0,,,,,,,2260.743992985226,3260.743992985226,5260.743992985226,3,named_object,0,1000.0
,,0.0,,,,,,,2260.743992985226,4260.743992985226,8260.743992985226,3,named_object,0,2000.0
,,0.2,,,,,,,1134.1223799972795,1234.1223799972795,1434.1223799972795,3,named_object,0,100.0
,,0.2,,,,,,,1134.1223799972795,1434.1223799972795,2034.1223799972795,3,named_object,0,300.0
,,0.2,,,,,,,1134.1223799972795,1634.1223799972795,2634.1223799972795,3,named_object,0,500.0
,,0.2,,,,,,,1134.1223799972795,2134.1223799972795,4134.1223799972795,3,named_object,0,1000.0
,,0.2,,,,,,,1134.1223799972795,3134.1223799972795,7134.1223799972795,3,named_object,0,2000.0
,,0.4,,,,,,,955.4555279901251,1055.4555279901251,1255.4555279901251,3,named_object,0,100.0
,,0.4,,,,,,,955.4555279901251,1255.4555279901251,1855.4555279901251,3,named_object,0,300.0
,,0.4,,,,,,,955.4555279901251,1455.4555279901251,2455.455527990125,3,named_object,0,500.0
,,0.4,,,,,,,955.4555279901251,1955.4555279901251,3955.455527990125,3,named_object,0,1000.0
,,0.4,,,,,,,955.4555279901251,2955.455527990125,6955.455527990125,3,named_object,0,2000.0
1183.8596541076327,1183.8596541076327,0.0,1183.8596541076327,1183.8596541076327,1.0,1.0,1.0762942106599493,1.2452331548211606,1174.1812919499353,1274.1812919499353,1474.1812919499353,3,named_object,1,100.0
1383.8596541076327,1412.8947405807244,0.0,1383.8596541076327,1441.9298270538163,1.0,0.9798637312798938,1.065267917576906,1.438475890458518,1174.1812919499353,1474.1812919499353,2074.1812919499353,3,named_object,1,300.0
1583.8596541076327,1861.2865513692109,0.0,1583.8596541076327,2041.9298270538163,1.0,0.911533063824605,1.0570262886664608,1.3096342766138827,1174.1812919499353,1674.1812919499353,2674.1812919499353,3,named_object,1,500.0
2083.8596541076327,3361.286551369211,0.0,2083.8596541076327,3541.9298270538166,1.0,0.9489986294181144,1.0433434361398877,1.1785047970365994,1174.1812919499353,2174.1812919499353,4174.181291949935,3,named_object,1,1000.0
3083.8596541076327,6361.28655136921,0.0,3083.8596541076327,6541.929827053817,1.0,0.9723868521277063,1.029288504657466,1.0966460175530277,1174.1812919499353,3174.1812919499353,7174.181291949935,3,named_object,1,2000.0
866.6562933154637,866.6562933154637,0.2,866.6562933154637,866.6562933154637,1.0,1.0,1.0804194548664896,1.3111914478037172,836.3523199805059,936.3523199805059,1136.3523199805059,3,named_object,1,100.0
1066.6562933154637,1178.7841066601686,0.2,1066.6562933154637,1248.4801333252108,1.0,0.9441753017892137,1.0653406604374944,1.3907728874755043,836.3523199805059,1136.3523199805059,1736.3523199805059,3,named_object,1,300.0
1266.6562933154637,1778.7841066601686,0.2,1266.6562933154637,1848.4801333252108,1.0,0.9622954959544701,1.0550236295614284,1.2639315283187096,836.3523199805059,1336.3523199805059,2336.352319980506,3,named_object,1,500.0
1766.6562933154637,3278.7841066601686,0.2,1766.6562933154637,3348.4801333252108,1.0,0.979185772681939,1.0394508127748179,1.145699591226427,836.3523199805059,1836.3523199805059,3836.352319980506,3,named_object,1,1000.0
2766.6562933154637,6278.784106660169,0.2,2766.6562933154637,6348.480133325211,1.0,0.9890216201041278,1.0251914293920192,1.076848659271106,836.3523199805059,2836.352319980506,6836.352319980506,3,named_object,1,2000.0
,,0.4,,,,,,,1896.6735010035336,1996.6735010035336,2196.6735010035336,3,named_object,1,100.0
,,0.4,,,,,,,1896.6735010035336,2196.6735010035336,2796.6735010035336,3,named_object,1,300.0
,,0.4,,,,,,,1896.6735010035336,2396.6735010035336,3396.6735010035336,3,named_object,1,500.0
,,0.4,,,,,,,1896.6735010035336,2896.6735010035336,4896.673501003534,3,named_object,1,1000.0
