ar_optimistic_parallel_ms,ar_optimistic_serial_ms,ar_probe_ms,ar_verified_parallel_ms,ar_verified_serial_ms,dllm_incremental_parallel_ms,dllm_incremental_serial_ms,dllm_saved_vs_ar_verified_parallel_ms,dllm_saved_vs_ar_verified_serial_ms,dllm_vs_ar_optimistic_parallel_speedup,dllm_vs_ar_optimistic_serial_speedup,dllm_vs_ar_verified_parallel_speedup,dllm_vs_ar_verified_serial_speedup,dllm_vs_no_spec_parallel_speedup,dllm_vs_no_spec_serial_speedup,generation_ms,no_spec_parallel_ms,no_spec_serial_ms,num_calls,request_index,tool_latency_ms
1520.7050100085326,1520.7050100085326,500.0,2020.7050100085326,2020.7050100085326,1420.7050100085326,1420.7050100085326,600.0,600.0,1.0703875887643977,1.0703875887643977,1.4223255325863857,1.4223255325863857,1.0703875887643977,1.211162766293193,1420.7050100085326,1520.7050100085326,1720.7050100085326,3,0,100.0
1720.7050100085326,1720.7050100085326,500.0,2220.7050100085326,2220.7050100085326,1420.7050100085326,1547.1366733390216,800.0,673.5683366695109,1.211162766293193,1.1121868155932964,1.563100710115181,1.4353644692655494,1.211162766293193,1.5,1420.7050100085326,1720.7050100085326,2320.7050100085326,3,0,300.0
1920.7050100085326,1973.5683366695107,500.0,2420.7050100085326,2473.5683366695107,1447.1366733390216,1973.5683366695107,973.5683366695109,500.0,1.3272450663397484,1.0,1.6727549336602519,1.2533482072598374,1.3272450663397484,1.479910756440975,1420.7050100085326,1920.7050100085326,2920.7050100085326,3,0,500.0
2420.7050100085326,3473.5683366695107,500.0,2920.7050100085326,3973.5683366695107,1947.1366733390216,3473.5683366695107,973.5683366695109,500.0,1.243212684119096,1.0,1.5,1.1439441955759548,1.243212684119096,1.2726696530885426,1420.7050100085326,2420.7050100085326,4420.705010008533,3,0,1000.0
3420.7050100085326,6473.56833666951,500.0,3920.7050100085326,6973.56833666951,2947.1366733390214,6473.56833666951,973.5683366695112,500.0,1.16068760602574,1.0,1.3303438030128703,1.07723715484206,1.16068760602574,1.1463082837905594,1420.7050100085326,3420.7050100085326,7420.705010008533,3,0,2000.0
1035.738826985471,1035.738826985471,500.0,1535.738826985471,1535.738826985471,935.738826985471,935.738826985471,600.0,600.0,1.1068674261622284,1.1068674261622284,1.6412045569733702,1.6412045569733702,1.1068674261622284,1.320602278486685,935.738826985471,1035.738826985471,1235.738826985471,3,1,100.0
1235.738826985471,1301.030925850916,500.0,1735.738826985471,1801.030925850916,1102.0618517018322,1301.030925850916,633.6769752836387,500.0,1.12129716229376,1.0,1.5749922060228276,1.3843106186526535,1.12129716229376,1.4109878485669654,935.738826985471,1235.738826985471,1835.738826985471,3,1,300.0
1435.738826985471,1901.030925850916,500.0,1935.738826985471,2401.030925850916,1302.0618517018322,1901.030925850916,633.6769752836387,500.0,1.1026656107840953,1.0,1.4866719460795237,1.2630151846562918,1.1026656107840953,1.2812725947081665,935.738826985471,1435.738826985471,2435.738826985471,3,1,500.0
1935.738826985471,3401.030925850916,500.0,2435.738826985471,3901.030925850916,1802.0618517018322,3401.030925850916,633.6769752836387,500.0,1.0741800150518679,1.0,1.3516399698962644,1.1470142468272038,1.0741800150518679,1.1572193587157031,935.738826985471,1935.738826985471,3935.738826985471,3,1,1000.0
2935.738826985471,6401.030925850916,500.0,3435.738826985471,6901.030925850916,2802.061851701832,6401.030925850916,633.676975283639,500.0,1.0477066468759246,1.0,1.226146676562038,1.0781124174827406,1.0477066468759246,1.0835346536094845,935.738826985471,2935.738826985471,6935.738826985471,3,1,2000.0
802.846078958828,802.846078958828,500.0,1302.846078958828,1302.846078958828,714.9903190889745,727.134559219121,587.8557598698535,575.711519739707,1.1228768523492703,1.1041231210644349,1.8221870201248136,1.7917537578711302,1.1228768523492703,1.379175375787113,702.846078958828,802.846078958828,1002.846078958828,3,2,100.0
