action_ready_ms,no_result_elapsed_ms,oracle_remask_fraction_of_output,oracle_remask_fraction_of_result_answer,remask_cost_ms,request_index,saved_ms,selective_remask_upper_bound_ms,sequential_restart_ms,speedup,target_tool,tool_latency_ms,tool_ready_ms,with_result_elapsed_ms,with_result_success
419.61633363152265,2832.410252012778,0.29850746268656714,0.5405405405405406,524.4205770110572,0,-1080.4055624052708,3356.830829023835,2276.4252666185644,0.678147152050718,weather,100.0,519.6163336315226,1756.8089329870418,True
419.61633363152265,2832.410252012778,0.29850746268656714,0.5405405405405406,524.4205770110572,0,-880.4055624052708,3356.830829023835,2476.4252666185644,0.7377271577724123,weather,300.0,719.6163336315226,1756.8089329870418,True
419.61633363152265,2832.410252012778,0.29850746268656714,0.5405405405405406,524.4205770110572,0,-680.4055624052708,3356.830829023835,2676.4252666185644,0.7973071634941066,weather,500.0,919.6163336315226,1756.8089329870418,True
419.61633363152265,2832.410252012778,0.29850746268656714,0.5405405405405406,524.4205770110572,0,-180.40556240527076,3356.830829023835,3176.4252666185644,0.9462571777983424,weather,1000.0,1419.6163336315226,1756.8089329870418,True
419.61633363152265,2832.410252012778,0.29850746268656714,0.5405405405405406,524.4205770110572,0,819.5944375947288,3356.830829023835,4176.425266618564,1.2441572064068138,weather,2000.0,2419.6163336315226,1756.8089329870418,True
395.6010031067087,2927.447422989644,0.5454545454545454,1.0,956.7506781842728,1,-1634.5541880627084,3884.198101173917,2249.643913111209,0.5791784699218356,weather,100.0,495.6010031067087,1754.0429100045003,True
395.6010031067087,2927.447422989644,0.5454545454545454,1.0,956.7506781842728,1,-1434.554188062708,3884.198101173917,2449.6439131112093,0.6306691495397353,weather,300.0,695.6010031067087,1754.0429100045003,True
395.6010031067087,2927.447422989644,0.5454545454545454,1.0,956.7506781842728,1,-1234.554188062708,3884.198101173917,2649.6439131112093,0.682159829157635,weather,500.0,895.6010031067087,1754.0429100045003,True
395.6010031067087,2927.447422989644,0.5454545454545454,1.0,956.7506781842728,1,-734.5541880627079,3884.198101173917,3149.6439131112093,0.8108865282023838,weather,1000.0,1395.6010031067087,1754.0429100045003,True
395.6010031067087,2927.447422989644,0.5454545454545454,1.0,956.7506781842728,1,265.4458119372921,3884.198101173917,4149.643913111209,1.0683399262918816,weather,2000.0,2395.6010031067085,1754.0429100045003,True
396.95960514446983,2778.717236011289,0.5454545454545454,1.0,1004.932113806717,2,-1444.3142026945552,3783.649349818006,2339.335147123451,0.6182748269831012,weather,100.0,496.95960514446983,1842.3755419789813,True
396.95960514446983,2778.717236011289,0.5454545454545454,1.0,1004.932113806717,2,-1244.3142026945552,3783.649349818006,2539.335147123451,0.6711338478671638,weather,300.0,696.9596051444698,1842.3755419789813,True
396.95960514446983,2778.717236011289,0.5454545454545454,1.0,1004.932113806717,2,-1044.3142026945552,3783.649349818006,2739.335147123451,0.7239928687512265,weather,500.0,896.9596051444698,1842.3755419789813,True
396.95960514446983,2778.717236011289,0.5454545454545454,1.0,1004.932113806717,2,-544.3142026945552,3783.649349818006,3239.335147123451,0.856140420961383,weather,1000.0,1396.9596051444698,1842.3755419789813,True
396.95960514446983,2778.717236011289,0.5454545454545454,1.0,1004.932113806717,2,455.6857973054448,3783.649349818006,4239.335147123451,1.1204355253816962,weather,2000.0,2396.9596051444696,1842.3755419789813,True
557.4547994324963,2946.5467970003374,0.5588235294117647,1.0,900.0645330730442,3,-1578.5147346154376,3846.6113300733814,2268.0965954579437,0.5896349802033873,weather,100.0,657.4547994324963,1610.6417960254475,True
557.4547994324963,2946.5467970003374,0.5588235294117647,1.0,900.0645330730442,3,-1378.5147346154376,3846.6113300733814,2468.0965954579437,0.6416287957564093,weather,300.0,857.4547994324963,1610.6417960254475,True
557.4547994324963,2946.5467970003374,0.5588235294117647,1.0,900.0645330730442,3,-1178.5147346154376,3846.6113300733814,2668.0965954579437,0.6936226113094314,weather,500.0,1057.4547994324962,1610.6417960254475,True
557.4547994324963,2946.5467970003374,0.5588235294117647,1.0,900.0645330730442,3,-678.5147346154376,3846.6113300733814,3168.0965954579437,0.8236071501919864,weather,1000.0,1557.4547994324962,1610.6417960254475,True
557.4547994324963,2946.5467970003374,0.5588235294117647,1.0,900.0645330730442,3,321.4852653845628,3846.6113300733814,4168.096595457944,1.0835762279570964,weather,2000.0,2557.454799432496,1610.6417960254475,True
320.5576836783439,2003.4855229896493,0.2727272727272727,0.5142857142857142,482.8993229946883,4,-295.19631132546965,2486.3848459843375,2191.188534658868,0.8812748912131484,weather,100.0,420.5576836783439,1770.630850980524,True
320.5576836783439,2003.4855229896493,0.2727272727272727,0.5142857142857142,482.8993229946883,4,-95.19631132546965,2486.3848459843375,2391.188534658868,0.9617129619016068,weather,300.0,620.5576836783439,1770.630850980524,True
320.5576836783439,2003.4855229896493,0.2727272727272727,0.5142857142857142,482.8993229946883,4,104.80368867453035,2486.3848459843375,2591.188534658868,1.0421510325900654,weather,500.0,820.5576836783439,1770.630850980524,True
320.5576836783439,2003.4855229896493,0.2727272727272727,0.5142857142857142,482.8993229946883,4,604.8036886745303,2486.3848459843375,3091.188534658868,1.2432462093112113,weather,1000.0,1320.557683678344,1770.630850980524,True
320.5576836783439,2003.4855229896493,0.2727272727272727,0.5142857142857142,482.8993229946883,4,1287.7315279858358,2803.457006673032,4091.188534658868,1.4593369988983833,weather,2000.0,2320.557683678344,1770.630850980524,True
241.06498103013593,2732.069785008207,0.5522388059701493,1.0,988.1478646559877,5,-1589.803832635378,3720.2176496641946,2130.4138170288165,0.5726583812162491,crm_api,100.0,341.0649810301359,1789.3488359986804,True
241.06498103013593,2732.069785008207,0.5522388059701493,1.0,988.1478646559877,5,-1389.8038326353785,3720.2176496641946,2330.413817028816,0.6264186766704821,crm_api,300.0,541.0649810301359,1789.3488359986804,True
241.06498103013593,2732.069785008207,0.5522388059701493,1.0,988.1478646559877,5,-1189.8038326353785,3720.2176496641946,2530.413817028816,0.6801789721247153,crm_api,500.0,741.0649810301359,1789.3488359986804,True
241.06498103013593,2732.069785008207,0.5522388059701493,1.0,988.1478646559877,5,-689.8038326353785,3720.2176496641946,3030.413817028816,0.8145797107602982,crm_api,1000.0,1241.0649810301359,1789.3488359986804,True
241.06498103013593,2732.069785008207,0.5522388059701493,1.0,988.1478646559877,5,310.19616736462194,3720.2176496641946,4030.4138170288165,1.083381188031464,crm_api,2000.0,2241.064981030136,1789.3488359986804,True
241.5524326184263,2093.4544160263613,0.37037037037037035,0.8,633.5385381330357,6,-674.8864685817744,2726.992954159397,2052.1064855776226,0.7525162404426491,crm_api,100.0,341.55243261842634,1710.5540529591963,True
241.5524326184263,2093.4544160263613,0.37037037037037035,0.8,633.5385381330357,6,-474.88646858177435,2726.992954159397,2252.1064855776226,0.8258570973359337,crm_api,300.0,541.5524326184263,1710.5540529591963,True
241.5524326184263,2093.4544160263613,0.37037037037037035,0.8,633.5385381330357,6,-274.88646858177435,2726.992954159397,2452.1064855776226,0.8991979542292184,crm_api,500.0,741.5524326184263,1710.5540529591963,True
241.5524326184263,2093.4544160263613,0.37037037037037035,0.8,633.5385381330357,6,225.11353141822565,2726.992954159397,2952.1064855776226,1.0825500964624302,crm_api,1000.0,1241.5524326184263,1710.5540529591963,True
241.5524326184263,2093.4544160263613,0.37037037037037035,0.8,633.5385381330357,6,1077.0155148261606,2875.090970751462,3952.1064855776226,1.3746022389492119,crm_api,2000.0,2241.5524326184263,1710.5540529591963,True
242.77029140648665,2589.5497750025243,0.4642857142857143,1.0,759.9695753846651,7,-1369.8915119983471,3349.519350387189,1979.627838388842,0.5910184809530974,crm_api,100.0,342.77029140648665,1636.8575469823554,True
242.77029140648665,2589.5497750025243,0.4642857142857143,1.0,759.9695753846651,7,-1169.8915119983471,3349.519350387189,2179.627838388842,0.650728540540268,crm_api,300.0,542.7702914064866,1636.8575469823554,True
242.77029140648665,2589.5497750025243,0.4642857142857143,1.0,759.9695753846651,7,-969.8915119983471,3349.519350387189,2379.627838388842,0.7104386001274385,crm_api,500.0,742.7702914064866,1636.8575469823554,True
242.77029140648665,2589.5497750025243,0.4642857142857143,1.0,759.9695753846651,7,-469.89151199834714,3349.519350387189,2879.627838388842,0.859713749095365,crm_api,1000.0,1242.7702914064866,1636.8575469823554,True
242.77029140648665,2589.5497750025243,0.4642857142857143,1.0,759.9695753846651,7,530.1084880016529,3349.519350387189,3879.627838388842,1.158264047031218,crm_api,2000.0,2242.7702914064866,1636.8575469823554,True
497.4118782032747,1658.0395940109156,0.4375,0.9333333333333333,954.2053316399688,8,166.20771058660466,2612.2449256508844,2778.452636237489,1.0636263885344486,calendar_api,100.0,597.4118782032747,2181.0407580342144,True
497.4118782032747,1658.0395940109156,0.4375,0.9333333333333333,954.2053316399688,8,366.20771058660466,2612.2449256508844,2978.452636237489,1.1401888877228301,calendar_api,300.0,797.4118782032747,2181.0407580342144,True
497.4118782032747,1658.0395940109156,0.4375,0.9333333333333333,954.2053316399688,8,566.2077105866047,2612.2449256508844,3178.452636237489,1.2167513869112119,calendar_api,500.0,997.4118782032747,2181.0407580342144,True
497.4118782032747,1658.0395940109156,0.4375,0.9333333333333333,954.2053316399688,8,1066.2077105866047,2612.2449256508844,3678.452636237489,1.408157634882166,calendar_api,1000.0,1497.4118782032747,2181.0407580342144,True
497.4118782032747,1658.0395940109156,0.4375,0.9333333333333333,954.2053316399688,8,1226.8354263942456,3451.6172098432435,4678.452636237489,1.355437857620939,calendar_api,2000.0,2497.4118782032747,2181.0407580342144,True
416.3040038838517,1498.694413981866,0.4387755102040816,0.9347826086956522,1189.9577988892536,9,539.6486349928919,2688.6522128711194,3228.3008478640113,1.2007134401427917,calendar_api,100.0,516.3040038838517,2711.9968439801596,True
416.3040038838517,1498.694413981866,0.4387755102040816,0.9347826086956522,1189.9577988892536,9,739.6486349928919,2688.6522128711194,3428.3008478640113,1.2751001529510009,calendar_api,300.0,716.3040038838517,2711.9968439801596,True
416.3040038838517,1498.694413981866,0.4387755102040816,0.9347826086956522,1189.9577988892536,9,939.6486349928919,2688.6522128711194,3628.3008478640113,1.34948686575921,calendar_api,500.0,916.3040038838517,2711.9968439801596,True
416.3040038838517,1498.694413981866,0.4387755102040816,0.9347826086956522,1189.9577988892536,9,1439.6486349928919,2688.6522128711194,4128.300847864011,1.535453647779733,calendar_api,1000.0,1416.3040038838517,2711.9968439801596,True
416.3040038838517,1498.694413981866,0.4387755102040816,0.9347826086956522,1189.9577988892536,9,1522.0390450909063,3606.261802773105,5128.300847864011,1.4220545063923271,calendar_api,2000.0,2416.3040038838517,2711.9968439801596,True
