native_all_ready_fraction,native_all_ready_ms,native_generation_ms,num_calls,probe_all_ready,probe_first_call_ready,probe_latency_ms,probe_mode,probe_output_tokens,probe_prompt_tokens,probe_ready_count,probe_tool_name_ready_count,probe_tool_name_ready_fraction,prompt_format,request_index
0.5714285714285714,853.1391948594578,1492.9935910040513,3,False,False,585.7590989908203,tool_names,7,171,0,3,1.0,action_list,0
0.8571428571428571,821.5286288343901,958.4500669734553,3,False,False,171.91866401117295,tool_names,6,187,0,1,0.3333333333333333,action_list,1
0.75,529.9288799869828,706.5718399826437,3,True,True,1518.9694929867983,tool_names,54,176,3,3,1.0,action_list,2
0.75,541.8246944609564,722.4329259479418,3,True,True,1346.6232609935105,tool_names,48,171,3,3,1.0,action_list,3
0.6666666666666666,365.1799199869856,547.7698799804784,3,True,True,1161.68222296983,tool_names,40,163,3,3,1.0,action_list,4
0.8571428571428571,571.4294211606361,666.6676580207422,3,False,False,244.03084500227123,tool_names,8,171,0,3,1.0,action_list,5
0.6666666666666666,513.9417926548049,770.9126889822073,3,True,True,1526.0433229850605,tool_names,50,168,3,3,1.0,action_list,6
0.75,542.847885779338,723.7971810391173,3,True,True,1240.078711998649,tool_names,44,168,3,3,1.0,action_list,7
0.8571428571428571,577.1994419795061,673.3993489760906,3,False,True,1573.9804069744423,tool_names,56,182,2,3,1.0,action_list,8
0.625,446.17799248953816,713.884787983261,3,True,True,1350.3502999665216,tool_names,48,167,3,3,1.0,action_list,9
0.8333333333333334,507.1565266310548,608.5878319572657,3,False,False,2420.157518994529,tool_names,86,189,2,3,1.0,action_list,10
0.75,536.2955512537155,715.060735004954,3,False,False,309.71758998930454,tool_names,11,185,0,3,1.0,action_list,11
0.6666666666666666,402.6709226503347,604.0063839755021,3,False,False,310.25432399474084,tool_names,11,169,0,3,1.0,action_list,12
0.8333333333333334,507.4306449872287,608.9167739846744,3,False,False,227.2549819899723,tool_names,8,186,0,3,1.0,action_list,13
0.6666666666666666,402.51679132537294,603.7751869880594,3,False,True,1126.8708589486778,tool_names,40,167,2,2,0.6666666666666666,action_list,14
0.8333333333333334,511.6037408394429,613.9244890073314,3,False,False,226.74137202557176,tool_names,8,178,0,3,1.0,action_list,15
0.8571428571428571,578.9886839920655,675.4867979907431,3,False,False,225.78103799605742,tool_names,8,186,0,3,1.0,action_list,16
0.7142857142857143,476.61276571618924,667.257872002665,3,True,True,1386.2998540280387,tool_names,49,174,3,3,1.0,action_list,17
0.8571428571428571,579.1548454435542,675.6806530174799,3,False,False,227.24429197842255,tool_names,8,186,0,2,0.6666666666666666,action_list,18
0.8571428571428571,572.509350853839,667.9275759961456,3,False,False,227.55802498431876,tool_names,8,174,0,3,1.0,action_list,19
0.8571428571428571,579.722557682544,676.342983962968,3,False,True,1729.3861250509508,tool_names,61,182,2,3,1.0,action_list,20
0.875,635.9846245977678,726.8395709688775,3,False,False,171.6068850364536,tool_names,6,187,0,1,0.3333333333333333,action_list,21
0.8571428571428571,575.9534674330747,671.9457120052539,3,False,False,273.2900329865515,tool_names,9,191,0,3,1.0,action_list,22
0.75,537.1534815203631,716.2046420271508,3,False,False,279.4975169817917,tool_names,9,186,0,2,0.6666666666666666,action_list,23
0.6666666666666666,406.4799539822464,609.7199309733696,3,True,True,1524.8651170404628,tool_names,54,174,3,3,1.0,action_list,24
0.75,533.9741692441748,711.9655589922331,3,False,False,226.59878298873082,tool_names,8,165,0,3,1.0,action_list,25
0.8333333333333334,506.4374199719168,607.7249039663002,3,False,False,595.2439230168238,tool_names,21,183,0,3,1.0,action_list,26
0.8571428571428571,580.3189611760899,677.0387880387716,3,False,False,1852.4848380475305,tool_names,66,186,1,2,0.6666666666666666,action_list,27
0.8571428571428571,580.4880171781406,677.236020041164,3,True,True,1772.7296029916033,tool_names,63,186,3,3,1.0,action_list,28
0.6666666666666666,409.60574134563404,614.4086120184511,3,False,False,226.35415999684483,tool_names,8,178,0,3,1.0,action_list,29
0.8571428571428571,581.9322179969666,678.9209209964611,3,False,False,226.14706901367754,tool_names,8,186,0,2,0.6666666666666666,action_list,30
0.7777777777777778,600.4097229193172,771.9553580391221,3,False,False,226.4291030005552,tool_names,8,166,0,3,1.0,action_list,31
0.7142857142857143,476.850005714888,667.5900080008432,3,False,False,257.5922669493593,tool_names,9,172,0,3,1.0,action_list,32
0.8333333333333334,508.52038582282455,610.2244629873894,3,False,False,225.83049099193886,tool_names,8,187,0,3,1.0,action_list,33
0.8571428571428571,580.9816945610302,677.8119769878685,3,False,False,226.62000299897045,tool_names,8,186,0,2,0.6666666666666666,action_list,34
0.7777777777777778,602.0604061130952,774.0776650025509,3,True,True,1235.493662999943,tool_names,44,166,3,3,1.0,action_list,35
0.875,640.9087789870682,732.4671759852208,3,False,True,1405.3523869952187,tool_names,50,179,1,3,1.0,action_list,36
