native_all_ready_fraction,native_all_ready_ms,native_generation_ms,num_calls,probe_all_ready,probe_first_call_ready,probe_latency_ms,probe_mode,probe_output_tokens,probe_prompt_tokens,probe_ready_count,probe_tool_name_ready_count,probe_tool_name_ready_fraction,prompt_format,request_index
0.5714285714285714,853.1391948594578,1492.9935910040513,3,True,True,2622.6206029532477,first_call,80,175,3,3,1.0,action_list,0
0.8571428571428571,821.5286288343901,958.4500669734553,3,True,True,2868.317927001044,first_call,104,191,3,3,1.0,action_list,1
0.75,529.9288799869828,706.5718399826437,3,True,True,2377.0297819864936,first_call,86,180,3,3,1.0,action_list,2
0.75,541.8246944609564,722.4329259479418,3,True,True,2171.8918019905686,first_call,78,175,3,3,1.0,action_list,3
0.6666666666666666,365.1799199869856,547.7698799804784,3,True,True,1905.9555149869993,first_call,69,167,3,3,1.0,action_list,4
0.8571428571428571,571.4294211606361,666.6676580207422,3,True,True,2344.293344009202,first_call,85,175,3,3,1.0,action_list,5
0.6666666666666666,513.9417926548049,770.9126889822073,3,True,True,2208.8539419928566,first_call,80,172,3,3,1.0,action_list,6
0.75,542.847885779338,723.7971810391173,3,True,True,2125.210606958717,first_call,77,172,3,3,1.0,action_list,7
0.8571428571428571,577.1994419795061,673.3993489760906,3,True,True,2620.9331360296346,first_call,95,186,3,3,1.0,action_list,8
0.625,446.17799248953816,713.884787983261,3,True,True,2208.4226779988967,first_call,80,171,3,3,1.0,action_list,9
0.8333333333333334,507.1565266310548,608.5878319572657,3,True,True,2889.584862976335,first_call,104,193,3,3,1.0,action_list,10
0.75,536.2955512537155,715.060735004954,3,True,True,2763.906066014897,first_call,100,189,3,3,1.0,action_list,11
0.6666666666666666,402.6709226503347,604.0063839755021,3,True,True,2097.329529002309,first_call,76,173,3,3,1.0,action_list,12
0.8333333333333334,507.4306449872287,608.9167739846744,3,False,False,2817.658798012417,first_call,102,190,2,3,1.0,action_list,13
0.6666666666666666,402.51679132537294,603.7751869880594,3,True,True,2175.593593972735,first_call,79,171,3,3,1.0,action_list,14
0.8333333333333334,511.6037408394429,613.9244890073314,3,True,True,2510.11540699983,first_call,91,182,3,3,1.0,action_list,15
0.8571428571428571,578.9886839920655,675.4867979907431,3,True,True,2720.6799669656903,first_call,98,190,3,3,1.0,action_list,16
0.7142857142857143,476.61276571618924,667.257872002665,3,False,True,2260.991392948199,first_call,82,178,2,3,1.0,action_list,17
0.8571428571428571,579.1548454435542,675.6806530174799,3,False,True,2650.7346719736233,first_call,96,190,2,3,1.0,action_list,18
0.8571428571428571,572.509350853839,667.9275759961456,3,True,True,2343.8955320161767,first_call,85,178,3,3,1.0,action_list,19
0.8571428571428571,579.722557682544,676.342983962968,3,False,True,2706.62277599331,first_call,98,186,2,3,1.0,action_list,20
0.875,635.9846245977678,726.8395709688775,3,False,True,2758.0680400133133,first_call,100,191,2,3,1.0,action_list,21
0.8571428571428571,575.9534674330747,671.9457120052539,3,False,False,3114.766609040089,first_call,112,195,2,3,1.0,action_list,22
0.75,537.1534815203631,716.2046420271508,3,True,True,2709.428180998657,first_call,98,190,3,3,1.0,action_list,23
