native_all_ready_fraction,native_all_ready_ms,native_generation_ms,num_calls,probe_all_ready,probe_first_call_ready,probe_latency_ms,probe_mode,probe_output_tokens,probe_prompt_tokens,probe_ready_count,probe_tool_name_ready_count,probe_tool_name_ready_fraction,prompt_format,request_index
0.5714285714285714,853.1391948594578,1492.9935910040513,3,True,True,1849.9304280267097,first_call,79,175,3,3,1.0,action_list,0
0.8571428571428571,821.5286288343901,958.4500669734553,3,False,True,1823.7603550078347,first_call,98,191,1,3,1.0,action_list,1
0.75,529.9288799869828,706.5718399826437,3,False,False,1506.7820549593307,first_call,78,180,0,3,1.0,action_list,2
0.75,541.8246944609564,722.4329259479418,3,True,True,1675.60020100791,first_call,90,175,3,3,1.0,action_list,3
0.6666666666666666,365.1799199869856,547.7698799804784,3,False,True,832.7679619542323,first_call,45,167,2,2,0.6666666666666666,action_list,4
0.8571428571428571,571.4294211606361,666.6676580207422,3,True,True,2074.625567998737,first_call,112,175,3,3,1.0,action_list,5
0.6666666666666666,513.9417926548049,770.9126889822073,3,True,True,1482.0666189771146,first_call,80,172,3,3,1.0,action_list,6
0.75,542.847885779338,723.7971810391173,3,True,True,1406.6550960415043,first_call,76,172,3,3,1.0,action_list,7
0.8571428571428571,577.1994419795061,673.3993489760906,3,False,True,1665.371043025516,first_call,90,186,2,3,1.0,action_list,8
0.625,446.17799248953816,713.884787983261,3,True,True,1445.923618040979,first_call,78,171,3,3,1.0,action_list,9
0.8333333333333334,507.1565266310548,608.5878319572657,3,False,False,1797.19179100357,first_call,97,193,1,3,1.0,action_list,10
0.75,536.2955512537155,715.060735004954,3,False,True,1759.5369049813598,first_call,95,189,2,3,1.0,action_list,11
0.6666666666666666,402.6709226503347,604.0063839755021,3,True,True,1400.7812039926648,first_call,75,173,3,3,1.0,action_list,12
0.8333333333333334,507.4306449872287,608.9167739846744,3,False,False,1500.9735560161062,first_call,81,190,1,2,0.6666666666666666,action_list,13
0.6666666666666666,402.51679132537294,603.7751869880594,3,True,True,1404.3451600009575,first_call,76,171,3,3,1.0,action_list,14
0.8333333333333334,511.6037408394429,613.9244890073314,3,False,True,1873.2191520393826,first_call,101,182,2,3,1.0,action_list,15
0.8571428571428571,578.9886839920655,675.4867979907431,3,True,True,1984.676059044432,first_call,107,190,3,3,1.0,action_list,16
0.7142857142857143,476.61276571618924,667.257872002665,3,True,True,1738.0501870065928,first_call,94,178,3,2,0.6666666666666666,action_list,17
0.8571428571428571,579.1548454435542,675.6806530174799,3,False,True,1725.8548200479709,first_call,93,190,2,3,1.0,action_list,18
0.8571428571428571,572.509350853839,667.9275759961456,3,True,True,1569.8026660247706,first_call,85,178,3,3,1.0,action_list,19
0.8571428571428571,579.722557682544,676.342983962968,3,False,True,1907.69140800694,first_call,103,186,2,2,0.6666666666666666,action_list,20
0.875,635.9846245977678,726.8395709688775,3,False,True,1811.559978988953,first_call,97,191,2,3,1.0,action_list,21
0.8571428571428571,575.9534674330747,671.9457120052539,3,False,False,1834.1143690049648,first_call,99,195,1,3,1.0,action_list,22
0.75,537.1534815203631,716.2046420271508,3,False,True,1818.297075049486,first_call,98,190,2,3,1.0,action_list,23
0.6666666666666666,406.4799539822464,609.7199309733696,3,True,True,1542.4263370223343,first_call,83,178,3,3,1.0,action_list,24
0.75,533.9741692441748,711.9655589922331,3,True,True,1408.321356982924,first_call,76,169,3,3,1.0,action_list,25
0.8333333333333334,506.4374199719168,607.7249039663002,3,False,False,1278.8307560258545,first_call,69,187,1,2,0.6666666666666666,action_list,26
0.8571428571428571,580.3189611760899,677.0387880387716,3,False,True,1803.4450330305845,first_call,97,190,2,3,1.0,action_list,27
0.8571428571428571,580.4880171781406,677.236020041164,3,True,True,1971.5771059854887,first_call,106,190,3,3,1.0,action_list,28
0.6666666666666666,409.60574134563404,614.4086120184511,3,False,True,2226.5432499698363,first_call,119,182,2,3,1.0,action_list,29
0.8571428571428571,581.9322179969666,678.9209209964611,3,True,True,1898.5536419786513,first_call,102,190,3,3,1.0,action_list,30
0.7777777777777778,600.4097229193172,771.9553580391221,3,True,True,1444.0428469679318,first_call,78,170,3,3,1.0,action_list,31
0.7142857142857143,476.850005714888,667.5900080008432,3,False,True,981.4431269769557,first_call,53,176,2,2,0.6666666666666666,action_list,32
0.8333333333333334,508.52038582282455,610.2244629873894,3,False,False,1373.029095993843,first_call,74,191,1,2,0.6666666666666666,action_list,33
0.8571428571428571,580.9816945610302,677.8119769878685,3,False,False,1874.8141949763522,first_call,101,190,1,3,1.0,action_list,34
0.7777777777777778,602.0604061130952,774.0776650025509,3,True,True,1425.472697999794,first_call,77,170,3,3,1.0,action_list,35
0.875,640.9087789870682,732.4671759852208,3,False,True,1613.6597730219364,first_call,87,183,2,3,1.0,action_list,36
0.8571428571428571,575.3555871779099,671.2481850408949,3,True,True,1578.1650010030717,first_call,85,177,3,3,1.0,action_list,37
0.7777777777777778,611.4101240980542,786.0987309832126,3,False,True,1461.4769390318543,first_call,79,175,1,2,0.6666666666666666,action_list,38
0.8571428571428571,573.6391491788838,669.2456740420312,3,True,True,1556.8263870081864,first_call,83,174,3,3,1.0,action_list,39
0.6666666666666666,367.7032040044044,551.5548060066067,3,True,True,1317.4135910230689,first_call,71,167,3,3,1.0,action_list,40
0.6666666666666666,403.5640286747366,605.3460430121049,3,True,True,1425.7675799890421,first_call,77,168,3,3,1.0,action_list,41
0.6666666666666666,411.56264999881387,617.3439749982208,3,False,True,1760.5660920380615,first_call,95,187,2,2,0.6666666666666666,action_list,42
