native_all_ready_fraction,native_all_ready_ms,native_generation_ms,num_calls,probe_all_ready,probe_latency_ms,probe_output_tokens,probe_prompt_tokens,probe_ready_count,prompt_format,request_index
0.6666666666666666,947.1366733390216,1420.7050100085326,3,True,2631.3056009821594,89,314,3,action_list,0
0.8571428571428571,802.0618517018322,935.738826985471,3,True,2800.4367710091174,111,355,3,action_list,1
0.875,614.9903190889745,702.846078958828,3,True,2625.11015398195,104,343,3,action_list,2
0.8333333333333334,493.4845608174025,592.181472980883,3,True,2648.2101869769394,105,344,3,action_list,3
0.8333333333333334,492.79642752177705,591.3557130261324,3,True,2546.047323034145,101,338,3,action_list,4
0.8571428571428571,556.6725823030407,649.4513460202143,3,True,2623.913323972374,104,341,3,action_list,5
0.6666666666666666,389.3041893218954,583.9562839828432,3,True,2270.3993099858053,90,313,3,action_list,6
0.8333333333333334,486.92475917050615,584.3097110046074,3,True,2547.424463031348,101,339,3,action_list,7
0.8333333333333334,496.9887391780503,596.3864870136604,3,True,2690.567818994168,107,348,3,action_list,8
0.5714285714285714,361.7552354532693,633.0716620432213,3,True,2322.0143789658323,92,318,3,action_list,9
0.6666666666666666,389.6914073266089,584.5371109899133,3,True,2196.2174940272234,87,312,3,action_list,10
0.8571428571428571,561.7878771486825,655.4191900067963,3,True,2802.2245969623327,111,355,3,action_list,11
0.8333333333333334,490.99809587157023,589.1977150458843,3,True,2773.4901659423485,110,355,3,action_list,12
0.7142857142857143,453.73762429725116,635.2326740161516,3,True,2315.524876001291,92,320,3,action_list,13
0.8333333333333334,489.82343583096133,587.7881229971536,3,True,2750.4291859804653,109,349,3,action_list,14
0.875,620.6313294605934,709.2929479549639,3,True,2774.8712030006573,110,353,3,action_list,15
0.8571428571428571,556.5269614536581,649.2814550292678,3,True,2649.2120990296826,105,344,3,action_list,16
0.8571428571428571,540.5179971795795,630.6043300428428,3,True,2658.1409630016424,105,346,3,action_list,17
0.8571428571428571,557.6320294224257,650.5707009928301,3,True,2750.929440022446,109,354,3,action_list,18
0.8571428571428571,558.0719065619633,651.0838909889571,3,True,2752.203193027526,109,351,3,action_list,19
0.875,610.9301563628833,698.2058929861523,3,True,2751.992539037019,109,349,3,action_list,20
0.8571428571428571,557.7796594339555,650.7429360062815,3,True,2727.0948759978637,108,348,3,action_list,21
0.875,616.7183487632428,704.8209700151347,3,True,2602.1530120051466,103,342,3,action_list,22
0.625,431.2378400209127,689.9805440334603,3,True,2280.909620982129,90,318,3,action_list,23
0.6666666666666666,389.5235906432693,584.285385964904,3,True,2201.1472189915366,87,312,3,action_list,24
0.8333333333333334,485.4109749915855,582.4931699899025,3,True,2627.1466010366566,104,341,3,action_list,25
0.8333333333333334,496.72873166855425,596.0744780022651,3,True,2802.5609459728003,111,353,3,action_list,26
0.8333333333333334,485.43355083287076,582.5202609994449,3,True,2576.618959021289,102,340,3,action_list,27
0.75,503.71329972404055,671.6177329653874,3,True,2753.506381995976,109,354,3,action_list,28
0.8333333333333334,495.79953333401744,594.9594400008209,3,True,2775.1843370497227,110,351,3,action_list,29
0.75,514.8183937853901,686.4245250471868,3,True,2226.16605903022,88,313,3,action_list,30
0.875,612.0056118743378,699.4349849992432,3,True,2777.790569991339,110,350,3,action_list,31
0.8571428571428571,558.3887734350615,651.4535690075718,3,True,2725.753072008956,108,350,3,action_list,32
0.875,602.1577380015515,688.1802720017731,3,True,2652.7829979895614,105,344,3,action_list,33
0.8333333333333334,494.4737291953061,593.3684750343673,3,True,2686.9886179920286,106,343,3,action_list,34
0.8571428571428571,556.3143574233566,649.033416993916,3,True,2577.9884859803133,102,339,3,action_list,35
0.75,531.006511504529,708.0086820060387,3,True,2627.96392000746,104,343,3,action_list,36
0.8571428571428571,561.5034377135868,655.0873439991847,3,True,2753.3736909972504,109,353,3,action_list,37
0.7142857142857143,449.9663350205602,629.9528690287843,3,True,2602.7806240017526,103,341,3,action_list,38
0.8571428571428571,562.4782079997073,656.2245759996586,3,True,2806.383997958619,111,357,3,action_list,39
0.8571428571428571,553.496921119014,645.7464079721831,3,True,2812.275097006932,111,355,3,action_list,40
0.6666666666666666,390.57152334135026,585.8572850120254,3,True,2278.172297985293,90,315,3,action_list,41
0.75,521.5760475257412,695.4347300343215,3,True,2806.028040999081,111,357,3,action_list,42
0.8571428571428571,562.9540217009239,656.7796919844113,3,True,2755.7721969787963,109,355,3,action_list,43
0.6666666666666666,390.16689267009497,585.2503390051425,3,True,2604.822766035795,103,340,3,action_list,44
0.75,519.0249629958998,692.0332839945331,3,True,2302.8811929980293,91,315,3,action_list,45
0.8571428571428571,563.4098631230049,657.3115069768392,3,True,2815.8944789902307,111,353,3,action_list,46
0.8333333333333334,495.59093167772517,594.7091180132702,3,True,2555.7214039727114,101,339,3,action_list,47
0.8333333333333334,491.96064835996367,590.3527780319564,3,True,2755.572321009822,109,354,3,action_list,48
0.8333333333333334,495.326916667788,594.3923000013456,3,True,2629.9012990202755,104,341,3,action_list,49
0.8333333333333334,499.9970391509123,599.9964469810948,3,True,2755.2882870077156,109,353,3,action_list,50
0.875,620.6764182788902,709.3444780330174,3,True,2612.9679570440203,103,339,3,action_list,51
0.8333333333333334,501.9637208412557,602.3564650095068,3,True,2780.6666959659196,110,352,3,action_list,52
0.8571428571428571,556.6792217183059,649.4590920046903,3,True,2780.8629799983464,110,353,3,action_list,53
0.875,628.4251469915034,718.2001679902896,3,True,2832.105995970778,112,356,3,action_list,54
0.8333333333333334,492.7374000059596,591.2848800071515,3,True,2755.6378510198556,109,348,3,action_list,55
0.8333333333333334,499.95459252386354,599.9455110286362,3,True,2730.46259599505,108,349,3,action_list,56
0.8571428571428571,564.5936022878491,658.6925360024907,3,True,2640.160691982601,104,345,3,action_list,57
0.625,436.2773681350518,698.0437890160829,3,True,2228.2557169673964,88,314,3,action_list,58
0.8571428571428571,568.7320174017389,663.5206869686954,3,True,2831.435900006909,112,358,3,action_list,59
0.8571428571428571,564.6872082891474,658.8017430040054,3,True,2605.615589010995,103,340,3,action_list,60
0.8571428571428571,567.7556613892583,662.3816049541347,3,True,2806.6129609942436,111,355,3,action_list,61
0.8333333333333334,491.7572141857818,590.1086570229381,3,True,2616.6092340135947,103,342,3,action_list,62
0.8888888888888888,1123.1681102265914,1263.5641240049154,3,True,2731.2717660097405,108,351,3,action_list,63
0.8571428571428571,567.4068660009652,661.9746770011261,3,True,2755.5406779865734,109,353,3,action_list,64
0.6666666666666666,396.179624639141,594.2694369587116,3,True,2327.946448989678,92,316,3,action_list,65
