action_ready_ms,bind_elapsed_ms,bind_fraction,bind_success,inflight_binding_upper_bound_ms,no_bind_elapsed_ms,request_index,restart_success,restart_with_result_ms,saved_ms,sequential_restart_path_ms,speedup,tool_latency_ms
425.3588232591196,2123.096834984608,0.25,False,2123.096834984608,2871.1720569990575,0,True,1745.6662639742717,147.92825224878334,2271.0250872333913,1.0696756972226638,100.0
425.3588232591196,2123.096834984608,0.25,False,2123.096834984608,2871.1720569990575,0,True,1745.6662639742717,347.92825224878334,2471.0250872333913,1.1638777122718031,300.0
425.3588232591196,2123.096834984608,0.25,False,2123.096834984608,2871.1720569990575,0,True,1745.6662639742717,547.9282522487833,2671.0250872333913,1.2580797273209423,500.0
425.3588232591196,2126.6747580375522,0.5,False,2126.6747580375522,2871.1720569990575,0,True,1745.6662639742717,144.3503291958391,2271.0250872333913,1.0678760720934322,100.0
425.3588232591196,2126.6747580375522,0.5,False,2126.6747580375522,2871.1720569990575,0,True,1745.6662639742717,344.3503291958391,2471.0250872333913,1.1619196014314845,300.0
425.3588232591196,2126.6747580375522,0.5,False,2126.6747580375522,2871.1720569990575,0,True,1745.6662639742717,544.3503291958391,2671.0250872333913,1.255963130769537,500.0
425.3588232591196,2129.466946993489,0.75,False,2129.466946993489,2871.1720569990575,0,True,1745.6662639742717,141.5581402399025,2271.0250872333913,1.066475856993114,100.0
425.3588232591196,2129.466946993489,0.75,False,2129.466946993489,2871.1720569990575,0,True,1745.6662639742717,341.5581402399025,2471.0250872333913,1.1603960750469196,300.0
425.3588232591196,2129.466946993489,0.75,False,2129.466946993489,2871.1720569990575,0,True,1745.6662639742717,541.5581402399025,2671.0250872333913,1.2543162931007252,500.0
395.38175324638803,2931.5380140324123,0.25,True,2931.5380140324123,2925.8249740232714,1,True,1753.638475027401,-682.5177857586232,2249.020228273789,0.7671809874231169,100.0
395.38175324638803,2931.5380140324123,0.25,True,2931.5380140324123,2925.8249740232714,1,True,1753.638475027401,-482.5177857586232,2449.020228273789,0.8354045612067958,300.0
395.38175324638803,2931.5380140324123,0.25,True,2931.5380140324123,2925.8249740232714,1,True,1753.638475027401,-282.5177857586232,2649.020228273789,0.9036281349904748,500.0
395.38175324638803,2932.2714809677564,0.5,False,2932.2714809677564,2925.8249740232714,1,True,1753.638475027401,-683.2512526939672,2249.020228273789,0.7669890877673886,100.0
395.38175324638803,2932.2714809677564,0.5,False,2932.2714809677564,2925.8249740232714,1,True,1753.638475027401,-483.2512526939672,2449.020228273789,0.83519559637279,300.0
395.38175324638803,2932.2714809677564,0.5,False,2932.2714809677564,2925.8249740232714,1,True,1753.638475027401,-283.2512526939672,2649.020228273789,0.9034021049781912,500.0
395.38175324638803,2935.8213410014287,0.75,False,2935.8213410014287,2925.8249740232714,1,True,1753.638475027401,-686.8011127276395,2249.020228273789,0.7660616798659257,100.0
395.38175324638803,2935.8213410014287,0.75,False,2935.8213410014287,2925.8249740232714,1,True,1753.638475027401,-486.8011127276395,2449.020228273789,0.8341857163005743,300.0
395.38175324638803,2935.8213410014287,0.75,False,2935.8213410014287,2925.8249740232714,1,True,1753.638475027401,-286.8011127276395,2649.020228273789,0.9023097527352227,500.0
397.6158132843141,2874.4097980088554,0.25,True,2874.4097980088554,2783.3106929901987,2,True,1843.9425379619934,-532.8514467625482,2341.558351246307,0.8146223105934087,100.0
397.6158132843141,2874.4097980088554,0.25,True,2874.4097980088554,2783.3106929901987,2,True,1843.9425379619934,-332.8514467625482,2541.558351246307,0.8842018117969404,300.0
397.6158132843141,2874.4097980088554,0.25,True,2874.4097980088554,2783.3106929901987,2,True,1843.9425379619934,-132.85144676254822,2741.558351246307,0.9537813130004719,500.0
397.6158132843141,2799.5131330098957,0.5,False,2799.5131330098957,2783.3106929901987,2,True,1843.9425379619934,-457.95478176358847,2341.558351246307,0.8364162766862184,100.0
397.6158132843141,2799.5131330098957,0.5,False,2799.5131330098957,2783.3106929901987,2,True,1843.9425379619934,-257.95478176358847,2541.558351246307,0.9078572703510598,300.0
397.6158132843141,2799.5131330098957,0.5,False,2799.5131330098957,2783.3106929901987,2,True,1843.9425379619934,-57.95478176358847,2741.558351246307,0.979298264015901,500.0
397.6158132843141,2805.393589020241,0.75,False,2805.393589020241,2783.3106929901987,2,True,1843.9425379619934,-463.83523777393384,2341.558351246307,0.8346630435068741,100.0
397.6158132843141,2805.393589020241,0.75,False,2805.393589020241,2783.3106929901987,2,True,1843.9425379619934,-263.83523777393384,2541.558351246307,0.9059542879093568,300.0
397.6158132843141,2805.393589020241,0.75,False,2805.393589020241,2783.3106929901987,2,True,1843.9425379619934,-63.83523777393384,2741.558351246307,0.9772455323118394,500.0
562.7187158144709,2984.700212953612,0.25,True,2984.700212953612,2974.370355019346,3,True,1624.0095419925638,-697.9719551465778,2286.7282578070344,0.7661500635415991,100.0
562.7187158144709,2984.700212953612,0.25,True,2984.700212953612,2974.370355019346,3,True,1624.0095419925638,-497.9719551465778,2486.7282578070344,0.8331584683160549,300.0
