ar_parallel_ms,ar_serial_ms,bias_strength,dllm_parallel_ms,dllm_serial_ms,dllm_vs_ar_parallel_speedup,dllm_vs_ar_serial_speedup,dllm_vs_no_spec_parallel_speedup,dllm_vs_no_spec_serial_speedup,generation_ms,no_spec_parallel_ms,no_spec_serial_ms,num_calls,prompt_format,request_index,tool_latency_ms
1776.0006850236095,1776.0006850236095,0.0,1676.0006850236095,1676.0006850236095,1.059665846734777,1.059665846734777,1.059665846734777,1.1789975402043311,1676.0006850236095,1776.0006850236095,1976.0006850236095,3,json_array,0,100.0
1976.0006850236095,1976.0006850236095,0.0,1823.6369863850996,1823.6369863850996,1.0835493575618538,1.0835493575618538,1.0835493575618538,1.4125622063247802,1676.0006850236095,1976.0006850236095,2576.0006850236095,3,json_array,0,300.0
2176.0006850236095,2176.0006850236095,0.0,2023.6369863850996,2261.81849319255,1.0752920111974644,0.9620580482354228,1.0752920111974644,1.404180173865629,1676.0006850236095,2176.0006850236095,3176.0006850236095,3,json_array,0,500.0
2676.0006850236095,3457.09109591553,0.0,2523.6369863850996,3761.81849319255,1.0603746495476587,0.9189946570180194,1.0603746495476587,1.2430160289459418,1676.0006850236095,2676.0006850236095,4676.00068502361,3,json_array,0,1000.0
3676.0006850236095,6457.09109591553,0.0,3523.6369863850996,6761.81849319255,1.0432404641077457,0.9549341057314976,1.0432404641077457,1.1351976828055073,1676.0006850236095,3676.0006850236095,7676.00068502361,3,json_array,0,2000.0
,,0.2,,,,,,,1052.4805210297927,1152.4805210297927,1352.4805210297927,3,json_array,0,100.0
,,0.2,,,,,,,1052.4805210297927,1352.4805210297927,1952.4805210297927,3,json_array,0,300.0
,,0.2,,,,,,,1052.4805210297927,1552.4805210297927,2552.4805210297927,3,json_array,0,500.0
,,0.2,,,,,,,1052.4805210297927,2052.4805210297927,4052.4805210297927,3,json_array,0,1000.0
,,0.2,,,,,,,1052.4805210297927,3052.4805210297927,7052.480521029793,3,json_array,0,2000.0
,,0.4,,,,,,,957.4260920053348,1057.4260920053348,1257.4260920053348,3,json_array,0,100.0
,,0.4,,,,,,,957.4260920053348,1257.4260920053348,1857.4260920053348,3,json_array,0,300.0
,,0.4,,,,,,,957.4260920053348,1457.4260920053348,2457.426092005335,3,json_array,0,500.0
,,0.4,,,,,,,957.4260920053348,1957.4260920053348,3957.426092005335,3,json_array,0,1000.0
,,0.4,,,,,,,957.4260920053348,2957.426092005335,6957.426092005335,3,json_array,0,2000.0
1077.75019001512,1077.75019001512,0.0,1077.75019001512,1077.75019001512,1.0,1.0,1.0907214119815098,1.276293172351317,1075.5252090166323,1175.5252090166323,1375.5252090166323,3,json_array,1,100.0
1277.75019001512,1382.2001520120962,0.0,1277.75019001512,1584.4251330105842,1.0,0.8723669697070268,1.0765212322139082,1.2468403636484322,1075.5252090166323,1375.5252090166323,1975.5252090166323,3,json_array,1,300.0
1477.75019001512,1891.100076006048,0.0,1477.75019001512,2184.4251330105844,1.0,0.8657197939302802,1.0661647818840827,1.179040274759626,1075.5252090166323,1575.5252090166323,2575.5252090166323,3,json_array,1,500.0
1977.75019001512,3391.100076006048,0.0,1977.75019001512,3684.4251330105844,1.0,0.920387836252529,1.049437496957472,1.1061495516632944,1075.5252090166323,2075.5252090166323,4075.5252090166323,3,json_array,1,1000.0
2977.75019001512,6391.100076006049,0.0,2977.75019001512,6684.425133010584,1.0,0.9561181326489888,1.0328351986440527,1.058509156468015,1075.5252090166323,3075.5252090166323,7075.525209016632,3,json_array,1,2000.0
726.969202014152,726.969202014152,0.2,626.969202014152,626.969202014152,1.1594974676248018,1.1594974676248018,1.1594974676248018,1.4784924028744053,626.969202014152,726.969202014152,926.969202014152,3,json_array,1,100.0
926.969202014152,1135.113450755307,0.2,770.226901510614,1213.484601007076,1.2035014619667606,0.9354164443564191,1.2035014619667606,1.2583342225743235,626.969202014152,926.969202014152,1526.969202014152,3,json_array,1,300.0
1126.969202014152,1735.113450755307,0.2,970.226901510614,1813.484601007076,1.1615522103741867,0.9567842207161575,1.1615522103741867,1.17286311713537,626.969202014152,1126.969202014152,2126.969202014152,3,json_array,1,500.0
1626.969202014152,3235.113450755307,0.2,1470.226901510614,3313.484601007076,1.1066109593985052,0.9763478151587156,1.1066109593985052,1.0946087393651378,626.969202014152,1626.969202014152,3626.969202014152,3,json_array,1,1000.0
2626.969202014152,6235.113450755307,0.2,2470.226901510614,6313.484601007076,1.0634525923135585,0.987586704458063,1.0634525923135585,1.049653182167748,626.969202014152,2626.969202014152,6626.969202014152,3,json_array,1,2000.0
773.9477799856104,773.9477799856104,0.4,699.0646933205426,699.0646933205426,1.1071189653555162,1.1071189653555162,1.1071189653555162,1.3932155196672555,673.9477799856104,773.9477799856104,973.9477799856104,3,json_array,1,100.0
973.9477799856104,1124.6492599952035,0.4,899.0646933205426,1199.5323466602713,1.083289987051432,0.937573099321951,1.083289987051432,1.3121345033902452,673.9477799856104,973.9477799856104,1573.9477799856104,3,json_array,1,300.0
1173.9477799856104,1724.6492599952035,0.4,1099.0646933205426,1799.5323466602713,1.0681334657733639,0.9583874739434152,1.0681334657733639,1.2080626302829243,673.9477799856104,1173.9477799856104,2173.9477799856104,3,json_array,1,500.0
1673.9477799856104,3224.6492599952035,0.4,1599.0646933205426,3299.5323466602713,1.046829304016193,0.9773049393678885,1.046829304016193,1.1134753031605573,673.9477799856104,1673.9477799856104,3673.9477799856104,3,json_array,1,1000.0
2673.9477799856104,6224.6492599952035,0.4,2599.0646933205426,6299.532346660271,1.028811551654529,0.9881129133808214,1.028811551654529,1.0594354330958928,673.9477799856104,2673.9477799856104,6673.94777998561,3,json_array,1,2000.0
983.5743209929205,983.5743209929205,0.0,909.9431275768438,909.9431275768438,1.0809184565327228,1.0809184565327228,1.0809184565327228,1.3007124128128202,883.5743209929205,983.5743209929205,1183.5743209929205,3,json_array,2,100.0
1183.5743209929205,1194.5247736643068,0.0,1109.9431275768438,1341.7871604964603,1.0663378073945315,0.8902490714118426,1.0663378073945315,1.329252785764472,883.5743209929205,1183.5743209929205,1783.5743209929205,3,json_array,2,300.0
1383.5743209929205,1794.5247736643068,0.0,1309.9431275768438,1941.7871604964603,1.056209458155852,0.9241614169523592,1.056209458155852,1.2275157491429225,883.5743209929205,1383.5743209929205,2383.5743209929205,3,json_array,2,500.0
1883.5743209929205,3294.524773664307,0.0,1809.9431275768438,3441.7871604964603,1.0406814956195085,0.9572133952609343,1.0406814956195085,1.128359814217197,883.5743209929205,1883.5743209929205,3883.5743209929205,3,json_array,2,1000.0
2883.5743209929205,6294.524773664307,0.0,2809.943127576844,6441.78716049646,1.0262038020248376,0.9771395137462436,1.0262038020248376,1.068581458761269,883.5743209929205,2883.5743209929205,6883.574320992921,3,json_array,2,2000.0
934.5257820328698,934.5257820328698,0.2,858.6598018480634,858.6598018480634,1.088353944159867,1.088353944159867,1.088353944159867,1.3212750609625252,834.5257820328698,934.5257820328698,1134.5257820328698,3,json_array,2,100.0
1134.5257820328698,1134.5257820328698,0.2,1058.6598018480634,1355.195881108838,1.0716622847607606,0.8371673776816579,1.0716622847607606,1.279907802415736,834.5257820328698,1134.5257820328698,1734.5257820328698,3,json_array,2,300.0
1334.5257820328698,1727.597940554419,0.2,1258.6598018480634,1955.195881108838,1.0602752070681958,0.8835932794491451,1.0602752070681958,1.1940112009180917,834.5257820328698,1334.5257820328698,2334.5257820328698,3,json_array,2,500.0
1834.5257820328698,3227.597940554419,0.2,1758.6598018480634,3455.195881108838,1.0431385195164429,0.93412878795127,1.0431385195164429,1.10978535341455,834.5257820328698,1834.5257820328698,3834.5257820328698,3,json_array,2,1000.0
2834.5257820328698,6227.5979405544185,0.2,2758.6598018480636,6455.195881108838,1.0275010279027457,0.9647419002077867,1.0275010279027457,1.0587634996536888,834.5257820328698,2834.5257820328698,6834.52578203287,3,json_array,2,2000.0
,,0.4,,,,,,,961.3629120285623,1061.3629120285623,1261.3629120285623,3,json_array,2,100.0
,,0.4,,,,,,,961.3629120285623,1261.3629120285623,1861.3629120285623,3,json_array,2,300.0
