native_all_ready_fraction,native_all_ready_ms,native_generation_ms,num_calls,probe_all_ready,probe_first_call_ready,probe_latency_ms,probe_mode,probe_output_tokens,probe_prompt_tokens,probe_ready_count,probe_tool_name_ready_count,probe_tool_name_ready_fraction,prompt_format,request_index
0.5714285714285714,853.1391948594578,1492.9935910040513,3,True,True,1941.943525976967,full_actions,86,322,3,3,1.0,action_list,0
0.8571428571428571,821.5286288343901,958.4500669734553,3,True,True,1998.478350986261,full_actions,110,362,3,3,1.0,action_list,1
0.75,529.9288799869828,706.5718399826437,3,True,True,1700.164722977206,full_actions,92,333,3,3,1.0,action_list,2
0.75,541.8246944609564,722.4329259479418,3,True,True,1528.4446769510396,full_actions,84,320,3,3,1.0,action_list,3
0.6666666666666666,365.1799199869856,547.7698799804784,3,True,True,1362.1275459881872,full_actions,75,303,3,3,1.0,action_list,4
0.8571428571428571,571.4294211606361,666.6676580207422,3,True,True,1709.746050008107,full_actions,94,327,3,3,1.0,action_list,5
0.6666666666666666,513.9417926548049,770.9126889822073,3,True,True,1563.0503889988177,full_actions,86,319,3,3,1.0,action_list,6
0.75,542.847885779338,723.7971810391173,3,True,True,1506.3853870378807,full_actions,83,316,3,3,1.0,action_list,7
0.8571428571428571,577.1994419795061,673.3993489760906,3,True,True,1832.4775280198082,full_actions,101,348,3,3,1.0,action_list,8
0.625,446.17799248953816,713.884787983261,3,True,True,1557.2950770147145,full_actions,86,318,3,3,1.0,action_list,9
0.8333333333333334,507.1565266310548,608.5878319572657,3,True,True,1994.343614031095,full_actions,110,364,3,3,1.0,action_list,10
0.75,536.2955512537155,715.060735004954,3,True,True,1927.390719007235,full_actions,106,355,3,3,1.0,action_list,11
0.6666666666666666,402.6709226503347,604.0063839755021,3,True,True,1481.5215850248933,full_actions,82,316,3,3,1.0,action_list,12
0.8333333333333334,507.4306449872287,608.9167739846744,3,False,True,1928.5717330058105,full_actions,107,357,1,3,1.0,action_list,13
0.6666666666666666,402.51679132537294,603.7751869880594,3,True,True,1538.0778610124253,full_actions,85,317,3,3,1.0,action_list,14
0.8333333333333334,511.6037408394429,613.9244890073314,3,True,True,1748.9284750190563,full_actions,97,340,3,3,1.0,action_list,15
0.8571428571428571,578.9886839920655,675.4867979907431,3,True,True,1876.8979490268975,full_actions,104,355,3,3,1.0,action_list,16
0.7142857142857143,476.61276571618924,667.257872002665,3,True,True,1519.797136017587,full_actions,84,323,3,3,1.0,action_list,17
