policy,request_id,arrival_ms,first_start_ms,completion_ms,latency_ms,canvas
arrival_dense,0,0.0,0.0,6416.700238638829,6416.700238638829,128
arrival_dense,1,34736.47349034643,34736.47349034643,38027.718796344445,3291.245305998018,32
arrival_dense,2,60823.09102439992,60823.09102439992,64114.336330397935,3291.245305998018,32
arrival_dense,3,79707.7156812573,79707.7156812573,87240.0940082831,7532.378327025799,32
arrival_dense,4,81526.6654864098,81539.36524285619,95502.97008077124,13976.304594361442,256
arrival_dense,5,88175.00606283615,88181.44588203669,109744.74053543327,21569.73447259712,128
arrival_dense,6,90579.77642216215,90640.58378084829,114159.74270936368,23579.966287201532,256
arrival_dense,7,95705.38591705072,95726.52807157229,116111.69565989495,20406.309742844227,32
arrival_dense,8,96309.63345966798,96397.20204397546,116279.60559112344,19969.972131455463,64
arrival_dense,9,101073.44257280664,101213.56805189954,116966.47417672303,15893.031603916388,32
arrival_dense,10,143278.53841191067,143278.53841191067,146940.80042842575,3662.262016515073,32
arrival_dense,11,146360.14928751826,146369.4470471088,152966.91891340862,6606.76962589036,128
arrival_dense,12,161688.18714353463,161688.18714353463,164979.43244953264,3291.245305998018,32
arrival_dense,13,167758.03551706072,167758.03551706072,171049.28082305874,3291.245305998018,32
arrival_dense,14,173257.2953825069,173257.2953825069,179673.99562114608,6416.700238639169,128
arrival_dense,15,204796.9911724894,204796.9911724894,211213.69141112856,6416.700238639169,128
arrival_dense,16,258663.42796072765,258663.42796072765,261954.67326672567,3291.245305998018,32
arrival_dense,17,266777.51854578406,266777.51854578406,273194.2187844199,6416.700238635822,128
arrival_dense,18,279450.4889641416,279450.4889641416,294713.62778991973,15263.138825778151,256
arrival_dense,19,281132.2713347837,281188.3693464559,297396.3236795324,16264.052344748692,32
arrival_dense,20,284652.09996031364,284653.51820387226,299641.0858400217,14988.985879708081,256
arrival_dense,21,319296.4642252935,319296.4642252935,325713.1644639293,6416.700238635822,128
arrival_dense,22,327951.97203770984,327951.97203770984,336171.6357393528,8219.663701642945,64
arrival_dense,23,335765.09593363584,335835.8158768958,339233.92485015094,3468.8289165151073,32
arrival_dense,24,349547.3880691405,349547.3880691405,363612.57266057166,14065.18459143117,256
arrival_dense,25,350136.03081515414,350199.09321250836,363990.3700058358,13854.33919068164,64
arrival_dense,26,358911.00101145345,358917.8548537495,366252.12684319797,7341.125831744517,32
arrival_dense,27,365899.6435893103,365907.8781406346,369228.5573807962,3328.9137914858875,32
arrival_dense,28,385053.8336801934,385053.8336801934,396963.60264395573,11909.768963762326,256
arrival_dense,29,386766.8513981961,386791.71406250773,398302.74008506234,11535.888686866267,128
arrival_dense,30,419152.25634998974,419152.25634998974,437219.55359110475,18067.29724111501,256
arrival_dense,31,419987.2840914844,420021.1965411469,439231.57550831424,19244.29141682986,256
arrival_dense,32,422043.0830959467,422144.9974537569,441355.37642092427,19312.293324977567,128
arrival_dense,33,431082.6320782008,431199.09608119965,447998.639147668,16916.00706946716,256
arrival_dense,34,442328.47529520537,442369.1399772743,460573.7761302273,18245.300835021946,64
arrival_dense,35,445009.935396144,445051.83586688695,463256.47201984,18246.53662369598,128
arrival_dense,36,446286.98071637086,446393.1838116933,463835.7654806114,17548.784764240554,256
arrival_dense,37,468385.8834854212,468385.8834854212,478385.4062534065,9999.522767985298,128
arrival_dense,38,471212.36907456507,471231.5505477727,483062.58488592686,11850.215811361792,256
arrival_dense,39,480239.1854835989,480268.1100009137,488084.35029007663,7845.1648064777255,128
arrival_dense,40,489898.7629334494,489898.7629334494,499761.4316313987,9862.668697949266,256
arrival_dense,41,495332.68008042214,495402.0508107781,501936.51548579737,6603.835405375226,32
arrival_dense,42,504095.505707611,504095.505707611,507386.751013609,3291.245305998018,32
arrival_dense,43,511493.339395802,511493.339395802,514784.5847018,3291.245305998018,32
arrival_dense,44,538781.9301744516,538781.9301744516,542166.8289073335,3384.898732881993,32
arrival_dense,45,541066.7479102754,541071.4921264502,544456.3908593322,3389.6429490568116,32
arrival_dense,46,553661.3141489562,553661.3141489562,557003.3998866912,3342.085737735033,32
arrival_dense,47,556388.4074389797,556408.7884913546,559750.8742290896,3362.466790109873,32
arrival_dense,48,561426.6732949361,561426.6732949361,567843.3735335786,6416.700238642516,128
arrival_dense,49,572564.6500360131,572564.6500360131,578945.5222949263,6380.872258913238,64
arrival_dense,50,576131.3577583269,576175.0084296562,581446.265162788,5314.907404461061,64
arrival_dense,51,579931.9222963081,579977.0532645386,583735.8271147866,3803.904818478506,32
arrival_dense,52,593869.725101161,593869.725101161,606323.3572793157,12453.632178154658,32
arrival_dense,53,594622.8148032584,594642.4522599606,609341.39015513,14718.57535187155,256
arrival_dense,54,600752.9769117254,600790.2970069896,612410.2467910025,11657.269879277097,128
arrival_dense,55,665476.6721876753,665476.6721876753,671893.3724263178,6416.700238642516,128
arrival_dense,56,720935.3555276047,720935.3555276047,736817.9854768782,15882.629949273542,32
arrival_dense,57,721696.1855827032,721708.0826864042,741345.0347905996,19648.84920789639,256
arrival_dense,58,724093.4168463878,724167.2205852158,742268.5394123563,18175.122565968544,32
arrival_dense,59,727174.9917471996,727185.2534610301,743594.7935161436,16419.801768944017,64
arrival_dense,60,754244.4066057976,754244.4066057976,762571.750104387,8327.343498589471,256
arrival_dense,61,775519.3169975642,775519.3169975642,781936.0172362067,6416.700238642516,128
arrival_dense,62,796661.323398825,796661.323398825,804850.9206173843,8189.59721855924,128
