policy,request_id,arrival_ms,first_start_ms,completion_ms,latency_ms,canvas
arrival_dense,0,0.0,0.0,242.33525618328713,242.33525618328713,32
arrival_dense,1,64.0302020025141,85.8585731999483,328.1938293832354,264.1636273807213,32
arrival_dense,2,365.3814674766824,365.3814674766824,688.8845970567406,323.5031295800582,32
arrival_dense,3,405.02102438076446,422.62051627664795,936.5680696505212,531.5470452697568,32
arrival_dense,4,471.9420865046382,485.2111894699835,1582.0529276000077,1110.1108410953696,32
arrival_dense,5,619.3138352200967,626.2158562608154,2765.7569881954905,2146.443152975394,32
arrival_dense,6,699.6218523140008,735.8861526536846,3554.893028592479,2855.2711762784784,256
arrival_dense,7,864.486846925952,936.5680696505212,3582.0129066365384,2717.526059710586,32
arrival_dense,8,936.2548420383558,936.5680696505212,3582.0129066365384,2645.7580645981825,32
arrival_dense,9,1037.865639725675,1187.4849074015135,3609.132784680598,2571.267144954923,32
arrival_dense,10,1041.774601413749,1187.4849074015135,3609.132784680598,2567.3581832668488,32
arrival_dense,11,1063.3278489426793,1187.4849074015135,3609.132784680598,2545.8049357379186,32
arrival_dense,12,1091.7969037076527,1582.0529276000077,4003.700804879092,2911.9039011714394,32
arrival_dense,13,1098.7265305792353,2765.7569881954905,5187.404865474575,4088.6783348953395,32
arrival_dense,14,1120.8095202785687,3554.893028592479,5976.540905871563,4855.731385592994,32
arrival_dense,15,1129.682339821192,3582.0129066365384,6371.108926070057,5241.4265862488655,32
arrival_dense,16,1156.8234714852165,3582.0129066365384,6371.108926070057,5214.28545458484,32
arrival_dense,17,1240.9680444464234,3609.132784680598,6765.676946268552,5524.708901822129,32
arrival_dense,18,1278.790213606433,3609.132784680598,6765.676946268552,5486.886732662118,256
arrival_dense,19,1317.3171094608035,3609.132784680598,6765.676946268552,5448.359836807748,32
arrival_dense,20,1336.9086524986153,4003.700804879092,7160.244966467046,5823.336313968431,256
arrival_dense,21,1362.7902625936142,5187.404865474575,8343.949027062528,6981.158764468914,32
arrival_dense,22,1592.7196620390748,5976.540905871563,9133.085067459517,7540.365405420442,32
arrival_dense,23,1679.7383815978978,6371.108926070057,9527.653087658011,7847.9147060601135,32
arrival_dense,24,1758.0202839309202,6371.108926070057,9527.653087658011,7769.6328037270905,256
arrival_dense,25,1773.662149377513,6765.676946268552,9872.900105331693,8099.2379559541805,32
arrival_dense,26,1882.5041874368783,6765.676946268552,9872.900105331693,7990.395917894815,32
arrival_dense,27,1897.3718708375402,6765.676946268552,9872.900105331693,7975.528234494153,32
arrival_dense,28,1937.1350263954025,7160.244966467046,10073.58202232853,8136.446995933127,256
arrival_dense,29,2317.018890432241,8343.949027062528,10576.587501630904,8259.568611198663,32
arrival_dense,30,2402.1564388039274,9133.085067459517,10800.145492431959,8397.98905362803,256
arrival_dense,31,2469.9957779845495,9527.653087658011,10828.765016831941,8358.769238847392,32
exact_bucket,0,0.0,0.0,242.33525618328713,242.33525618328713,32
exact_bucket,1,64.0302020025141,85.8585731999483,328.1938293832354,264.1636273807213,32
exact_bucket,2,365.3814674766824,365.3814674766824,688.8845970567406,323.5031295800582,32
exact_bucket,3,405.02102438076446,422.62051627664795,782.8877082506285,377.86668386986406,32
